repo;metric;value
ARMmbed/java-coap;ProfilesCount;1
ARMmbed/java-coap;ContainsReleaseCount;0
ARMmbed/java-coap;ContainsPropertiesCount;0
ARMmbed/java-coap;ContainsActivationCount;0
ARMmbed/java-coap;ContainsTestsCount;0
ARMmbed/java-coap;ContainsDevCount;0
ARMmbed/java-coap;ContainsProdCount;0
ARMmbed/java-coap;PropertiesContainsVersionCount;0
ARMmbed/mbed-webapp-example;ProfilesCount;1
ARMmbed/mbed-webapp-example;ContainsReleaseCount;0
ARMmbed/mbed-webapp-example;ContainsPropertiesCount;0
ARMmbed/mbed-webapp-example;ContainsActivationCount;1
ARMmbed/mbed-webapp-example;ContainsTestsCount;0
ARMmbed/mbed-webapp-example;ContainsDevCount;0
ARMmbed/mbed-webapp-example;ContainsProdCount;0
ARMmbed/mbed-webapp-example;PropertiesContainsVersionCount;0
Activiti/Activiti;ProfilesCount;1
Activiti/Activiti;ContainsReleaseCount;0
Activiti/Activiti;ContainsPropertiesCount;0
Activiti/Activiti;ContainsActivationCount;1
Activiti/Activiti;ContainsTestsCount;1
Activiti/Activiti;ContainsDevCount;0
Activiti/Activiti;ContainsProdCount;0
Activiti/Activiti;PropertiesContainsVersionCount;0
Alfresco/acs-community-packaging;ProfilesCount;1
Alfresco/acs-community-packaging;ContainsReleaseCount;0
Alfresco/acs-community-packaging;ContainsPropertiesCount;0
Alfresco/acs-community-packaging;ContainsActivationCount;1
Alfresco/acs-community-packaging;ContainsTestsCount;1
Alfresco/acs-community-packaging;ContainsDevCount;0
Alfresco/acs-community-packaging;ContainsProdCount;0
Alfresco/acs-community-packaging;PropertiesContainsVersionCount;0
Alfresco/alfresco-repository;ProfilesCount;1
Alfresco/alfresco-repository;ContainsReleaseCount;0
Alfresco/alfresco-repository;ContainsPropertiesCount;1
Alfresco/alfresco-repository;ContainsActivationCount;1
Alfresco/alfresco-repository;ContainsTestsCount;1
Alfresco/alfresco-repository;ContainsDevCount;0
Alfresco/alfresco-repository;ContainsProdCount;0
Alfresco/alfresco-repository;PropertiesContainsVersionCount;0
Azure/azure-cosmosdb-java;ProfilesCount;1
Azure/azure-cosmosdb-java;ContainsReleaseCount;0
Azure/azure-cosmosdb-java;ContainsPropertiesCount;1
Azure/azure-cosmosdb-java;ContainsActivationCount;1
Azure/azure-cosmosdb-java;ContainsTestsCount;0
Azure/azure-cosmosdb-java;ContainsDevCount;0
Azure/azure-cosmosdb-java;ContainsProdCount;0
Azure/azure-cosmosdb-java;PropertiesContainsVersionCount;0
Azure/azure-libraries-for-java;ProfilesCount;1
Azure/azure-libraries-for-java;ContainsReleaseCount;0
Azure/azure-libraries-for-java;ContainsPropertiesCount;0
Azure/azure-libraries-for-java;ContainsActivationCount;1
Azure/azure-libraries-for-java;ContainsTestsCount;0
Azure/azure-libraries-for-java;ContainsDevCount;0
Azure/azure-libraries-for-java;ContainsProdCount;0
Azure/azure-libraries-for-java;PropertiesContainsVersionCount;0
Azure/azure-sdk-for-java;ProfilesCount;1
Azure/azure-sdk-for-java;ContainsReleaseCount;0
Azure/azure-sdk-for-java;ContainsPropertiesCount;0
Azure/azure-sdk-for-java;ContainsActivationCount;1
Azure/azure-sdk-for-java;ContainsTestsCount;0
Azure/azure-sdk-for-java;ContainsDevCount;0
Azure/azure-sdk-for-java;ContainsProdCount;0
