name,url,default_branch,stars
facebook/fresco,https://github.com/facebook/fresco,master,16028
facebook/stetho,https://github.com/facebook/stetho,master,11681
facebook/buck,https://github.com/facebook/buck,master,7184
facebook/litho,https://github.com/facebook/litho,master,6505
facebook/rebound,https://github.com/facebook/rebound,master,5436
facebook/facebook-android-sdk,https://github.com/facebook/facebook-android-sdk,master,5033
facebook/shimmer-android,https://github.com/facebook/shimmer-android,master,3790
facebook/network-connection-class,https://github.com/facebook/network-connection-class,master,3030
facebook/react-native-fbsdk,https://github.com/facebook/react-native-fbsdk,master,2673
facebook/device-year-class,https://github.com/facebook/device-year-class,master,2428
facebook/screenshot-tests-for-android,https://github.com/facebook/screenshot-tests-for-android,master,1390
facebook/TextLayoutBuilder,https://github.com/facebook/TextLayoutBuilder,master,1356
facebook/SoLoader,https://github.com/facebook/SoLoader,master,701
facebook/jcommon,https://github.com/facebook/jcommon,master,657
facebook/nailgun,https://github.com/facebook/nailgun,master,599
facebook/facebook-java-business-sdk,https://github.com/facebook/facebook-java-business-sdk,master,222
facebook/DelegatedRecoveryReferenceImplementation,https://github.com/facebook/DelegatedRecoveryReferenceImplementation,master,23
facebook/ini4j,https://github.com/facebook/ini4j,master,4
