name,url,default_branch,stars
google/guava,https://github.com/google/guava,master,35654
google/gson,https://github.com/google/gson,master,17200
google/ExoPlayer,https://github.com/google/ExoPlayer,release-v2,14794
google/guice,https://github.com/google/guice,master,8948
google/tink,https://github.com/google/tink,master,8849
google/auto,https://github.com/google/auto,master,8398
google/agera,https://github.com/google/agera,master,7344
google/android-classyshark,https://github.com/google/android-classyshark,master,6143
google/physical-web,https://github.com/google/physical-web,master,6090
google/j2objc,https://github.com/google/j2objc,master,5581
google/closure-compiler,https://github.com/google/closure-compiler,master,5296
google/error-prone,https://github.com/google/error-prone,master,5017
google/cameraview,https://github.com/google/cameraview,master,4610
google/grafika,https://github.com/google/grafika,master,4252
google/google-authenticator,https://github.com/google/google-authenticator,master,3935
google/google-java-format,https://github.com/google/google-java-format,master,3064
google/open-location-code,https://github.com/google/open-location-code,master,2978
google/data-transfer-project,https://github.com/google/data-transfer-project,master,2822
google/rejoiner,https://github.com/google/rejoiner,master,2774
google/volley,https://github.com/google/volley,master,2598
google/binnavi,https://github.com/google/binnavi,master,2572
google/hover,https://github.com/google/hover,master,2555
google/wycheproof,https://github.com/google/wycheproof,master,2157
google/truth,https://github.com/google/truth,master,1967
google/santa-tracker-android,https://github.com/google/santa-tracker-android,master,1952
google/jimfs,https://github.com/google/jimfs,master,1726
google/bundletool,https://github.com/google/bundletool,master,1478
google/nomulus,https://github.com/google/nomulus,master,1373
google/flogger,https://github.com/google/flogger,master,1137
google/google-authenticator-android,https://github.com/google/google-authenticator-android,master,1105
google/caja,https://github.com/google/caja,master,974
google/live-transcribe-speech-engine,https://github.com/google/live-transcribe-speech-engine,master,948
google/firing-range,https://github.com/google/firing-range,master,937
google/mr4c,https://github.com/google/mr4c,master,888
google/re2j,https://github.com/google/re2j,master,837
google/gcm,https://github.com/google/gcm,master,820
google/ringdroid,https://github.com/google/ringdroid,master,695
google/copybara,https://github.com/google/copybara,master,692
google/conscrypt,https://github.com/google/conscrypt,master,680
google/android-arscblamer,https://github.com/google/android-arscblamer,master,679
google/google-api-java-client-samples,https://github.com/google/google-api-java-client-samples,master,663
google/j2cl,https://github.com/google/j2cl,master,643
google/caliper,https://github.com/google/caliper,master,632
google/blockly-android,https://github.com/google/blockly-android,develop,588
google/search-samples,https://github.com/google/search-samples,master,540
google/compile-testing,https://github.com/google/compile-testing,master,515
google/startup-os,https://github.com/google/startup-os,master,478
google/capillary,https://github.com/google/capillary,master,426
google/ijaas,https://github.com/google/ijaas,master,419
google/closure-templates,https://github.com/google/closure-templates,master,411
