name,url,default_branch,stars
Netflix/Hystrix,https://github.com/Netflix/Hystrix,master,18994
Netflix/eureka,https://github.com/Netflix/eureka,master,8878
Netflix/zuul,https://github.com/Netflix/zuul,master,8752
Netflix/SimianArmy,https://github.com/Netflix/SimianArmy,master,7458
Netflix/ribbon,https://github.com/Netflix/ribbon,master,3350
Netflix/conductor,https://github.com/Netflix/conductor,master,2360
Netflix/archaius,https://github.com/Netflix/archaius,master,2075
Netflix/curator,https://github.com/Netflix/curator,master,2059
Netflix/concurrency-limits,https://github.com/Netflix/concurrency-limits,master,1944
Netflix/servo,https://github.com/Netflix/servo,master,1314
Netflix/EVCache,https://github.com/Netflix/EVCache,master,1299
Netflix/genie,https://github.com/Netflix/genie,master,1269
Netflix/astyanax,https://github.com/Netflix/astyanax,master,1012
Netflix/Priam,https://github.com/Netflix/Priam,3.x,970
Netflix/mantis,https://github.com/Netflix/mantis,master,953
Netflix/hollow,https://github.com/Netflix/hollow,master,875
Netflix/Turbine,https://github.com/Netflix/Turbine,2.x,777
Netflix/governator,https://github.com/Netflix/governator,master,746
Netflix/suro,https://github.com/Netflix/suro,master,731
Netflix/metacat,https://github.com/Netflix/metacat,master,697
Netflix/Fenzo,https://github.com/Netflix/Fenzo,master,680
Netflix/blitz4j,https://github.com/Netflix/blitz4j,master,545
Netflix/spectator,https://github.com/Netflix/spectator,master,541
Netflix/denominator,https://github.com/Netflix/denominator,master,520
Netflix/netflix-graph,https://github.com/Netflix/netflix-graph,master,495
Netflix/karyon,https://github.com/Netflix/karyon,master,479
Netflix/Prana,https://github.com/Netflix/Prana,master,431
Netflix/Surus,https://github.com/Netflix/Surus,master,420
Netflix/iceberg,https://github.com/Netflix/iceberg,master,330
Netflix/recipes-rss,https://github.com/Netflix/recipes-rss,master,330
Netflix/Raigad,https://github.com/Netflix/Raigad,master,324
Netflix/aegisthus,https://github.com/Netflix/aegisthus,master,303
Netflix/titus-control-plane,https://github.com/Netflix/titus-control-plane,master,239
Netflix/gradle-template,https://github.com/Netflix/gradle-template,master,231
Netflix/ReactiveLab,https://github.com/Netflix/ReactiveLab,master,199
Netflix/zeno,https://github.com/Netflix/zeno,master,191
Netflix/s3mper,https://github.com/Netflix/s3mper,master,189
Netflix/staash,https://github.com/Netflix/staash,master,188
Netflix/dyno-queues,https://github.com/Netflix/dyno-queues,dev,180
Netflix/dyno,https://github.com/Netflix/dyno,master,166
Netflix/Nicobar,https://github.com/Netflix/Nicobar,master,165
Netflix/photon,https://github.com/Netflix/photon,master,156
Netflix/CassJMeter,https://github.com/Netflix/CassJMeter,master,153
Netflix/netflix-commons,https://github.com/Netflix/netflix-commons,master,141
Netflix/dynomite-manager,https://github.com/Netflix/dynomite-manager,dev,80
Netflix/iep,https://github.com/Netflix/iep,master,58
Netflix/ocelli,https://github.com/Netflix/ocelli,master,46
Netflix/q,https://github.com/Netflix/q,master,46
Netflix/runtime-health,https://github.com/Netflix/runtime-health,master,30
Netflix/hollow-reference-implementation,https://github.com/Netflix/hollow-reference-implementation,master,27
Netflix/rx-aws-java-sdk,https://github.com/Netflix/rx-aws-java-sdk,master,25
Netflix/frigga,https://github.com/Netflix/frigga,master,24
Netflix/mantis-examples,https://github.com/Netflix/mantis-examples,master,10
Netflix/mantis-control-plane,https://github.com/Netflix/mantis-control-plane,master,8
Netflix/fabricator,https://github.com/Netflix/fabricator,master,8
Netflix/mantis-publish,https://github.com/Netflix/mantis-publish,master,7
Netflix/mantis-api,https://github.com/Netflix/mantis-api,master,6
Netflix/mantis-source-jobs,https://github.com/Netflix/mantis-source-jobs,master,4
Netflix/mantis-connectors,https://github.com/Netflix/mantis-connectors,master,4
Netflix/mantis-rxcontrol,https://github.com/Netflix/mantis-rxcontrol,master,3
Netflix/edda-client,https://github.com/Netflix/edda-client,master,1
