name,url,default_branch,stars
pivotal-legacy/jsunit,https://github.com/pivotal-legacy/jsunit,master,176
pivotal-legacy/AndroidIntelliJStarter,https://github.com/pivotal-legacy/AndroidIntelliJStarter,master,129
pivotal-legacy/spring-social-strava,https://github.com/pivotal-legacy/spring-social-strava,master,8
pivotal-legacy/robolectric-gem,https://github.com/pivotal-legacy/robolectric-gem,master,6
pivotal-legacy/cf-env,https://github.com/pivotal-legacy/cf-env,master,6
pivotal-legacy/jarvis,https://github.com/pivotal-legacy/jarvis,master,5
pivotal-legacy/delboy,https://github.com/pivotal-legacy/delboy,master,4
pivotal-legacy/bling,https://github.com/pivotal-legacy/bling,master,4
pivotal-legacy/executable-dist-plugin,https://github.com/pivotal-legacy/executable-dist-plugin,master,3
pivotal-legacy/macchiato,https://github.com/pivotal-legacy/macchiato,master,3
pivotal-legacy/pivots,https://github.com/pivotal-legacy/pivots,master,2
pivotal-legacy/app-redirect,https://github.com/pivotal-legacy/app-redirect,master,2
pivotal-legacy/SAMLWrapper,https://github.com/pivotal-legacy/SAMLWrapper,master,1
pivotal-legacy/tcs-hq-product-plugin,https://github.com/pivotal-legacy/tcs-hq-product-plugin,master,1
pivotal-legacy/spring-secure-api-skeleton,https://github.com/pivotal-legacy/spring-secure-api-skeleton,master,0
pivotal-legacy/spring-react,https://github.com/pivotal-legacy/spring-react,master,0
pivotal-legacy/osusume-java-spring,https://github.com/pivotal-legacy/osusume-java-spring,master,0
pivotal-legacy/osusume-android,https://github.com/pivotal-legacy/osusume-android,master,0
pivotal-legacy/gf-hq-plugin,https://github.com/pivotal-legacy/gf-hq-plugin,master,0
pivotal-legacy/user-manager-spring,https://github.com/pivotal-legacy/user-manager-spring,master,0
pivotal-legacy/dis-android,https://github.com/pivotal-legacy/dis-android,master,0
pivotal-legacy/ws-hq-plugin,https://github.com/pivotal-legacy/ws-hq-plugin,master,0
