name,url,default_branch,stars
spring-io/sagan,https://github.com/spring-io/sagan,master,2178
spring-io/initializr,https://github.com/spring-io/initializr,master,1862
spring-io/start.spring.io,https://github.com/spring-io/start.spring.io,master,457
spring-io/spring-javaformat,https://github.com/spring-io/spring-javaformat,master,270
spring-io/nohttp,https://github.com/spring-io/nohttp,master,183
spring-io/github-release-notes-generator,https://github.com/spring-io/github-release-notes-generator,master,34
spring-io/bomr,https://github.com/spring-io/bomr,master,29
spring-io/spring-asciidoctor-extensions,https://github.com/spring-io/spring-asciidoctor-extensions,master,26
spring-io/spring-calendar,https://github.com/spring-io/spring-calendar,master,15
spring-io/artifactory-resource,https://github.com/spring-io/artifactory-resource,master,13
spring-io/issue-bot,https://github.com/spring-io/issue-bot,master,8
spring-io/slackboot,https://github.com/spring-io/slackboot,master,3
spring-io/spring-doc-feedback,https://github.com/spring-io/spring-doc-feedback,master,0
