name,url,default_branch,stars
uber/RIBs,https://github.com/uber/RIBs,master,5288
uber/AutoDispose,https://github.com/uber/AutoDispose,master,2744
uber/NullAway,https://github.com/uber/NullAway,master,2683
uber/okbuck,https://github.com/uber/okbuck,master,1444
uber/AthenaX,https://github.com/uber/AthenaX,master,1079
uber/chaperone,https://github.com/uber/chaperone,master,626
uber/uReplicator,https://github.com/uber/uReplicator,master,604
uber/RxDogTag,https://github.com/uber/RxDogTag,master,529
uber/marmaray,https://github.com/uber/marmaray,master,351
uber/phabricator-jenkins-plugin,https://github.com/uber/phabricator-jenkins-plugin,master,342
uber/rave,https://github.com/uber/rave,master,342
uber/rides-android-sdk,https://github.com/uber/rides-android-sdk,master,268
uber/tchannel-java,https://github.com/uber/tchannel-java,master,122
uber/RxCentralBle,https://github.com/uber/RxCentralBle,master,118
uber/android-template,https://github.com/uber/android-template,master,111
uber/h3-java,https://github.com/uber/h3-java,master,91
uber/rides-java-sdk,https://github.com/uber/rides-java-sdk,master,89
uber/simple-store,https://github.com/uber/simple-store,master,64
uber/cadence-java-client,https://github.com/uber/cadence-java-client,master,58
uber/uberscriptquery,https://github.com/uber/uberscriptquery,master,48
uber/auto-value-bundle,https://github.com/uber/auto-value-bundle,master,35
uber/cadence-java-samples,https://github.com/uber/cadence-java-samples,master,25
uber/bazel-buildfarm,https://github.com/uber/bazel-buildfarm,master,24
uber/uber-graph-benchmark,https://github.com/uber/uber-graph-benchmark,master,19
