name,url,default_branch,stars
wix/react-native-navigation,https://github.com/wix/react-native-navigation,master,11130
wix/wix-embedded-mysql,https://github.com/wix/wix-embedded-mysql,master,267
wix/react-native-swipe-view,https://github.com/wix/react-native-swipe-view,master,125
wix/react-native-paged-contacts,https://github.com/wix/react-native-paged-contacts,master,77
wix/react-native-andorid-shadow,https://github.com/wix/react-native-andorid-shadow,master,15
wix/wix-webdriver-manager,https://github.com/wix/wix-webdriver-manager,master,10
wix/media-platform-java-sdk,https://github.com/wix/media-platform-java-sdk,master,5
wix/openrest4j,https://github.com/wix/openrest4j,master,5
wix/wix-restaurants-java-sdk,https://github.com/wix/wix-restaurants-java-sdk,master,4
wix/libfax,https://github.com/wix/libfax,master,2
wix/wix-restaurants-availability,https://github.com/wix/wix-restaurants-availability,master,2
wix/wix-restaurants-jsonclient,https://github.com/wix/wix-restaurants-jsonclient,master,1
wix/wix-restaurants-json,https://github.com/wix/wix-restaurants-json,master,1
