name,url,default_branch,stars
zalando/zalenium,https://github.com/zalando/zalenium,master,2093
zalando/intellij-swagger,https://github.com/zalando/intellij-swagger,master,949
zalando/nakadi,https://github.com/zalando/nakadi,master,571
zalando/logbook,https://github.com/zalando/logbook,master,500
zalando/problem-spring-web,https://github.com/zalando/problem-spring-web,master,406
zalando/problem,https://github.com/zalando/problem,master,356
zalando/riptide,https://github.com/zalando/riptide,master,126
zalando/opentracing-toolbox,https://github.com/zalando/opentracing-toolbox,master,126
zalando/jackson-datatype-money,https://github.com/zalando/jackson-datatype-money,master,125
zalando/tokens,https://github.com/zalando/tokens,master,123
zalando/faux-pas,https://github.com/zalando/faux-pas,master,82
zalando/spring-cloud-config-aws-kms,https://github.com/zalando/spring-cloud-config-aws-kms,master,74
zalando/failsafe-actuator,https://github.com/zalando/failsafe-actuator,master,41
