repo,metric,value
ARMmbed/mbed-webapp-example,ProfilesCount,2
ARMmbed/mbed-webapp-example,ContainsActivationCount,1
ARMmbed/mbed-webapp-example,ActivationContainsJDKCount,0
ARMmbed/mbed-webapp-example,ActivationContainsOSCount,0
ARMmbed/mbed-webapp-example,ActivationContainsPropertyCount,1
ARMmbed/mbed-webapp-example,ActivationContainsFileCount,0
ARMmbed/mbed-webapp-example,ActivationIsActiveByDefaultCount,0
Activiti/Activiti,ProfilesCount,5
Activiti/Activiti,ContainsActivationCount,4
Activiti/Activiti,ActivationContainsJDKCount,0
Activiti/Activiti,ActivationContainsOSCount,0
Activiti/Activiti,ActivationContainsPropertyCount,3
Activiti/Activiti,ActivationContainsFileCount,0
Activiti/Activiti,ActivationIsActiveByDefaultCount,2
Alfresco/acs-community-packaging,ProfilesCount,4
Alfresco/acs-community-packaging,ContainsActivationCount,1
Alfresco/acs-community-packaging,ActivationContainsJDKCount,0
Alfresco/acs-community-packaging,ActivationContainsOSCount,0
Alfresco/acs-community-packaging,ActivationContainsPropertyCount,0
Alfresco/acs-community-packaging,ActivationContainsFileCount,0
Alfresco/acs-community-packaging,ActivationIsActiveByDefaultCount,1
Alfresco/alfresco-repository,ProfilesCount,3
Alfresco/alfresco-repository,ContainsActivationCount,3
Alfresco/alfresco-repository,ActivationContainsJDKCount,0
Alfresco/alfresco-repository,ActivationContainsOSCount,3
Alfresco/alfresco-repository,ActivationContainsPropertyCount,0
Alfresco/alfresco-repository,ActivationContainsFileCount,0
Alfresco/alfresco-repository,ActivationIsActiveByDefaultCount,0
Azure/azure-cosmosdb-java,ProfilesCount,9
Azure/azure-cosmosdb-java,ContainsActivationCount,1
Azure/azure-cosmosdb-java,ActivationContainsJDKCount,0
Azure/azure-cosmosdb-java,ActivationContainsOSCount,0
Azure/azure-cosmosdb-java,ActivationContainsPropertyCount,0
Azure/azure-cosmosdb-java,ActivationContainsFileCount,0
Azure/azure-cosmosdb-java,ActivationIsActiveByDefaultCount,1
Azure/azure-libraries-for-java,ProfilesCount,1
Azure/azure-libraries-for-java,ContainsActivationCount,1
Azure/azure-libraries-for-java,ActivationContainsJDKCount,0
Azure/azure-libraries-for-java,ActivationContainsOSCount,0
Azure/azure-libraries-for-java,ActivationContainsPropertyCount,1
Azure/azure-libraries-for-java,ActivationContainsFileCount,0
Azure/azure-libraries-for-java,ActivationIsActiveByDefaultCount,0
Azure/azure-sdk-for-java,ProfilesCount,4
Azure/azure-sdk-for-java,ContainsActivationCount,4
Azure/azure-sdk-for-java,ActivationContainsJDKCount,1
Azure/azure-sdk-for-java,ActivationContainsOSCount,0
Azure/azure-sdk-for-java,ActivationContainsPropertyCount,3
Azure/azure-sdk-for-java,ActivationContainsFileCount,0
Azure/azure-sdk-for-java,ActivationIsActiveByDefaultCount,1
Ericsson/ecaudit,ProfilesCount,3
Ericsson/ecaudit,ContainsActivationCount,1
Ericsson/ecaudit,ActivationContainsJDKCount,0
Ericsson/ecaudit,ActivationContainsOSCount,0
Ericsson/ecaudit,ActivationContainsPropertyCount,0
Ericsson/ecaudit,ActivationContainsFileCount,0
Ericsson/ecaudit,ActivationIsActiveByDefaultCount,1
Ericsson/ecchronos,ProfilesCount,2
Ericsson/ecchronos,ContainsActivationCount,1
Ericsson/ecchronos,ActivationContainsJDKCount,0
Ericsson/ecchronos,ActivationContainsOSCount,0
Ericsson/ecchronos,ActivationContainsPropertyCount,0
Ericsson/ecchronos,ActivationContainsFileCount,0
Ericsson/ecchronos,ActivationIsActiveByDefaultCount,1
Ericsson/papyrus-patches,ProfilesCount,7
Ericsson/papyrus-patches,ContainsActivationCount,7
Ericsson/papyrus-patches,ActivationContainsJDKCount,0
Ericsson/papyrus-patches,ActivationContainsOSCount,0
Ericsson/papyrus-patches,ActivationContainsPropertyCount,0
Ericsson/papyrus-patches,ActivationContainsFileCount,0
Ericsson/papyrus-patches,ActivationIsActiveByDefaultCount,7
Esri/geometry-api-java,ProfilesCount,2
Esri/geometry-api-java,ContainsActivationCount,2
Esri/geometry-api-java,ActivationContainsJDKCount,1
Esri/geometry-api-java,ActivationContainsOSCount,0
Esri/geometry-api-java,ActivationContainsPropertyCount,1
Esri/geometry-api-java,ActivationContainsFileCount,0
Esri/geometry-api-java,ActivationIsActiveByDefaultCount,0
Esri/server-extension-java,ProfilesCount,1
Esri/server-extension-java,ContainsActivationCount,1
Esri/server-extension-java,ActivationContainsJDKCount,0
Esri/server-extension-java,ActivationContainsOSCount,0
Esri/server-extension-java,ActivationContainsPropertyCount,1
Esri/server-extension-java,ActivationContainsFileCount,0
Esri/server-extension-java,ActivationIsActiveByDefaultCount,0
Esri/spatial-framework-for-hadoop,ProfilesCount,34
Esri/spatial-framework-for-hadoop,ContainsActivationCount,2
Esri/spatial-framework-for-hadoop,ActivationContainsJDKCount,1
Esri/spatial-framework-for-hadoop,ActivationContainsOSCount,0
Esri/spatial-framework-for-hadoop,ActivationContainsPropertyCount,1
Esri/spatial-framework-for-hadoop,ActivationContainsFileCount,0
Esri/spatial-framework-for-hadoop,ActivationIsActiveByDefaultCount,0
GoogleCloudPlatform/cloud-opensource-java,ProfilesCount,2
GoogleCloudPlatform/cloud-opensource-java,ContainsActivationCount,1
GoogleCloudPlatform/cloud-opensource-java,ActivationContainsJDKCount,1
GoogleCloudPlatform/cloud-opensource-java,ActivationContainsOSCount,0
GoogleCloudPlatform/cloud-opensource-java,ActivationContainsPropertyCount,0
GoogleCloudPlatform/cloud-opensource-java,ActivationContainsFileCount,0
GoogleCloudPlatform/cloud-opensource-java,ActivationIsActiveByDefaultCount,0
GoogleCloudPlatform/cloud-spanner-r2dbc,ProfilesCount,2
GoogleCloudPlatform/cloud-spanner-r2dbc,ContainsActivationCount,1
GoogleCloudPlatform/cloud-spanner-r2dbc,ActivationContainsJDKCount,0
GoogleCloudPlatform/cloud-spanner-r2dbc,ActivationContainsOSCount,0
GoogleCloudPlatform/cloud-spanner-r2dbc,ActivationContainsPropertyCount,0
GoogleCloudPlatform/cloud-spanner-r2dbc,ActivationContainsFileCount,0
GoogleCloudPlatform/cloud-spanner-r2dbc,ActivationIsActiveByDefaultCount,1
GoogleCloudPlatform/google-cloud-spanner-hibernate,ProfilesCount,2
GoogleCloudPlatform/google-cloud-spanner-hibernate,ContainsActivationCount,1
GoogleCloudPlatform/google-cloud-spanner-hibernate,ActivationContainsJDKCount,0
GoogleCloudPlatform/google-cloud-spanner-hibernate,ActivationContainsOSCount,0
GoogleCloudPlatform/google-cloud-spanner-hibernate,ActivationContainsPropertyCount,0
GoogleCloudPlatform/google-cloud-spanner-hibernate,ActivationContainsFileCount,0
GoogleCloudPlatform/google-cloud-spanner-hibernate,ActivationIsActiveByDefaultCount,1
IBM/cics-bundle-common,ProfilesCount,4
IBM/cics-bundle-common,ContainsActivationCount,2
IBM/cics-bundle-common,ActivationContainsJDKCount,0
IBM/cics-bundle-common,ActivationContainsOSCount,0
IBM/cics-bundle-common,ActivationContainsPropertyCount,2
IBM/cics-bundle-common,ActivationContainsFileCount,0
