name,url,default_branch,stars
NetEase/pomelo,https://github.com/NetEase/pomelo,master,10658
jmschrei/pomegranate,https://github.com/jmschrei/pomegranate,master,2191
PomeloFoundation/Pomelo.EntityFrameworkCore.MySql,https://github.com/PomeloFoundation/Pomelo.EntityFrameworkCore.MySql,master,1455
codito/gnome-pomodoro,https://github.com/codito/gnome-pomodoro,master,1137
rach/pome,https://github.com/rach/pome,develop,1078
pomerium/pomerium,https://github.com/pomerium/pomerium,master,943
ugol/pomodoro,https://github.com/ugol/pomodoro,master,873
rfunix/Pompem,https://github.com/rfunix/Pompem,master,732
Splode/pomotroid,https://github.com/Splode/pomotroid,master,698
takari/polyglot-maven,https://github.com/takari/polyglot-maven,master,676
tj/pomo,https://github.com/tj/pomo,master,518
nokonoko/Pomf,https://github.com/nokonoko/Pomf,master,464
amitmerchant1990/pomolectron,https://github.com/amitmerchant1990/pomolectron,master,445
mehdidc/pomodoro,https://github.com/mehdidc/pomodoro,master,443
huytd/pomoday-v2,https://github.com/huytd/pomoday-v2,master,421
pomf/pomf,https://github.com/pomf/pomf,master,395
clj-commons/pomegranate,https://github.com/clj-commons/pomegranate,master,389
marcinkoziej/org-pomodoro,https://github.com/marcinkoziej/org-pomodoro,master,362
afonsopacifer/react-pomodoro,https://github.com/afonsopacifer/react-pomodoro,master,331
rain1017/quick-pomelo,https://github.com/rain1017/quick-pomelo,master,287
PlayOnLinux/POL-POM-4,https://github.com/PlayOnLinux/POL-POM-4,master,263
ltearno/pom-explorer,https://github.com/ltearno/pom-explorer,master,260
J-F-Liu/pom,https://github.com/J-F-Liu/pom,master,254
tumobi/pomelo-cocos-creator-awesome,https://github.com/tumobi/pomelo-cocos-creator-awesome,master,242
JuliaPOMDP/POMDPs.jl,https://github.com/JuliaPOMDP/POMDPs.jl,master,228
kevinschoon/pomo,https://github.com/kevinschoon/pomo,master,207
tamagokun/pomander,https://github.com/tamagokun/pomander,master,203
chriseidhof/pomotv,https://github.com/chriseidhof/pomotv,master,184
kiegroup/droolsjbpm-build-bootstrap,https://github.com/kiegroup/droolsjbpm-build-bootstrap,master,184
G07cha/pomodoro,https://github.com/G07cha/pomodoro,master,183
coddingtonbear/taskwarrior-pomodoro,https://github.com/coddingtonbear/taskwarrior-pomodoro,master,182
reborg/pomodori,https://github.com/reborg/pomodori,master,175
ruisibi/rsbi-pom,https://github.com/ruisibi/rsbi-pom,master,171
christian-fei/pomodoro.cc,https://github.com/christian-fei/pomodoro.cc,master,162
tatyshev/pomidorus,https://github.com/tatyshev/pomidorus,master,159
chanmix51/Pomm,https://github.com/chanmix51/Pomm,master,158
Ekryd/sortpom,https://github.com/Ekryd/sortpom,master,153
NetEase/pomelo-unityclient-socket,https://github.com/NetEase/pomelo-unityclient-socket,master,151
pemami4911/POMDPy,https://github.com/pemami4911/POMDPy,master,144
TatriX/pomidor,https://github.com/TatriX/pomidor,master,143
dacer/SimplePomodoro-android,https://github.com/dacer/SimplePomodoro-android,master,141
rukshn/pomodoro,https://github.com/rukshn/pomodoro,master,141
tiaanduplessis/pomd,https://github.com/tiaanduplessis/pomd,master,137
t3hnar/scala-bcrypt,https://github.com/t3hnar/scala-bcrypt,master,136
zxch3n/PomodoroLogger,https://github.com/zxch3n/PomodoroLogger,master,133
caijiahao/springMvcPlusMongo,https://github.com/caijiahao/springMvcPlusMongo,master,129
macan/Pomegranate,https://github.com/macan/Pomegranate,next2,119
mogemimi/pomdog,https://github.com/mogemimi/pomdog,master,112
mozilla/PyPOM,https://github.com/mozilla/PyPOM,master,111
kantord/i3-gnome-pomodoro,https://github.com/kantord/i3-gnome-pomodoro,master,111
tsudoko/long-live-pomf,https://github.com/tsudoko/long-live-pomf,master,109
NetEase/pomelo-unityclient,https://github.com/NetEase/pomelo-unityclient,master,107
gabrielelana/pomicons,https://github.com/gabrielelana/pomicons,master,106
NetEase/pomelo-cocos2d-js,https://github.com/NetEase/pomelo-cocos2d-js,master,104
dkandalov/pomodoro-tm,https://github.com/dkandalov/pomodoro-tm,master,104
doctording/pomelo_unity_poker_game,https://github.com/doctording/pomelo_unity_poker_game,master,98
mojohaus/mojo-parent,https://github.com/mojohaus/mojo-parent,master,96
NextZeus/pomeloframework,https://github.com/NextZeus/pomeloframework,master,95
pomelonode/pomelo-jsclient-websocket,https://github.com/pomelonode/pomelo-jsclient-websocket,master,95
NetEase/pomelo-rpc,https://github.com/NetEase/pomelo-rpc,master,94
vngrs/PomoPomoAndroid,https://github.com/vngrs/PomoPomoAndroid,develop,93
jgitver/jgitver-maven-plugin,https://github.com/jgitver/jgitver-maven-plugin,master,90
G2Bent/Vantpy,https://github.com/G2Bent/Vantpy,master,87
fuhongxue/CocosCreator-Pomelo-plugin,https://github.com/fuhongxue/CocosCreator-Pomelo-plugin,master,85
