Rule,Keyword,Occurence
1,protocole,10
1,ROBERT,77
1,protection des données,1
1,vie privée,4
1,protection,3
1,minimisation,0
1,protocol,14
1,privacy,13
1,personal data,0
1,protection,3
1,data minimization,0
1,minimization,0
2,privacy,13
2,rights,0
2,necessary,0
2,information,9
2,collect,4
2,minimize,0
2,justify,0
2,invasion,0
2,injure,0
2,quantity,0
2,personnal,0
2,law,0
2,protection,3
2,vie privée,4
2,nécessaire,1
2,renseignement,0
2,recueillir,0
2,minimiser,1
2,justifier,0
2,atteinte,0
2,quantité,0
2,personnel,2
2,droit,3
2,protection,3
3,securiser,0
3,sécuriser,0
3,securise,0
3,sécurise,0
3,secure,7
3,communication,2
3,canal,0
3,canaux,0
3,cyber,0
3,transférer,0
3,transfer,0
3,TLS,0
3,SSL,1
3,encrypt,6
3,crypt,23
3,key,38
3,cle,20
3,clef,0
3,clé,0
3,https,45
3,authentication,4
4,traçage,6
4,tracage,1
4,tracing,5
4,trace,1
4,tracabilite,0
4,traçabilité,0
4,tracabilité,0
4,tracing,5
4,collect,4
4,données,9
4,data,25
4,donnees,2
4,db,8
4,database,5
4,sql,1
4,sqlite,0
4,table,4
4,stock,0
4,stockage,0
4,pseudo,0
4,pseudonymisation,0
4,pseudonimize,0
4,anonymize,0
4,anonym,1
4,anonymization,1
5,coffre-fort,0
5,dissocier,0
5,pseudo,0
5,sécurisé,0
5,séparer,0
5,robuste,0
5,safe,1
5,vault,0
5,dissociate,0
5,separate,0
5,secure,7
5,robust,0
6,consentement,0
6,permission,3
6,permissions,1
6,permit,0
6,consent,0
6,allow,6
6,deny,0
6,forbid,0
7,delete,8
7,remove,6
7,data,25
7,after,6
7,since,4
7,stop,66
7,interrupt,0
7,inform,10
7,not use,5
7,erase,1
7,export,0
7,storage,8
7,internal storage,0
7,external,5
7,storage,8
7,server,76
7,self,0
7,period,1
7,inactive,0
7,useless,0
7,keep,1
7,preserve,0
7,uninstall,1
7,supprimer,1
7,supprimé,0
7,donnée,9
7,après,3
7,depuis,2
7,stop,66
7,interrompre,0
7,informer,0
7,pas utilisé,0
7,effacer,0
7,exporter,0
7,exporte,0
7,stocker,0
7,stockage,0
7,stockage interne,0
7,stockage externe,0
7,serveur,18
7,sois même,0
7,période,1
7,inactif,0
7,inutile,0
7,conserve,0
7,préserve,0
7,désinstaller,0
8,consentement,0
8,accepter,0
8,refuser,0
8,confiance,1
8,transparence,2
8,information,9
8,respect,2
8,constitution,0
8,consent,0
8,accept,0
8,refuse,0
8,confidence,0
8,transparency,4
8,condition,0
