Rule,Keyword,Occurence
1,protocole,48
1,ROBERT,0
1,protection des données,0
1,vie privée,3
1,protection,3
1,minimisation,0
1,protocol,49
1,privacy,26
1,personal data,0
1,protection,3
1,data minimization,0
1,minimization,0
2,privacy,26
2,rights,1
2,necessary,16
2,information,55
2,collect,21
2,minimize,0
2,justify,35
2,invasion,0
2,injure,0
2,quantity,0
2,personnal,3
2,law,22
2,protection,3
2,vie privée,3
2,nécessaire,4
2,renseignement,8
2,recueillir,0
2,minimiser,0
2,justifier,0
2,atteinte,0
2,quantité,1
2,personnel,3
2,droit,4
2,protection,3
3,securiser,0
3,sécuriser,0
3,securise,0
3,sécurise,0
3,secure,76
3,communication,6
3,canal,0
3,canaux,0
3,cyber,0
3,transférer,0
3,transfer,1
3,TLS,4
3,SSL,22
3,encrypt,215
3,crypt,241
3,key,1758
3,cle,191
3,clef,2
3,clé,41
3,https,1835
3,authentication,0
4,traçage,0
4,tracage,0
4,tracing,3
4,trace,6
4,tracabilite,0
4,traçabilité,0
4,tracabilité,0
4,tracing,3
4,collect,21
4,données,4
4,data,498
4,donnees,0
4,db,501
4,database,3
4,sql,5
4,sqlite,1
4,table,113
4,stock,0
4,stockage,0
4,pseudo,3
4,pseudonymisation,0
4,pseudonimize,0
4,anonymize,0
4,anonym,16
4,anonymization,0
5,coffre-fort,0
5,dissocier,0
5,pseudo,3
5,sécurisé,0
5,séparer,0
5,robuste,0
5,safe,136
5,vault,0
5,dissociate,0
5,separate,8
5,secure,76
5,robust,0
6,consentement,0
6,permission,163
6,permissions,105
6,permit,2
6,consent,9
6,allow,84
6,deny,3
6,forbid,0
7,delete,35
7,remove,74
7,data,498
7,after,42
7,since,172
7,stop,125
7,interrupt,4
7,inform,59
7,not use,5
7,erase,1
7,export,650
7,storage,422
7,internal storage,0
7,external,72
7,storage,422
7,server,163
7,self,101
7,period,188
7,inactive,16
7,useless,0
7,keep,11
7,preserve,3
7,uninstall,3
7,supprimer,1
7,supprimé,2
7,donnée,4
7,après,6
7,depuis,0
7,stop,125
7,interrompre,2
7,informer,3
7,pas utilisé,0
7,effacer,0
7,exporter,3
7,exporte,6
7,stocker,0
7,stockage,0
7,stockage interne,0
7,stockage externe,0
7,serveur,3
7,sois même,0
7,période,11
7,inactif,0
7,inutile,0
7,conserve,0
7,préserve,0
7,désinstaller,0
8,consentement,0
8,accepter,5
8,refuser,0
8,confiance,0
8,transparence,0
8,information,55
8,respect,29
8,constitution,0
8,consent,9
8,accept,33
8,refuse,1
8,confidence,8
8,transparency,10
8,condition,26
