Rule,Keyword,Occurence
1,protocole,4
1,ROBERT,0
1,protection des données,0
1,vie privée,30
1,protection,33
1,minimisation,0
1,protocol,6
1,privacy,48
1,personal data,0
1,protection,33
1,data minimization,0
1,minimization,0
2,privacy,48
2,rights,1
2,necessary,9
2,information,94
2,collect,96
2,minimize,3
2,justify,0
2,invasion,0
2,injure,0
2,quantity,0
2,personnal,3
2,law,2
2,protection,33
2,vie privée,30
2,nécessaire,14
2,renseignement,65
2,recueillir,2
2,minimiser,2
2,justifier,0
2,atteinte,2
2,quantité,1
2,personnel,31
2,droit,11
2,protection,33
3,securiser,0
3,sécuriser,0
3,securise,0
3,sécurise,0
3,secure,5
3,communication,12
3,canal,0
3,canaux,0
3,cyber,8
3,transférer,0
3,transfer,3
3,TLS,0
3,SSL,0
3,encrypt,11
3,crypt,19
3,key,115
3,cle,30
3,clef,0
3,clé,119
3,https,109
3,authentication,2
4,traçage,1
4,tracage,0
4,tracing,14
4,trace,13
4,tracabilite,0
4,traçabilité,0
4,tracabilité,0
4,tracing,14
4,collect,96
4,données,71
4,data,63
4,donnees,2
4,db,17
4,database,4
4,sql,0
4,sqlite,0
4,table,9
4,stock,30
4,stockage,3
4,pseudo,0
4,pseudonymisation,0
4,pseudonimize,0
4,anonymize,0
4,anonym,2
4,anonymization,0
5,coffre-fort,0
5,dissocier,0
5,pseudo,0
5,sécurisé,4
5,séparer,0
5,robuste,0
5,safe,11
5,vault,0
5,dissociate,0
5,separate,5
5,secure,5
5,robust,1
6,consentement,12
6,permission,7
6,permissions,2
6,permit,2
6,consent,36
6,allow,46
6,deny,3
6,forbid,0
7,delete,25
7,remove,2
7,data,63
7,after,30
7,since,7
7,stop,7
7,interrupt,2
7,inform,120
7,not use,3
7,erase,2
7,export,0
7,storage,2
7,internal storage,0
7,external,1
7,storage,2
7,server,66
7,self,7
7,period,11
7,inactive,0
7,useless,0
7,keep,1
7,preserve,0
7,uninstall,1
7,supprimer,3
7,supprimé,3
7,donnée,74
7,après,22
7,depuis,1
7,stop,7
7,interrompre,0
7,informer,8
7,pas utilisé,1
7,effacer,5
7,exporter,0
7,exporte,0
7,stocker,2
7,stockage,3
7,stockage interne,0
7,stockage externe,0
7,serveur,61
7,sois même,0
7,période,17
7,inactif,0
7,inutile,0
7,conserve,4
7,préserve,0
7,désinstaller,0
8,consentement,12
8,accepter,2
8,refuser,0
8,confiance,5
8,transparence,1
8,information,94
8,respect,11
8,constitution,0
8,consent,36
8,accept,4
8,refuse,1
8,confidence,2
8,transparency,1
8,condition,5
