Rule,Keyword,Occurence
1,protocole,2
1,ROBERT,0
1,protection des données,0
1,vie privée,3
1,protection,7
1,minimisation,0
1,protocol,44
1,privacy,26
1,personal data,0
1,protection,7
1,data minimization,0
1,minimization,0
2,privacy,26
2,rights,1
2,necessary,4
2,information,45
2,collect,7
2,minimize,0
2,justify,4
2,invasion,0
2,injure,0
2,quantity,0
2,personnal,0
2,law,9
2,protection,7
2,vie privée,3
2,nécessaire,1
2,renseignement,16
2,recueillir,0
2,minimiser,0
2,justifier,0
2,atteinte,5
2,quantité,0
2,personnel,11
2,droit,9
2,protection,7
3,securiser,0
3,sécuriser,0
3,securise,0
3,sécurise,0
3,secure,17
3,communication,3
3,canal,0
3,canaux,0
3,cyber,0
3,transférer,0
3,transfer,2
3,TLS,3
3,SSL,15
3,encrypt,15
3,crypt,20
3,key,670
3,cle,91
3,clef,0
3,clé,56
3,https,159
3,authentication,7
4,traçage,0
4,tracage,0
4,tracing,4
4,trace,9
4,tracabilite,0
4,traçabilité,0
4,tracabilité,0
4,tracing,4
4,collect,7
4,données,9
4,data,249
4,donnees,0
4,db,436
4,database,52
4,sql,23
4,sqlite,6
4,table,69
4,stock,0
4,stockage,0
4,pseudo,0
4,pseudonymisation,0
4,pseudonimize,0
4,anonymize,0
4,anonym,3
4,anonymization,0
5,coffre-fort,0
5,dissocier,0
5,pseudo,0
5,sécurisé,0
5,séparer,0
5,robuste,0
5,safe,15
5,vault,8
5,dissociate,0
5,separate,6
5,secure,17
5,robust,0
6,consentement,0
6,permission,51
6,permissions,12
6,permit,3
6,consent,0
6,allow,103
6,deny,6
6,forbid,19
7,delete,166
7,remove,57
7,data,249
7,after,54
7,since,8
7,stop,12
7,interrupt,5
7,inform,47
7,not use,5
7,erase,0
7,export,1
7,storage,8
7,internal storage,0
7,external,3
7,storage,8
7,server,57
7,self,1461
7,period,66
7,inactive,6
7,useless,0
7,keep,20
7,preserve,8
7,uninstall,0
7,supprimer,6
7,supprimé,2
7,donnée,9
7,après,10
7,depuis,0
7,stop,12
7,interrompre,0
7,informer,0
7,pas utilisé,0
7,effacer,3
7,exporter,0
7,exporte,0
7,stocker,0
7,stockage,0
7,stockage interne,0
7,stockage externe,0
7,serveur,4
7,sois même,0
7,période,5
7,inactif,2
7,inutile,0
7,conserve,2
7,préserve,0
7,désinstaller,0
8,consentement,0
8,accepter,2
8,refuser,0
8,confiance,2
8,transparence,0
8,information,45
8,respect,7
8,constitution,0
8,consent,0
8,accept,53
8,refuse,2
8,confidence,0
8,transparency,0
8,condition,16
