Rule,Keyword,Occurence
1,protocole,7
1,ROBERT,0
1,protection des données,0
1,vie privée,2
1,protection,2
1,minimisation,0
1,protocol,52
1,privacy,8
1,personal data,0
1,protection,2
1,data minimization,0
1,minimization,0
2,privacy,8
2,rights,1
2,necessary,2
2,information,19
2,collect,0
2,minimize,0
2,justify,0
2,invasion,0
2,injure,0
2,quantity,1
2,personnal,0
2,law,7
2,protection,2
2,vie privée,2
2,nécessaire,2
2,renseignement,3
2,recueillir,0
2,minimiser,0
2,justifier,0
2,atteinte,0
2,quantité,0
2,personnel,3
2,droit,1
2,protection,2
3,securiser,0
3,sécuriser,0
3,securise,0
3,sécurise,0
3,secure,8
3,communication,8
3,canal,1
3,canaux,0
3,cyber,0
3,transférer,0
3,transfer,5
3,TLS,6
3,SSL,9
3,encrypt,456
3,crypt,532
3,key,2298
3,cle,68
3,clef,0
3,clé,19
3,https,278
3,authentication,4
4,traçage,7
4,tracage,0
4,tracing,13
4,trace,36
4,tracabilite,0
4,traçabilité,0
4,tracabilité,0
4,tracing,13
4,collect,0
4,données,17
4,data,335
4,donnees,0
4,db,691
4,database,84
4,sql,268
4,sqlite,0
4,table,43
4,stock,3
4,stockage,0
4,pseudo,0
4,pseudonymisation,0
4,pseudonimize,0
4,anonymize,0
4,anonym,1
4,anonymization,0
5,coffre-fort,0
5,dissocier,0
5,pseudo,0
5,sécurisé,0
5,séparer,0
5,robuste,0
5,safe,56
5,vault,0
5,dissociate,0
5,separate,6
5,secure,8
5,robust,0
6,consentement,0
6,permission,7
6,permissions,4
6,permit,3
6,consent,0
6,allow,75
6,deny,3
6,forbid,4
7,delete,107
7,remove,10
7,data,335
7,after,19
7,since,27
7,stop,8
7,interrupt,2
7,inform,20
7,not use,6
7,erase,0
7,export,154
7,storage,4
7,internal storage,0
7,external,4
7,storage,4
7,server,569
7,self,8
7,period,122
7,inactive,0
7,useless,0
7,keep,5
7,preserve,0
7,uninstall,0
7,supprimer,1
7,supprimé,0
7,donnée,20
7,après,2
7,depuis,0
7,stop,8
7,interrompre,0
7,informer,0
7,pas utilisé,0
7,effacer,0
7,exporter,34
7,exporte,34
7,stocker,0
7,stockage,0
7,stockage interne,0
7,stockage externe,0
7,serveur,15
7,sois même,0
7,période,2
7,inactif,0
7,inutile,0
7,conserve,0
7,préserve,0
7,désinstaller,0
8,consentement,0
8,accepter,2
8,refuser,0
8,confiance,0
8,transparence,0
8,information,19
8,respect,5
8,constitution,0
8,consent,0
8,accept,20
8,refuse,1
8,confidence,0
8,transparency,0
8,condition,15
