Rule,Keyword,Occurence
1,protocole,1
1,ROBERT,1530
1,protection des données,0
1,vie privée,0
1,protection,0
1,minimisation,0
1,protocol,32
1,privacy,1
1,personal data,0
1,protection,0
1,data minimization,0
1,minimization,0
2,privacy,1
2,rights,66
2,necessary,18
2,information,17
2,collect,341
2,minimize,0
2,justify,0
2,invasion,0
2,injure,0
2,quantity,0
2,personnal,0
2,law,35
2,protection,0
2,vie privée,0
2,nécessaire,0
2,renseignement,0
2,recueillir,0
2,minimiser,0
2,justifier,0
2,atteinte,0
2,quantité,0
2,personnel,0
2,droit,0
2,protection,0
3,securiser,0
3,sécuriser,0
3,securise,0
3,sécurise,0
3,secure,90
3,communication,0
3,canal,0
3,canaux,0
3,cyber,0
3,transférer,0
3,transfer,12
3,TLS,8
3,SSL,1
3,encrypt,386
3,crypt,1666
3,key,1131
3,cle,30
3,clef,0
3,clé,0
3,https,180
3,authentication,14
4,traçage,0
4,tracage,0
4,tracing,1
4,trace,11
4,tracabilite,0
4,traçabilité,0
4,tracabilité,0
4,tracing,1
4,collect,341
4,données,0
4,data,501
4,donnees,0
4,db,344
4,database,219
4,sql,16
4,sqlite,0
4,table,194
4,stock,0
4,stockage,0
4,pseudo,0
4,pseudonymisation,0
4,pseudonimize,0
4,anonymize,0
4,anonym,2
4,anonymization,0
5,coffre-fort,0
5,dissocier,0
5,pseudo,0
5,sécurisé,0
5,séparer,0
5,robuste,0
5,safe,4
5,vault,14
5,dissociate,0
5,separate,6
5,secure,90
5,robust,1
6,consentement,0
6,permission,17
6,permissions,17
6,permit,18
6,consent,0
6,allow,45
6,deny,0
6,forbid,0
7,delete,221
7,remove,26
7,data,501
7,after,36
7,since,18
7,stop,943
7,interrupt,5
7,inform,35
7,not use,18
7,erase,0
7,export,40
7,storage,129
7,internal storage,0
7,external,0
7,storage,129
7,server,2277
7,self,16
7,period,32
7,inactive,0
7,useless,0
7,keep,19
7,preserve,1
7,uninstall,0
7,supprimer,0
7,supprimé,0
7,donnée,1
7,après,0
7,depuis,0
7,stop,943
7,interrompre,0
7,informer,0
7,pas utilisé,0
7,effacer,0
7,exporter,0
7,exporte,0
7,stocker,0
7,stockage,0
7,stockage interne,0
7,stockage externe,0
7,serveur,0
7,sois même,0
7,période,0
7,inactif,0
7,inutile,0
7,conserve,0
7,préserve,0
7,désinstaller,0
8,consentement,0
8,accepter,0
8,refuser,0
8,confiance,0
8,transparence,0
8,information,17
8,respect,19
8,constitution,0
8,consent,0
8,accept,13
8,refuse,0
8,confidence,1
8,transparency,0
8,condition,41
