Rule,Keyword,Occurence
1,protocole,1
1,ROBERT,877
1,protection des données,2
1,vie privée,0
1,protection,41
1,minimisation,0
1,protocol,5
1,privacy,101
1,personal data,1
1,protection,41
1,data minimization,0
1,minimization,0
2,privacy,101
2,rights,46
2,necessary,11
2,information,342
2,collect,28
2,minimize,0
2,justify,0
2,invasion,0
2,injure,0
2,quantity,0
2,personnal,5
2,law,35
2,protection,41
2,vie privée,0
2,nécessaire,15
2,renseignement,0
2,recueillir,0
2,minimiser,0
2,justifier,1
2,atteinte,0
2,quantité,0
2,personnel,12
2,droit,2
2,protection,41
3,securiser,0
3,sécuriser,2
3,securise,0
3,sécurise,2
3,secure,189
3,communication,9
3,canal,0
3,canaux,0
3,cyber,1
3,transférer,0
3,transfer,9
3,TLS,21
3,SSL,58
3,encrypt,132
3,crypt,278
3,key,1975
3,cle,501
3,clef,0
3,clé,20
3,https,836
3,authentication,0
4,traçage,0
4,tracage,0
4,tracing,4
4,trace,1
4,tracabilite,0
4,traçabilité,0
4,tracabilité,0
4,tracing,4
4,collect,28
4,données,61
4,data,3518
4,donnees,0
4,db,243
4,database,2
4,sql,9
4,sqlite,0
4,table,189
4,stock,7
4,stockage,0
4,pseudo,16
4,pseudonymisation,0
4,pseudonimize,0
4,anonymize,0
4,anonym,20
4,anonymization,0
5,coffre-fort,0
5,dissocier,0
5,pseudo,16
5,sécurisé,0
5,séparer,0
5,robuste,0
5,safe,210
5,vault,0
5,dissociate,0
5,separate,8
5,secure,189
5,robust,0
6,consentement,1
6,permission,85
6,permissions,36
6,permit,34
6,consent,13
6,allow,96
6,deny,3
6,forbid,16
7,delete,206
7,remove,112
7,data,3518
7,after,127
7,since,56
7,stop,1760
7,interrupt,4
7,inform,496
7,not use,6
7,erase,207
7,export,14
7,storage,28
7,internal storage,0
7,external,32
7,storage,28
7,server,216
7,self,61
7,period,111
7,inactive,2
7,useless,1
7,keep,52
7,preserve,1
7,uninstall,0
7,supprimer,20
7,supprimé,5
7,donnée,64
7,après,15
7,depuis,34
7,stop,1760
7,interrompre,0
7,informer,7
7,pas utilisé,0
7,effacer,13
7,exporter,0
7,exporte,14
7,stocker,0
7,stockage,0
7,stockage interne,0
7,stockage externe,0
7,serveur,9
7,sois même,0
7,période,8
7,inactif,0
7,inutile,2
7,conserve,1
7,préserve,0
7,désinstaller,0
8,consentement,1
8,accepter,2
8,refuser,0
8,confiance,0
8,transparence,0
8,information,342
8,respect,26
8,constitution,0
8,consent,13
8,accept,66
8,refuse,2
8,confidence,13
8,transparency,0
8,condition,82
