TITLE;ISSUE_ID;LOGS;COMMITS;ASSIGNES;COMMENTS;OPEN
This component requires inline template type-checking  which is not supported by the current environment.(-998900);40857;0;0;0;5;1
`Error: Failed to find exported name of node` reported from pkg bundled by `ng-packagr`;40959;1;0;0;4;1
SSR/Universal: styles flicker on lazy-load module rendering;32855;0;0;1;8;1
HttpParams does erroneous URL Encoding;40797;0;0;0;5;0
Router Segments parsing error with =;21381;0;0;0;5;1
"Tour of Heros tutorial causes error in ch 3 when TS transpiler is set to ""strict""";40941;1;4;0;2;1
AOT Dev builds in Angular v9+ are much slower than JIT;37293;0;0;0;80;1
Animating opacity on :enter doesn't work with a video element that is playing;40949;0;0;0;0;1
Support OnInit in services;23235;0;0;0;23;1
strictDomEventTypes uses incorrect types for keyup.Enter style outputs;40778;1;0;0;7;1
misleading documentation on :host and :host-context directives;39466;0;0;1;5;1
Style Guide still recommends Codelyzer which is being deprecated;40903;0;0;1;2;1
Ivy Memory Leak: Select & Option Elements;37671;0;0;0;6;1
[@angular/animations] ViewEncapsulation.ShadowDom breaks Angular Animations;25672;0;6;0;17;1
Single build with multiple configurationw vs multiple builds with single configuration each;40923;1;0;1;2;1
Better documentation for multiple projects within one workspace;39368;0;0;1;6;1
Lazy-loaded circular dependent components break live-reload;39431;1;0;0;7;0
Combining :host-context and :host-context doesn't work;19199;0;13;0;9;0
Angular router param is not escaped.;40517;1;0;0;2;0
Decorator of AsyncValidator example should be a Directive not an Injectable;33429;0;0;2;2;0
Inconsistent form group creation;24326;0;0;0;2;0
Validator behavior is different when using ngModel versus FormControl (attribute versus programmatic validators);19643;0;0;0;4;0
CanDeactivate not triggered when navigating from lazy loaded module component to root module;28730;0;0;0;7;1
Yes;40935;1;0;0;0;0
keyvalue pipe doesn't preserve a Map's sorted order;31420;0;0;0;30;1
Child routes disappear immediately instead of playing :leave animation;15477;0;0;0;31;1
Binding on input [type] is broken;13243;0;0;0;21;1
Circular source file mapping dependency on extract-i18n;40408;1;13;1;2;0
Angular elements input property bindings with ng-container wrapper problems;40452;0;6;0;4;0
HttpClient *sometimes* sends invalid HTTP requests after updating from Angular 10 to Angular 11;40508;0;0;0;5;0
Angular/core 11.0.3 E2E tests error;40221;1;0;0;3;0
ng-content childs initiliazed even without any render points;40483;0;0;0;13;0
NodeInvocationException: Uncaught (in promise): Error: Injector has already been destroyed. Error: Injector has already been destroyed.;37888;1;0;1;21;0
Error in `HttpHeaders#applyUpdate()`: null is not an object (evaluating 'n.length');40424;0;0;0;10;0
ParamMap returns a number if number used in navigate;23165;0;6;0;5;0
"Mistake in ""Templates"" docs in ""Text Interpolation"" section";40403;1;10;1;2;0
Uglified UMD bundle for PlatformBrowser broken;40926;0;0;0;3;0
Prevent FormArray push to emit event;23336;0;13;0;16;0
[NgTemplateOutlet] _updateExistingContext causes side effects ;40493;1;0;0;2;0
Use component in library;40477;1;0;0;6;0
Styles are not removed by router after navigation when using ViewEncapsulation.None;16670;0;3;0;36;1
Language service tags autocomplete for textarea and select as errors.;39490;0;1;1;1;1
bug happened when animations work with ng-content;24041;0;0;0;15;1
Components host-element should (optional) be a html-comment instead of html-element;18877;0;0;0;88;1
"Wildcard route (**) does not catch ""Named router-outlet not found""";40845;1;0;0;1;0
Routing: Preserve trailing slash;16051;0;0;0;25;1
Angular - TransferState - page is loading twice (flickering);23427;0;0;0;50;1
HttpParams fromString first param not updating;28722;0;3;0;2;0
platform-browser: HAMMER_LOADER is executed multiple times;25995;0;6;0;1;0
FormGroup reset() throws error if a control is removed based on a valueChanges subscription;33401;1;3;1;7;0
Multiple form controls are bound to the same input element  when I use ngIf directive;26890;0;0;0;3;0
component implements ControlValueAccessor still connected to ngForm after destroy;27803;0;5;0;11;0
Use the Record utility type for key-value properties in documentation samples;39804;1;6;1;3;0
The ngOnDestroy handler crashes after upgrade to Angular 11 on 'ng test' (zone.js issue);40215;0;7;1;6;0
Angular CLI wiki: HMR docs are out of date;29452;0;0;0;11;0
bug(router) aux-routes not working with empty-path top-level routes;10726;0;4;0;46;0
i18n: Order of trans-units in source.xlf seems random;40473;0;0;0;3;0
Incorrect description of navigateByUrl method of Router class;36951;0;3;1;3;0
Overriding templates/templateUrls of components;11144;0;0;0;12;1
Destroy of components trigger events;40906;1;0;0;3;1
Clarify documentation around svg fragments in templates;40916;0;0;0;0;1
Angular Universal: HTMLElement is not defined;39950;1;18;0;4;0
Incremental AOT compilation is 5 times slower in Angular 11.1 comparing to 10.1;40635;0;0;3;41;1
Unable to override providers in submodules;40471;0;0;0;2;0
Iam not able to embed LWC component in Angular Application?;40470;1;0;0;2;0
HTML is rendered in browser differently depending on if it's in a Component or not - No CSS Used;40464;0;0;0;2;0
Uncaught (in promise): TypeError: Cannot read property 'selectors' of null only when you deployed your code on live server if any one know how to fix it please guide;40465;1;0;0;2;0
Headers getting removed for Microsoft Graph API in iPad browsers;40279;1;0;0;4;0
Feature: more robust module loader for router;12289;0;0;0;29;1
sanitizeHTML incorrectly strips <tr> (and more tags) in IE  FF  Edge;35387;0;11;0;8;0
Angular 11 - Documentation - Tutorial: Tour of Heroes  property not initialized error from typescript;39966;1;0;1;3;1
[String Interpolation] Object key treating as html tag;40902;1;0;0;2;1
Query params always purport to be empty on page load even though provided;12157;0;0;0;62;1
Generics do not correctly infer in template pipe usage;21224;0;0;0;27;0
Dependency injection with @Self() is broken in tests;31632;1;0;0;10;1
Strict template checking false positives;40880;1;0;0;3;0
Bug;40898;1;0;0;1;0
HammerModule - order of import issue;40893;0;0;0;1;0
Using ngIf  DOM nodes cannot be garbage collected because of form control;37431;0;2;0;16;0
Insufficient docs for interaction when mixing view encapsulation modes;40715;0;0;0;5;1
aio: annoying separator in ObjectType in the API section;28751;0;0;1;6;0
Missing return value documentation for HostListener callbacks;40708;0;5;1;5;0
Missing equiv-text and wrong line number from library in extracted i18n messages.xlf;40689;0;0;0;9;1
HtmlInputElement holds all component tree memory leak;40614;0;0;0;8;0
PipeTransform docs unclear when dealing with multiple parameters;37321;0;7;1;8;1
docs: a snapshot and description for the lifecycle hooks Peek-A-Boo example doesn't match to an actual behavior.;40138;0;4;1;5;1
Hammer tap event doesn't fire after binding sanitized HTML on iOS;40781;0;0;0;2;1
"Angular Language Service throws ""no config file for"" html template while activating experimental-ivy under VSCode";40875;1;0;0;0;1
Angular issue while extending a subject class in Angular 10 in production mode;40866;1;0;0;6;0
Updating input value works incorrectly;40871;1;0;0;5;0
Some TestModuleMetadata properties are different from NgModule properties types ;40874;0;0;0;1;0
Support `emitEvent` option in FormGroup and FormArray APIs;20439;0;1;1;19;0
karma tests issue after update to 11.1.0;40507;1;0;0;16;0
Trying to use :host-context and :host together in the same rule doesn't work.;14349;0;5;1;18;0
"Incorrect code in ""Observable HeroService"" section of Angular Tour of Heroes";40788;1;3;1;1;0
Compiler does not complain undecorated class using angular features;40438;0;0;0;14;0
@angular/compiler duplicate nodes on elements with structural directive and bound properties;40838;0;0;0;7;0
Enter and leave animations don't behave as expected with parent-child relationships;35825;0;0;0;6;1
[Ivy] ASSERTION ERROR: Should be run in update mode;32756;1;0;0;29;1
With ivy  injecting a parent directive with the @host annotation fails in nested structures;36241;0;0;1;7;1
mat-accordion styles break 'position: sticky;;;;;;
i18n with Angular Universal;40856;1;0;0;1;0
@angular/http throws errors only in Firefox randomly;40443;1;0;0;3;0
Infinite loop during preload if router configuration missed in preloaded module;29164;1;10;0;2;0
"Error: ""inject() must be called from an injection context"" after upgrading to Angular 11";40430;1;0;0;5;0
Unable to open new PWA window in PWA app;40447;0;0;0;4;0
Angular.io website not loading on chrome 56 on ios 9.3.5;24392;0;0;0;14;0
Angular 11.1.1 breaks source map for components with variable as an inline template;40854;0;0;0;2;1
ngcc cli doesn't seem to work with symlinked folders in node_modules (pnpm);40853;0;0;0;1;0
API docs: there's no Optional  Self and SkipSelf decorators;40851;0;0;1;3;1
"Getting ""control.registerOnChange is not a function"" after changing form";13788;0;0;0;37;1
request| feat(template): provide alias for `constructor` in template to access statics;9962;0;0;0;2;1
Add microsyntax to the glossary;39784;1;0;0;3;0
Some sourcemaps from library are not being copied to __ivy_ngcc__;40358;1;4;1;3;0
Error when trying to add/remove class to element from directive code using Renderer2;40432;1;0;0;2;0
Navigations with async guards + nested RouterLink + urlUpdateStrategy: eager are broken;40401;0;0;0;3;0
Form Array of Form Groups incorrect typing;40842;1;0;0;2;0
There is always a leading `null` value on `writeValue` hook when using `ngModel`;40425;0;0;0;3;0
The behavior of ActivatedRoute's Observables are not documented (only emit when shallow equality check fails);40769;0;0;0;19;1
Documentation for adding cross-validation to reactive forms is incorrect;40131;0;3;0;2;0
Improve usability when AIO build process detects broken links;39610;1;6;1;3;0
Cant build or test in parallel due to ngcc lock file;40405;1;0;0;4;0
