TITLE,ISSUE_ID,LOGS,COMMITS,ASSIGNES,COMMENTS
HttpParams does erroneous URL Encoding,40797,0,0,0,5
Lazy-loaded circular dependent components break live-reload,39431,1,0,0,7
Combining :host-context and :host-context doesn't work,19199,0,13,0,9
Angular router param is not escaped.,40517,1,0,0,2
Decorator of AsyncValidator example should be a Directive not an Injectable,33429,0,0,2,2
Inconsistent form group creation,24326,0,0,0,2
Validator behavior is different when using ngModel versus FormControl (attribute versus programmatic validators),19643,0,0,0,4
Yes,40935,1,0,0,0
Circular source file mapping dependency on extract-i18n,40408,1,13,1,2
Angular elements input property bindings with ng-container wrapper problems,40452,0,6,0,4
HttpClient *sometimes* sends invalid HTTP requests after updating from Angular 10 to Angular 11,40508,0,0,0,5
Angular/core 11.0.3 E2E tests error,40221,1,0,0,3
ng-content childs initiliazed even without any render points,40483,0,0,0,13
NodeInvocationException: Uncaught (in promise): Error: Injector has already been destroyed. Error: Injector has already been destroyed.,37888,1,0,1,21
Error in `HttpHeaders#applyUpdate()`: null is not an object (evaluating 'n.length'),40424,0,0,0,10
ParamMap returns a number if number used in navigate,23165,0,6,0,5
"Mistake in ""Templates"" docs in ""Text Interpolation"" section",40403,1,10,1,2
Uglified UMD bundle for PlatformBrowser broken,40926,0,0,0,3
Prevent FormArray push to emit event,23336,0,13,0,16
[NgTemplateOutlet] _updateExistingContext causes side effects ,40493,1,0,0,2
Use component in library,40477,1,0,0,6
"Wildcard route (**) does not catch ""Named router-outlet not found""",40845,1,0,0,1
HttpParams fromString first param not updating,28722,0,3,0,2
platform-browser: HAMMER_LOADER is executed multiple times,25995,0,6,0,1
FormGroup reset() throws error if a control is removed based on a valueChanges subscription,33401,1,3,1,7
Multiple form controls are bound to the same input element  when I use ngIf directive,26890,0,0,0,3
component implements ControlValueAccessor still connected to ngForm after destroy,27803,0,5,0,11
Use the Record utility type for key-value properties in documentation samples,39804,1,6,1,3
The ngOnDestroy handler crashes after upgrade to Angular 11 on 'ng test' (zone.js issue),40215,0,7,1,6
Angular CLI wiki: HMR docs are out of date,29452,0,0,0,11
bug(router) aux-routes not working with empty-path top-level routes,10726,0,4,0,46
i18n: Order of trans-units in source.xlf seems random,40473,0,0,0,3
Incorrect description of navigateByUrl method of Router class,36951,0,3,1,3
Angular Universal: HTMLElement is not defined,39950,1,18,0,4
Unable to override providers in submodules,40471,0,0,0,2
Iam not able to embed LWC component in Angular Application?,40470,1,0,0,2
HTML is rendered in browser differently depending on if it's in a Component or not - No CSS Used,40464,0,0,0,2
Uncaught (in promise): TypeError: Cannot read property 'selectors' of null only when you deployed your code on live server if any one know how to fix it please guide,40465,1,0,0,2
Headers getting removed for Microsoft Graph API in iPad browsers,40279,1,0,0,4
sanitizeHTML incorrectly strips <tr> (and more tags) in IE  FF  Edge,35387,0,11,0,8
Generics do not correctly infer in template pipe usage,21224,0,0,0,27
Strict template checking false positives,40880,1,0,0,3
Bug,40898,1,0,0,1
HammerModule - order of import issue,40893,0,0,0,1
Using ngIf  DOM nodes cannot be garbage collected because of form control,37431,0,2,0,16
aio: annoying separator in ObjectType in the API section,28751,0,0,1,6
Missing return value documentation for HostListener callbacks,40708,0,5,1,5
HtmlInputElement holds all component tree memory leak,40614,0,0,0,8
Angular issue while extending a subject class in Angular 10 in production mode,40866,1,0,0,6
Updating input value works incorrectly,40871,1,0,0,5
Some TestModuleMetadata properties are different from NgModule properties types ,40874,0,0,0,1
Support `emitEvent` option in FormGroup and FormArray APIs,20439,0,1,1,19
karma tests issue after update to 11.1.0,40507,1,0,0,16
Trying to use :host-context and :host together in the same rule doesn't work.,14349,0,5,1,18
"Incorrect code in ""Observable HeroService"" section of Angular Tour of Heroes",40788,1,3,1,1
Compiler does not complain undecorated class using angular features,40438,0,0,0,14
@angular/compiler duplicate nodes on elements with structural directive and bound properties,40838,0,0,0,7
mat-accordion styles break 'position: sticky;' functionality,40861,0,0,0,1
i18n with Angular Universal,40856,1,0,0,1
@angular/http throws errors only in Firefox randomly,40443,1,0,0,3
Infinite loop during preload if router configuration missed in preloaded module,29164,1,10,0,2
"Error: ""inject() must be called from an injection context"" after upgrading to Angular 11",40430,1,0,0,5
Unable to open new PWA window in PWA app,40447,0,0,0,4
Angular.io website not loading on chrome 56 on ios 9.3.5,24392,0,0,0,14
ngcc cli doesn't seem to work with symlinked folders in node_modules (pnpm),40853,0,0,0,1
Add microsyntax to the glossary,39784,1,0,0,3
Some sourcemaps from library are not being copied to __ivy_ngcc__,40358,1,4,1,3
Error when trying to add/remove class to element from directive code using Renderer2,40432,1,0,0,2
Navigations with async guards + nested RouterLink + urlUpdateStrategy: eager are broken,40401,0,0,0,3
Form Array of Form Groups incorrect typing,40842,1,0,0,2
There is always a leading `null` value on `writeValue` hook when using `ngModel`,40425,0,0,0,3
Documentation for adding cross-validation to reactive forms is incorrect,40131,0,3,0,2
Improve usability when AIO build process detects broken links,39610,1,6,1,3
Cant build or test in parallel due to ngcc lock file,40405,1,0,0,4
Ivy no longer report invalid structural directives / schema errors on NgTemplate,40388,0,0,0,5
@angular/compiler-cli downleveling decorators possibly causing RangeError: Maximum call stack size exceeded with isReferencedAliasDeclaration,40276,1,5,1,13
Dynamically changing reactive forms throws a registerOnChange error,26998,0,5,0,3
Parent animation cannot query :enter or :leave when a child animation exists,23977,0,0,0,1
""":leave"" animation of child component doesn't work when the parent has its own animations",40799,0,0,0,1
Async pipe fails when using an observable from a ControlValueAccessor initial value,40826,0,0,0,2
FormArray & ControlValueAccessor does not pass through validation when sub component appears.,32454,0,0,0,4
Production Unit Tests Intermittently Fail In afterAll with Uncaught [object Object],33800,1,0,0,16
After upgrading to Angular 9  ngFor and ngIf are unknown,35273,1,0,0,3
Angular 10 canLoad guard seems to not working properly,39808,0,0,0,5
"Mistake in Templates docs in ""Text Interpolation"" section",40402,1,0,0,1
FormControls don't fully unbind from dom when swapped out,23473,0,0,0,3
FormControlDirective never unsubscribes.,22294,0,0,0,9
Null pointer exception in transition_animation_engine.ts,36378,0,0,1,3
Cannot reattach ActivatedRouteSnapshot created from a different route,40515,1,0,0,3
Support extend angularCompilerOptions in tsconfig from absolute tsconfig,36715,0,7,0,2
"""Can't bind to 'capture' since it isn't a known property of 'input'.""",35867,0,0,0,4
EOF error when using svg:title tag in component template,31503,1,5,1,6
Can't use a <form> tag with a [formControl] directive,38391,1,4,1,3
"""Navigation triggered outside Angular zone"" warning in unit tests",25837,0,2,1,34
Library is skipped by Ivy / ngcc compiler,40357,1,2,0,14
multiple NG9 angular elements consuming a service as a singleton using providedIn:platform,40301,0,0,0,11
Angular 11.0.6 and 11.0.7: Componentless routes broken in IE11 when navigating,40372,1,0,0,6
User `ngTemplateOutletContext` been modified unexpectedly,40385,0,0,0,3
