TITLE,ISSUE_ID,LOGS,COMMITS,ASSIGNES,COMMENTS
This component requires inline template type-checking  which is not supported by the current environment.(-998900),40857,0,0,0,5
`Error: Failed to find exported name of node` reported from pkg bundled by `ng-packagr`,40959,1,0,0,4
SSR/Universal: styles flicker on lazy-load module rendering,32855,0,0,1,8
Router Segments parsing error with =,21381,0,0,0,5
"Tour of Heros tutorial causes error in ch 3 when TS transpiler is set to ""strict""",40941,1,4,0,2
AOT Dev builds in Angular v9+ are much slower than JIT,37293,0,0,0,80
Animating opacity on :enter doesn't work with a video element that is playing,40949,0,0,0,0
Support OnInit in services,23235,0,0,0,23
strictDomEventTypes uses incorrect types for keyup.Enter style outputs,40778,1,0,0,7
misleading documentation on :host and :host-context directives,39466,0,0,1,5
Style Guide still recommends Codelyzer which is being deprecated,40903,0,0,1,2
Ivy Memory Leak: Select & Option Elements,37671,0,0,0,6
[@angular/animations] ViewEncapsulation.ShadowDom breaks Angular Animations,25672,0,6,0,17
Single build with multiple configurationw vs multiple builds with single configuration each,40923,1,0,1,2
Better documentation for multiple projects within one workspace,39368,0,0,1,6
CanDeactivate not triggered when navigating from lazy loaded module component to root module,28730,0,0,0,7
keyvalue pipe doesn't preserve a Map's sorted order,31420,0,0,0,30
Child routes disappear immediately instead of playing :leave animation,15477,0,0,0,31
Binding on input [type] is broken,13243,0,0,0,21
Styles are not removed by router after navigation when using ViewEncapsulation.None,16670,0,3,0,36
Language service tags autocomplete for textarea and select as errors.,39490,0,1,1,1
bug happened when animations work with ng-content,24041,0,0,0,15
Components host-element should (optional) be a html-comment instead of html-element,18877,0,0,0,88
Routing: Preserve trailing slash,16051,0,0,0,25
Angular - TransferState - page is loading twice (flickering),23427,0,0,0,50
Overriding templates/templateUrls of components,11144,0,0,0,12
Destroy of components trigger events,40906,1,0,0,3
Clarify documentation around svg fragments in templates,40916,0,0,0,0
Incremental AOT compilation is 5 times slower in Angular 11.1 comparing to 10.1,40635,0,0,3,41
Feature: more robust module loader for router,12289,0,0,0,29
Angular 11 - Documentation - Tutorial: Tour of Heroes  property not initialized error from typescript,39966,1,0,1,3
[String Interpolation] Object key treating as html tag,40902,1,0,0,2
Query params always purport to be empty on page load even though provided,12157,0,0,0,62
Dependency injection with @Self() is broken in tests,31632,1,0,0,10
Insufficient docs for interaction when mixing view encapsulation modes,40715,0,0,0,5
Missing equiv-text and wrong line number from library in extracted i18n messages.xlf,40689,0,0,0,9
PipeTransform docs unclear when dealing with multiple parameters,37321,0,7,1,8
docs: a snapshot and description for the lifecycle hooks Peek-A-Boo example doesn't match to an actual behavior.,40138,0,4,1,5
Hammer tap event doesn't fire after binding sanitized HTML on iOS,40781,0,0,0,2
"Angular Language Service throws ""no config file for"" html template while activating experimental-ivy under VSCode",40875,1,0,0,0
Enter and leave animations don't behave as expected with parent-child relationships,35825,0,0,0,6
[Ivy] ASSERTION ERROR: Should be run in update mode,32756,1,0,0,29
With ivy  injecting a parent directive with the @host annotation fails in nested structures,36241,0,0,1,7
Angular 11.1.1 breaks source map for components with variable as an inline template,40854,0,0,0,2
API docs: there's no Optional  Self and SkipSelf decorators,40851,0,0,1,3
"Getting ""control.registerOnChange is not a function"" after changing form",13788,0,0,0,37
request| feat(template): provide alias for `constructor` in template to access statics,9962,0,0,0,2
The behavior of ActivatedRoute's Observables are not documented (only emit when shallow equality check fails),40769,0,0,0,19
"""Usage notes"" in API reference are hard to discover",40753,0,4,1,2
Unclear alert about reactive forms and validation attributes,37165,1,0,0,2
ng-if on root elements of projected content fails to render on initialisation,16685,0,0,0,2
@angular/core/testing imports @angular/compiler without it being a listed dependency,38096,1,0,0,2
Update i18n doc with loadTranslations and $localize,37563,1,0,1,7
Forms: State that setErrors() will make status === INVALID regardless of value passed for key,21564,0,0,0,29
Misleading errormessage when using HostBinding with @animation trigger but no defined animations ,15581,0,0,0,9
Boolean properties as HTML binary attributes,14761,0,0,0,37
Feature: @Directive should support styles and styleUrls properties,17766,0,0,0,35
