min_size, max_size, files
0, 9, 0
10, 19, 0
20, 29, 0
30, 39, 2
40, 49, 15
50, 59, 25
60, 69, 103
70, 79, 77
80, 89, 676
90, 99, 5286
100, 109, 917
110, 119, 2999
120, 129, 4887
130, 139, 3256
140, 149, 3897
150, 159, 8700
160, 169, 3506
170, 179, 1786
180, 189, 2518
190, 199, 2003
200, 209, 1922
210, 219, 1874
220, 229, 1771
230, 239, 2767
240, 249, 1804
250, 259, 1700
260, 269, 1397
270, 279, 1254
280, 289, 1237
290, 299, 1218
300, 309, 1241
310, 319, 1191
320, 329, 1365
330, 339, 1008
340, 349, 954
350, 359, 930
360, 369, 907
370, 379, 1010
380, 389, 1087
390, 399, 1258
400, 409, 1194
410, 419, 708
420, 429, 866
430, 439, 1181
440, 449, 788
450, 459, 2697
460, 469, 487
470, 479, 696
480, 489, 908
490, 499, 603
500, 509, 621
510, 519, 455
520, 529, 520
530, 539, 896
540, 549, 586
550, 559, 408
560, 569, 748
570, 579, 382
580, 589, 425
590, 599, 400
600, 609, 423
610, 619, 412
620, 629, 344
630, 639, 357
640, 649, 482
650, 659, 386
660, 669, 345
670, 679, 325
680, 689, 350
690, 699, 749
700, 709, 647
710, 719, 479
720, 729, 489
730, 739, 375
740, 749, 416
750, 759, 493
760, 769, 437
770, 779, 414
780, 789, 389
790, 799, 243
800, 809, 365
810, 819, 357
820, 829, 498
830, 839, 367
840, 849, 494
850, 859, 318
860, 869, 396
870, 879, 459
880, 889, 300
890, 899, 381
900, 909, 293
910, 919, 246
920, 929, 252
930, 939, 175
940, 949, 281
950, 959, 260
960, 969, 256
970, 979, 208
980, 989, 288
990, 999, 264
1000, 1009, 336
1010, 1019, 281
1020, 1029, 255
1030, 1039, 173
1040, 1049, 179
1050, 1059, 136
1060, 1069, 209
1070, 1079, 176
1080, 1089, 181
1090, 1099, 223
1100, 1109, 218
1110, 1119, 183
1120, 1129, 226
1130, 1139, 184
1140, 1149, 154
1150, 1159, 162
1160, 1169, 206
1170, 1179, 173
1180, 1189, 160
1190, 1199, 461
1200, 1209, 342
1210, 1219, 142
1220, 1229, 206
1230, 1239, 155
1240, 1249, 164
1250, 1259, 190
1260, 1269, 147
1270, 1279, 119
1280, 1289, 139
1290, 1299, 141
1300, 1309, 138
1310, 1319, 242
1320, 1329, 127
1330, 1339, 170
1340, 1349, 166
1350, 1359, 125
1360, 1369, 144
1370, 1379, 103
1380, 1389, 106
1390, 1399, 172
1400, 1409, 98
1410, 1419, 104
1420, 1429, 111
1430, 1439, 105
1440, 1449, 100
1450, 1459, 129
1460, 1469, 99
1470, 1479, 81
1480, 1489, 105
1490, 1499, 100
1500, 1509, 106
1510, 1519, 100
1520, 1529, 107
1530, 1539, 126
1540, 1549, 111
1550, 1559, 114
1560, 1569, 92
1570, 1579, 78
1580, 1589, 101
1590, 1599, 92
1600, 1609, 99
1610, 1619, 107
1620, 1629, 93
1630, 1639, 88
1640, 1649, 96
1650, 1659, 90
1660, 1669, 93
1670, 1679, 73
1680, 1689, 87
1690, 1699, 114
1700, 1709, 67
1710, 1719, 104
1720, 1729, 136
1730, 1739, 70
1740, 1749, 77
1750, 1759, 74
1760, 1769, 71
1770, 1779, 62
1780, 1789, 93
1790, 1799, 82
1800, 1809, 76
1810, 1819, 86
