"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/OpenCorePkg/Application/CsrUtil/CsrUtil.c.xml,59,73,#if,defined(PRINT_ARGUMENTS),PRINT_ARGUMENTS
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/OpenCorePkg/Application/CsrUtil/CsrUtil.c.xml,123,127,#if,defined(PRINT_ARGUMENTS),PRINT_ARGUMENTS
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/OpenCorePkg/Application/PavpProvision/PavpProvision.c.xml,195,198,#if,defined(FORCE_PROVISIONING),FORCE_PROVISIONING
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/OpenCorePkg/Application/PavpProvision/PavpProvision.c.xml,198,206,#else,!(defined(FORCE_PROVISIONING)),FORCE_PROVISIONING
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/OpenCorePkg/Application/PavpProvision/PavpProvision.c.xml,299,301,#if,defined(FORCE_PROVISIONING),FORCE_PROVISIONING
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/OpenCorePkg/Application/PavpProvision/PavpProvision.c.xml,322,324,#if,0,
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/OpenCorePkg/Application/PavpProvision/PavpProvision.c.xml,324,326,#else,!(0),
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/OpenCorePkg/Application/PavpProvision/PavpProvision.c.xml,606,612,#if,0,
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/OpenCorePkg/Include/AMI/Protocol/AmiKeycode.h.xml,14,59,#if,!defined(AMI_KEYCODE_H),AMI_KEYCODE_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/OpenCorePkg/Include/AMI/Protocol/AmiKeycode.h.xml,25,27,#if,(!defined(AMI_KEYCODE_H)) && (!defined(KEY_STATE_EXPOSED)),AMI_KEYCODE_H;KEY_STATE_EXPOSED
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/OpenCorePkg/Include/AMI/Protocol/AmiPointer.h.xml,14,82,#if,!defined(AMI_POINTER_H),AMI_POINTER_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/OpenCorePkg/Include/AMI/Protocol/AmiSoftKbd.h.xml,14,65,#if,!defined(AMI_SOFT_KBD_H),AMI_SOFT_KBD_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/OpenCorePkg/Include/AMI/Protocol/AmiSoftKbdRestore.h.xml,14,51,#if,!defined(AMI_SOFT_KBD_RESTORE_H),AMI_SOFT_KBD_RESTORE_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/OpenCorePkg/Include/Acidanthera/Guid/OcSmBios.h.xml,14,44,#if,!defined(OC_SMBIOS_H),OC_SMBIOS_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/OpenCorePkg/Include/Acidanthera/Guid/OcVariable.h.xml,15,130,#if,!defined(OC_VARIABLE_H),OC_VARIABLE_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/OpenCorePkg/Include/Acidanthera/IndustryStandard/PeCoffImage.h.xml,18,716,#if,!defined(PE_COFF_IMAGE_H),PE_COFF_IMAGE_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/OpenCorePkg/Include/Acidanthera/Library/OcAcpiLib.h.xml,15,349,#if,!defined(OC_ACPI_LIB_H),OC_ACPI_LIB_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/OpenCorePkg/Include/Acidanthera/Library/OcAfterBootCompatLib.h.xml,15,227,#if,!defined(OC_AFTER_BOOT_COMPAT_LIB_H),OC_AFTER_BOOT_COMPAT_LIB_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/OpenCorePkg/Include/Acidanthera/Library/OcApfsLib.h.xml,15,120,#if,!defined(OC_APFS_LIB_H),OC_APFS_LIB_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/OpenCorePkg/Include/Acidanthera/Library/OcAppleBootPolicyLib.h.xml,15,188,#if,!defined(OC_APPLE_BOOT_POLICY_LIB_H),OC_APPLE_BOOT_POLICY_LIB_H
