"sep=,"
FILENAME,CONSTANTS
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/cat/cat.c.xml,BOOTSTRAP_CAT;NO_UDOM_SUPPORT;lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/chflags/chflags.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/chio/chio.c.xml,CHET_VT;lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/chio/defs.h.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/chio/pathnames.h.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/chmod/chmod.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/cp/cp.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/cp/extern.h.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/cp/utils.c.xml,VM_AND_BUFFER_CACHE_SYNCHRONIZED;lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/csh/config.h.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/csh/config_p.h.xml,_BSDI_VERSION;__APPLE__;__FreeBSD__;__bsdi__;_h_config
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/csh/iconv_stub.c.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/csh/iconv_stub.h.xml,_ICONV_H_
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/date/date.c.xml,TM_YEAR_BASE;lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/date/vary.c.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/date/vary.h.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/dd/args.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/dd/conv.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/dd/conv_tab.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/dd/dd.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/dd/dd.h.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/dd/extern.h.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/dd/gen.c.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/dd/misc.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/dd/position.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/df/df.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/domainname/domainname.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/echo/echo.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/ed/buf.c.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/ed/ed.h.xml,INT_MAX;NO_REALLOC_NULL;max;min;sun
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/ed/glbl.c.xml,BACKWARDS;NO_REALLOC_NULL;sun
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/ed/io.c.xml,BACKWARDS
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/ed/main.c.xml,BACKWARDS;SIGWINCH;_POSIX_SOURCE;lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/ed/re.c.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/ed/sub.c.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/ed/undo.c.xml,NO_REALLOC_NULL;sun
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/getfacl/getfacl.c.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/hostname/hostname.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/kenv/kenv.c.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/kill/kill.c.xml,SHELL;lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/ln/ln.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/ls/cmp.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/ls/extern.h.xml,COLORLS
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/ls/ls.c.xml,COLORLS;FTS_WHITEOUT;lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/ls/ls.h.xml,COLORLS
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/ls/print.c.xml,COLORLS;lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/ls/util.c.xml,COLORLS;WCHAR_MIN;lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/mkdir/mkdir.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/mv/mv.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/pax/ar_io.c.xml,NET2_STAT;lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/pax/ar_subs.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/pax/buf_subs.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/pax/cache.c.xml,NET2_STAT;lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/pax/cache.h.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/pax/cpio.c.xml,NET2_STAT;lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/pax/cpio.h.xml,_PAX_
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/pax/extern.h.xml,NET2_STAT
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/pax/file_subs.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/pax/ftree.c.xml,NET2_FTS;lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/pax/ftree.h.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/pax/gen_subs.c.xml,NET2_STAT;lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/pax/getoldopt.c.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/pax/options.c.xml,NET2_STAT;lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/pax/options.h.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/pax/pat_rep.c.xml,NET2_REGEX;lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/pax/pat_rep.h.xml,NET2_REGEX
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/pax/pax.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/pax/pax.h.xml,MIN
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/pax/sel_subs.c.xml,NET2_STAT;lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/pax/sel_subs.h.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/pax/tables.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/pax/tables.h.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/pax/tar.c.xml,NET2_STAT;lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/pax/tar.h.xml,_PAX_
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/pax/tty_subs.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/pkill/pkill.c.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/ps/extern.h.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/ps/fmt.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/ps/keyword.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/ps/nlist.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/ps/print.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/ps/ps.c.xml,LAZY_PS;lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/ps/ps.h.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/pwait/pwait.c.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/pwd/pwd.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/realpath/realpath.c.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/rm/rm.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/rmdir/rmdir.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/setfacl/file.c.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/setfacl/mask.c.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/setfacl/merge.c.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/setfacl/remove.c.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/setfacl/setfacl.c.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/setfacl/setfacl.h.xml,_SETFACL_H
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/setfacl/util.c.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/sh/alias.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/sh/alias.h.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/sh/arith.h.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/sh/arith_yacc.c.xml,ARITH_ASS;ARITH_BOR;ARITH_BORASS;ARITH_EQ
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/sh/arith_yacc.h.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/sh/arith_yylex.c.xml,ARITH_ASS;ARITH_BOR;ARITH_BORASS;ARITH_EQ
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/sh/bltin/bltin.h.xml,SHELL
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/sh/bltin/echo.c.xml,eflag
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/sh/cd.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/sh/cd.h.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/sh/error.c.xml,DEBUG;lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/sh/error.h.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/sh/eval.c.xml,DEBUG;NO_HISTORY;lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/sh/eval.h.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/sh/exec.c.xml,DEBUG;lint;notdef
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/sh/exec.h.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/sh/expand.c.xml,lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/sh/expand.h.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/sh/histedit.c.xml,NO_HISTORY;lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/sh/input.c.xml,NO_HISTORY;lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/sh/input.h.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/sh/jobs.c.xml,JOBS;lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/sh/jobs.h.xml,JOBS
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/sh/mail.c.xml,lint;notdef
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/sh/mail.h.xml,
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/sh/main.c.xml,DEBUG;NO_HISTORY;lint
/home/user/cppstats/test/freeBSD_res/_cppstats_featurelocations/freebsd-src/bin/sh/main.h.xml,
