"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/config-msvc.h.xml,47,49,#if,!defined(__cplusplus),__cplusplus
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/config-msvc.h.xml,59,61,#if,_MSC_VER<1900,_MSC_VER
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/config-msvc.h.xml,63,65,#if,_MSC_VER < 1800,_MSC_VER
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/config-msvc.h.xml,87,89,#if,defined(HAVE_CONFIG_MSVC_LOCAL_H),HAVE_CONFIG_MSVC_LOCAL_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/include/openvpn-msg.h.xml,24,138,#if,!defined(OPENVPN_MSG_H_),OPENVPN_MSG_H_
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/sample/sample-plugins/keying-material-exporter-demo/keyingmaterialexporter.c.xml,37,39,#if,!defined(MAXPATH),MAXPATH
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/compat/compat-basename.c.xml,24,26,#if,defined(HAVE_CONFIG_H),HAVE_CONFIG_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/compat/compat-basename.c.xml,26,28,#elif,(!(defined(HAVE_CONFIG_H))) && (defined(_MSC_VER)),HAVE_CONFIG_H;_MSC_VER
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/compat/compat-basename.c.xml,30,50,#if,!defined(HAVE_BASENAME),HAVE_BASENAME
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/compat/compat-daemon.c.xml,24,26,#if,defined(HAVE_CONFIG_H),HAVE_CONFIG_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/compat/compat-daemon.c.xml,26,28,#elif,(!(defined(HAVE_CONFIG_H))) && (defined(_MSC_VER)),HAVE_CONFIG_H;_MSC_VER
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/compat/compat-daemon.c.xml,30,104,#if,!defined(HAVE_DAEMON),HAVE_DAEMON
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/compat/compat-daemon.c.xml,32,34,#if,(!defined(HAVE_DAEMON)) && (defined(HAVE_UNISTD_H)),HAVE_DAEMON;HAVE_UNISTD_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/compat/compat-daemon.c.xml,38,40,#if,(!defined(HAVE_DAEMON)) && (defined(HAVE_SYS_TYPES_H)),HAVE_DAEMON;HAVE_SYS_TYPES_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/compat/compat-daemon.c.xml,42,44,#if,(!defined(HAVE_DAEMON)) && (defined(HAVE_SYS_STAT_H)),HAVE_DAEMON;HAVE_SYS_STAT_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/compat/compat-daemon.c.xml,46,48,#if,(!defined(HAVE_DAEMON)) && (defined(HAVE_FCNTL_H)),HAVE_DAEMON;HAVE_FCNTL_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/compat/compat-daemon.c.xml,55,96,#if,(!defined(HAVE_DAEMON)) && (defined(HAVE_FORK) && defined(HAVE_SETSID)),HAVE_DAEMON;HAVE_FORK;HAVE_SETSID
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/compat/compat-daemon.c.xml,80,92,#if,((!defined(HAVE_DAEMON)) && (defined(HAVE_FORK) && defined(HAVE_SETSID))) && (defined(HAVE_DUP) && defined(HAVE_DUP2)),HAVE_DAEMON;HAVE_DUP;HAVE_DUP2;HAVE_FORK;HAVE_SETSID
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/compat/compat-daemon.c.xml,96,101,#else,(!defined(HAVE_DAEMON)) && (!(defined(HAVE_FORK) && defined(HAVE_SETSID))),HAVE_DAEMON;HAVE_FORK;HAVE_SETSID
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/compat/compat-dirname.c.xml,24,26,#if,defined(HAVE_CONFIG_H),HAVE_CONFIG_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/compat/compat-dirname.c.xml,26,28,#elif,(!(defined(HAVE_CONFIG_H))) && (defined(_MSC_VER)),HAVE_CONFIG_H;_MSC_VER
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/compat/compat-dirname.c.xml,31,146,#if,!defined(HAVE_DIRNAME),HAVE_DIRNAME
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/src/compat/compat-gettimeofday.c.xml,24,26,#if,defined(HAVE_CONFIG_H),HAVE_CONFIG_H
