"sep=,"
FILENAME,CONSTANTS
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/config-msvc.h.xml,HAVE_CONFIG_MSVC_LOCAL_H;_MSC_VER;__cplusplus
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/doc/doxygen/doc_compression.h.xml,
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/doc/doxygen/doc_control_processor.h.xml,
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/doc/doxygen/doc_control_tls.h.xml,
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/doc/doxygen/doc_data_control.h.xml,
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/doc/doxygen/doc_data_crypto.h.xml,
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/doc/doxygen/doc_eventloop.h.xml,
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/doc/doxygen/doc_external_multiplexer.h.xml,
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/doc/doxygen/doc_fragmentation.h.xml,
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/doc/doxygen/doc_internal_multiplexer.h.xml,
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/doc/doxygen/doc_key_generation.h.xml,
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/doc/doxygen/doc_mainpage.h.xml,
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/doc/doxygen/doc_memory_management.h.xml,
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/doc/doxygen/doc_protocol_overview.h.xml,
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/doc/doxygen/doc_reliable.h.xml,
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/doc/doxygen/doc_tunnel_state.h.xml,
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/include/openvpn-msg.h.xml,OPENVPN_MSG_H_
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/sample/sample-plugins/client-connect/sample-client-connect.c.xml,
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/openvpn/sample/sample-plugins/defer/simple.c.xml,
