"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hdr_histogram/hdr_alloc.h.xml,11,47,#if,!defined(HDR_ALLOC_H),HDR_ALLOC_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hdr_histogram/hdr_atomic.h.xml,7,146,#if,!defined(HDR_ATOMIC_H__),HDR_ATOMIC_H__
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hdr_histogram/hdr_atomic.h.xml,11,82,#if,(!defined(HDR_ATOMIC_H__)) && (defined(_MSC_VER)),HDR_ATOMIC_H__;_MSC_VER
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hdr_histogram/hdr_atomic.h.xml,43,45,#if,((!defined(HDR_ATOMIC_H__)) && (defined(_MSC_VER))) && (defined(_WIN64)),HDR_ATOMIC_H__;_MSC_VER;_WIN64
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hdr_histogram/hdr_atomic.h.xml,45,56,#else,((!defined(HDR_ATOMIC_H__)) && (defined(_MSC_VER))) && (!(defined(_WIN64))),HDR_ATOMIC_H__;_MSC_VER;_WIN64
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hdr_histogram/hdr_atomic.h.xml,61,63,#if,((!defined(HDR_ATOMIC_H__)) && (defined(_MSC_VER))) && (defined(_WIN64)),HDR_ATOMIC_H__;_MSC_VER;_WIN64
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hdr_histogram/hdr_atomic.h.xml,63,74,#else,((!defined(HDR_ATOMIC_H__)) && (defined(_MSC_VER))) && (!(defined(_WIN64))),HDR_ATOMIC_H__;_MSC_VER;_WIN64
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hdr_histogram/hdr_atomic.h.xml,82,92,#elif,((!defined(HDR_ATOMIC_H__)) && (!(defined(_MSC_VER)))) && (defined(__ATOMIC_SEQ_CST)),HDR_ATOMIC_H__;_MSC_VER;__ATOMIC_SEQ_CST
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hdr_histogram/hdr_atomic.h.xml,92,140,#elif,(((!defined(HDR_ATOMIC_H__)) && (!(defined(_MSC_VER)))) && (!(defined(__ATOMIC_SEQ_CST)))) && (defined(__x86_64__)),HDR_ATOMIC_H__;_MSC_VER;__ATOMIC_SEQ_CST;__x86_64__
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hdr_histogram/hdr_atomic.h.xml,140,144,#else,(((!defined(HDR_ATOMIC_H__)) && (!(defined(_MSC_VER)))) && (!(defined(__ATOMIC_SEQ_CST)))) && (!(defined(__x86_64__))),HDR_ATOMIC_H__;_MSC_VER;__ATOMIC_SEQ_CST;__x86_64__
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hdr_histogram/hdr_histogram.c.xml,135,141,#if,defined(_MSC_VER),_MSC_VER
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hdr_histogram/hdr_histogram.c.xml,136,138,#if,(defined(_MSC_VER)) && (defined(_WIN64)),_MSC_VER;_WIN64
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hdr_histogram/hdr_histogram.c.xml,138,140,#else,(defined(_MSC_VER)) && (!(defined(_WIN64))),_MSC_VER;_WIN64
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hdr_histogram/hdr_histogram.c.xml,145,162,#if,defined(_MSC_VER),_MSC_VER
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hdr_histogram/hdr_histogram.c.xml,147,149,#if,(defined(_MSC_VER)) && (defined(_WIN64)),_MSC_VER;_WIN64
