"sep=,"
FILENAME,CONSTANTS
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hdr_histogram/hdr_alloc.c.xml,
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hdr_histogram/hdr_alloc.h.xml,HDR_ALLOC_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hdr_histogram/hdr_atomic.h.xml,HDR_ATOMIC_H__;_MSC_VER;_WIN64;__ATOMIC_SEQ_CST;__x86_64__
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hdr_histogram/hdr_histogram.c.xml,_MSC_VER;_WIN64
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hdr_histogram/hdr_histogram.h.xml,HDR_HISTOGRAM_H;__cplusplus
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/adapters/ae.h.xml,__HIREDIS_AE_H__
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/adapters/glib.h.xml,__HIREDIS_GLIB_H__
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/adapters/ivykis.h.xml,__HIREDIS_IVYKIS_H__
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/adapters/libev.h.xml,EV_MULTIPLICITY;__HIREDIS_LIBEV_H__
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/adapters/libevent.h.xml,__HIREDIS_LIBEVENT_H__
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/adapters/libuv.h.xml,UV_VERSION_MAJOR;UV_VERSION_MINOR;UV_VERSION_PATCH;__HIREDIS_LIBUV_H__
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/adapters/macosx.h.xml,__HIREDIS_MACOSX_H__
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/adapters/qt.h.xml,__HIREDIS_QT_H__
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/alloc.c.xml,_WIN32
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/alloc.h.xml,HIREDIS_ALLOC_H;_WIN32;__cplusplus
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/async.c.xml,NDEBUG;_MSC_VER
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/async.h.xml,__HIREDIS_ASYNC_H;__cplusplus
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/async_private.h.xml,__HIREDIS_ASYNC_PRIVATE_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/dict.c.xml,
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/dict.h.xml,__DICT_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/examples/example-ae.c.xml,
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/examples/example-glib.c.xml,
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/examples/example-ivykis.c.xml,_WIN32
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/examples/example-libev.c.xml,_WIN32
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/examples/example-libevent-ssl.c.xml,_WIN32
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/examples/example-libevent.c.xml,_WIN32
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/examples/example-libuv.c.xml,_WIN32
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/examples/example-macosx.c.xml,
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/examples/example-push.c.xml,
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/examples/example-qt.h.xml,__HIREDIS_EXAMPLE_QT_H
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/examples/example-ssl.c.xml,_MSC_VER
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/examples/example.c.xml,_MSC_VER
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/fmacros.h.xml,_AIX;__APPLE__;__HIREDIS_FMACRO_H;__MACH__
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/fuzzing/format_command_fuzzer.c.xml,
/home/user/RIMEL/cppstats/results/_cppstats_featurelocations/redis/deps/hiredis/hiredis.c.xml,
