Modèle,Type,Nombre de paramètres (B),Coût ($) pour 1K token,Source (SLM),https://arxiv.org/abs/2312.14972
orca-mini:3b,SLM,3,0.0042,Source (LLM),https://llmpricecheck.com/
stablelm-zephyr:3b,SLM,3,0.0039,,
stablelm-zephyr:3b-q3_K_L,SLM,3,0.00475,,
stablelm-zephyr:3b-q2_K,SLM,3,0.004,,
starling-lm:7b,SLM,7,0.007,,
starling-lm:7b-alpha-q3_K_L,SLM,7,0.009,,
starling-lm:7b-alpha-q2_K,SLM,7,0.00825,,
neural-chat:7b,SLM,7,0.0065,,
neural-chat:7b-v3.2-q3_K_L,SLM,7,0.0075,,
neural-chat:7b-v3.2-q2_K,SLM,7,0.007,,
mistral:7b-instruct,SLM,7,0.005,,
mistral:7b-instruct-q3_K_L,SLM,7,0.007,,
mistral:7b-instruct-q2_K,SLM,7,0.007,,
llama2:7b-chat,SLM,7,0.00585,,
llama2:7b-chat-q3_K_L,SLM,7,0.007,,
llama2:7b-chat-q2_K,SLM,7,0.0068,,
zephyr:7b-beta,SLM,7,0.0058,,
zephyr:7b-beta-q3_K_L,SLM,7,0.008,,
zephyr:7b-beta-q2_K,SLM,7,0.0082,,
orca2:7b,SLM,7,0.00575,,
orca2:7b-q3_K_L,SLM,7,0.0073,,
orca2:7b-q2_K,SLM,7,0.0075,,
openchat:7b-v3.5,SLM,7,0.008,,
openchat:7b-v3.5-q3_K_L,SLM,7,0.001025,,
openchat:7b-v3.5-q2_K,SLM,7,0.00122,,
vicuna:7b,SLM,7,0.008,,
vicuna:7b-q3_K_L,SLM,7,0.0091,,
vicuna:7b-q2_K,SLM,7,0.009,,
claude-3-haiku,LLM,20,0.0015,,
mixtral-8x7b,LLM,47,0.0014,,
claude-3-sonnet,LLM,70,0.018,,
llama-3-70b,LLM,70,0.00138,,
llama-2-70b,LLM,70,0.00133,,
gemini-1.5-pro,LLM,120,0.014,,
mistral-large,LLM,123,0.032,,
gpt-3.5-turbo-0125,LLM,175,0.002,,
gpt-4,LLM,1700,0.09,,
claude-3-opus,LLM,2000,0.09,,
