Experiment 🧪,Model 🤗,Prefill (s),Per Token (s),Decode (tokens/s),Energy (tokens/kWh),Memory (MB),Backend 🏭,Precision 📥,Quantization 🗜️,Attention 👁️,Kernel ⚛️,Architecture 🏛️,End-to-End (s),Open LLM Score (%),Params (B)
8bit-bnb-eager,microsoft/Phi-3-mini-4k-instruct,0.094,0.0918056945800781,10.872,242054.673,4344.502,pytorch,float16,BnB.8bit,Eager,No Kernel,Phi3ForCausalLM,5.889,27.2,3
4bit-bnb-eager,microsoft/Phi-3-mini-4k-instruct,0.519,0.0535243034362793,18.653,380579.469,2984.872,pytorch,float16,BnB.4bit,Eager,No Kernel,Phi3ForCausalLM,3.899,27.2,3
4bit-awq-gemm-eager,microsoft/Phi-3-mini-4k-instruct,0.223,0.0408124332427978,24.443,530788.272,2589.101,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,Phi3ForCausalLM,2.801,27.2,3
float16-eager,microsoft/Phi-3-mini-4k-instruct,0.112,0.0368136005401611,27.025,525313.012,7924.275,pytorch,float16,Unquantized,Eager,No Kernel,Phi3ForCausalLM,2.442,27.2,3
bfloat16-eager,microsoft/Phi-3-mini-4k-instruct,0.703,0.0367206382751464,27.159,523070.356,7924.275,pytorch,bfloat16,Unquantized,Eager,No Kernel,Phi3ForCausalLM,3.023,27.2,3
4bit-gptq-exllama-v2-eager,microsoft/Phi-3-mini-4k-instruct,0.12,0.0349764804840087,28.539,614602.889,2674.711,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,Phi3ForCausalLM,2.328,27.2,3
4bit-awq-gemv-eager,microsoft/Phi-3-mini-4k-instruct,0.218,0.0347830562591552,28.565,583495.271,2589.101,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMV,Phi3ForCausalLM,2.424,27.2,3
4bit-awq-exllama-v1-eager,microsoft/Phi-3-mini-4k-instruct,1.719,0.0343621444702148,29.0,597058.673,2569.852,pytorch,float16,AWQ.4bit,Eager,No Kernel,Phi3ForCausalLM,3.891,27.2,3
4bit-gptq-exllama-v1-eager,microsoft/Phi-3-mini-4k-instruct,0.12,0.0336409111022949,29.673,616350.878,2674.711,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,Phi3ForCausalLM,2.243,27.2,3
8bit-bnb-eager,microsoft/Phi-3-mini-4k-instruct,0.094,0.0918056945800781,10.872,242054.673,4344.502,pytorch,float16,BnB.8bit,Eager,No Kernel,Phi3ForCausalLM,5.889,25.97,3
