username,total_competitions,NLP_count,NLP_percentage,Time Series Analysis_count,Time Series Analysis_percentage,Tabular_count,Tabular_percentage
Chris Deotte,21,1,4.76,5,23.81,15,71.43
Optimistix,17,0,0.0,3,17.65,14,82.35
Ivanhoe,13,0,0.0,1,7.69,12,92.31
Willie Liao,12,0,0.0,1,8.33,11,91.67
Vicens Gaitan,12,0,0.0,0,0.0,12,100.0
Jack (Japan),11,0,0.0,3,27.27,8,72.73
Tilii,10,0,0.0,2,20.0,8,80.0
Guanshuo Xu,10,7,70.0,1,10.0,2,20.0
Li-Der,10,0,0.0,1,10.0,9,90.0
Vopani,10,0,0.0,1,10.0,9,90.0
hyd,10,4,40.0,4,40.0,2,20.0
James Trotman,10,0,0.0,0,0.0,10,100.0
beluga,10,0,0.0,0,0.0,10,100.0
bestfitting,9,3,33.33,0,0.0,6,66.67
clustifier,9,0,0.0,0,0.0,9,100.0
Sujal Neupane,9,0,0.0,2,22.22,7,77.78
wind1234it,9,0,0.0,1,11.11,8,88.89
Mahog,9,0,0.0,0,0.0,9,100.0
SY,9,0,0.0,0,0.0,9,100.0
Mikhail,8,0,0.0,0,0.0,8,100.0
Ravi Ramakrishnan,8,0,0.0,0,0.0,8,100.0
Daniel FG,8,0,0.0,1,12.5,7,87.5
Masaya Kawamata,8,0,0.0,1,12.5,7,87.5
Mahdi Ravaghi,8,0,0.0,3,37.5,5,62.5
OMID BAGHCHEH SARAEI,8,0,0.0,1,12.5,7,87.5
Ouranos,8,0,0.0,2,25.0,6,75.0
Gerald Schwartz,8,0,0.0,3,37.5,5,62.5
Jacoby Jaeger,7,2,28.57,1,14.29,4,57.14
Oscar Aguilar,7,0,0.0,2,28.57,5,71.43
Evgeny Patekha,7,0,0.0,0,0.0,7,100.0
Silogram,7,0,0.0,0,0.0,7,100.0
LuminousC,7,0,0.0,2,28.57,5,71.43
Jared Turkewitz,7,0,0.0,1,14.29,6,85.71
Mikhail Naumov,7,0,0.0,1,14.29,6,85.71
kailai,7,0,0.0,1,14.29,6,85.71
:-),7,1,14.29,1,14.29,5,71.43
Kirderf,7,0,0.0,2,28.57,5,71.43
D.Imanishi,6,3,50.0,2,33.33,1,16.67
gezi,6,4,66.67,0,0.0,2,33.33
Mike Kim,6,0,0.0,0,0.0,6,100.0
The Slippery Appraisals,6,0,0.0,0,0.0,6,100.0
n_m,6,0,0.0,0,0.0,6,100.0
no one,6,0,0.0,0,0.0,6,100.0
tks,6,1,16.67,1,16.67,4,66.67
toshi_k,6,0,0.0,1,16.67,5,83.33
Takoi,6,1,16.67,2,33.33,3,50.0
Youri Matiounine,6,0,0.0,2,33.33,4,66.67
Spiritmilk,6,0,0.0,3,50.0,3,50.0
Johannes Heller,6,1,16.67,1,16.67,4,66.67
Öinen Huuhkaja,6,0,0.0,0,0.0,6,100.0
Gilberto Titericz Junior,6,0,0.0,1,16.67,5,83.33
David Shinn,6,0,0.0,0,0.0,6,100.0
Bojan Tunguz,6,0,0.0,0,0.0,6,100.0
Giba,6,1,16.67,1,16.67,4,66.67
alijs,6,0,0.0,0,0.0,6,100.0
Eureka,6,0,0.0,0,0.0,6,100.0
Manav Trivedi,6,0,0.0,1,16.67,5,83.33
Tom,6,3,50.0,1,16.67,2,33.33
Artem,6,0,0.0,0,0.0,6,100.0
Medrr,5,0,0.0,0,0.0,5,100.0
Manuel Campos,5,2,40.0,1,20.0,2,40.0
Menno,5,0,0.0,1,20.0,4,80.0
CPMP,5,0,0.0,0,0.0,5,100.0
