competition,stratum,ref,score_total_100,A_structure_pipeline,B_modularite,C_reproductibilite,D_lisibilite,E_hygiene,json_path
santa-2025,p40_50,kirkdco/kmer-aspect-ratio-survey,95.0,20,20,20,20,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\santa-2025\p40_50\kirkdco__kmer-aspect-ratio-survey.json
csiro-biomass,p40_50,taharf/biomass-challenge-training-notebook,95.0,20,20,20,15,20,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\csiro-biomass\p40_50\taharf__biomass-challenge-training-notebook.json
home-data-for-ml-course,top_1%,dumarchie/xgboost-hpo-with-optuna,90.0,20,15,20,20,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\home-data-for-ml-course\top_1%\dumarchie__xgboost-hpo-with-optuna.json
playground-series-s6e1,top_1%,utaazu/s6e1-tobit-xgboost-theoretical-implementation,90.0,20,20,15,20,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\playground-series-s6e1\top_1%\utaazu__s6e1-tobit-xgboost-theoretical-implementation.json
recodai-luc-scientific-image-forgery-detection,top_1%,aitbekovalibek/dinov2-unet-ensemble,90.0,20,20,15,20,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\recodai-luc-scientific-image-forgery-detection\top_1%\aitbekovalibek__dinov2-unet-ensemble.json
playground-series-s6e1,top_1%,datasciencegrad/s6e1-student-test-scores-wb,90.0,20,20,15,20,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\playground-series-s6e1\top_1%\datasciencegrad__s6e1-student-test-scores-wb.json
titanic,top_1%,n3onnhowever/titanic-cv-v2,90.0,20,20,20,15,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\titanic\top_1%\n3onnhowever__titanic-cv-v2.json
santa-2025,top_10%,snnclsr/santa-tree-challenge,85.0,20,20,15,15,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\santa-2025\top_10%\snnclsr__santa-tree-challenge.json
titanic,top_1%,djenkivanov/top-5-simple-neural-network-solution,85.0,20,15,15,20,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\titanic\top_1%\djenkivanov__top-5-simple-neural-network-solution.json
recodai-luc-scientific-image-forgery-detection,top_1%,opencv411/try-ensemble,85.0,15,20,20,15,15,C:\Users\Administrator\Desktop\ETUDES\Rimel\Scrap\rimel-2025-2026-main\kaggle-code-quality\corpus\evaluations\recodai-luc-scientific-image-forgery-detection\top_1%\opencv411__try-ensemble.json
