repo_name,nb_commits,nb_contributors,created_at,last_update
quotaclimat,1893,17,2022-10-05 10:57:06+00:00,2026-01-09 17:16:20+00:00
12_bloom,1006,23,2023-01-06 14:05:00+00:00,2026-01-05 17:05:44+00:00
13_potentiel_solaire,834,20,2025-01-22 13:02:01+00:00,2025-12-17 10:27:15+00:00
13_brigade_coupes_rases,664,19,2025-01-22 12:09:25+00:00,2026-01-09 13:01:01+00:00
13_eclaireur_public,641,39,2025-01-22 13:03:38+00:00,2026-01-10 22:25:12+00:00
13_odis,620,24,2025-01-22 13:03:25+00:00,2026-01-10 13:19:03+00:00
kotaemon,493,38,2025-03-12 14:11:23+00:00,2025-06-14 08:34:08+00:00
13_pollution_eau,455,27,2025-01-22 13:01:11+00:00,2026-01-02 18:36:22+00:00
13_reveler_inegalites_cinema,394,13,2025-01-22 13:02:57+00:00,2025-12-14 17:38:14+00:00
13_ecoskills,382,33,2025-01-22 13:02:14+00:00,2025-06-13 09:14:23+00:00
shiftdataportal,346,14,2023-04-13 09:52:10+00:00,2025-08-12 14:19:58+00:00
batch11_e_cartomobile,309,11,2023-03-30 14:19:07+00:00,2026-01-05 09:07:31+00:00
13_democratiser_sobriete,305,11,2025-01-22 13:00:02+00:00,2026-01-09 19:24:54+00:00
13_empreinte_souffrance,195,10,2025-01-22 13:04:04+00:00,2025-12-24 10:23:11+00:00
