repo_name;nb_commits;nb_contributors;created_at;last_update;Documentation1;TraitementData1;AccessibiliteSourceData1;ArchitectureVariee1;Documentation2;TraitementData2;AccessibiliteSourceData2;ArchitectureVariee2;Documentation3;TraitementData3;AccessibiliteSourceData3;ArchitectureVariee3;Documentation4;TraitementData4;AccessibiliteSourceData4;ArchitectureVariee4;Total
quotaclimat;1893;17;05/10/2022 12:57;09/01/2026 18:16;3;2;2;0;2;0;0;4;0;3;0;2;4;0;4;1;27
12_bloom;1006;23;06/01/2023 15:05;05/01/2026 18:05;4;1;2;1;3;1;1;4;3;3;3;3;0;0;1;0;30
13_potentiel_solaire;834;20;22/01/2025 14:02;17/12/2025 11:27;1;0;3;2;4;1;1;0;2;0;0;3;0;3;0;3;23
13_brigade_coupes_rases;664;19;22/01/2025 13:09;09/01/2026 14:01;2;0;3;3;0;3;2;2;3;2;0;2;2;0;4;3;31
13_eclaireur_public;641;39;22/01/2025 14:03;10/01/2026 23:25;5;5;4;5;5;5;4;4;5;5;5;4;5;5;4;4;74
13_odis;620;24;22/01/2025 14:03;10/01/2026 14:19;5;4;4;4;4;4;5;4;5;5;5;5;4;5;5;5;73
kotaemon;493;38;12/03/2025 15:11;14/06/2025 10:34;1;3;2;1;1;4;3;4;3;1;0;4;1;1;3;0;32
13_pollution_eau;455;27;22/01/2025 14:01;02/01/2026 19:36;5;5;3;4;5;3;4;3;3;5;4;3;4;5;5;4;65
13_reveler_inegalites_cinema;394;13;22/01/2025 14:02;14/12/2025 18:38;5;4;5;5;3;3;5;3;4;4;3;4;5;5;4;5;67
13_ecoskills;382;33;22/01/2025 14:02;13/06/2025 11:14;4;3;2;3;3;3;3;0;4;2;1;4;1;3;2;3;41
shiftdataportal;346;14;13/04/2023 11:52;12/08/2025 16:19;4;5;5;4;4;4;4;5;4;4;5;4;4;4;4;4;68
batch11_e_cartomobile;309;11;30/03/2023 16:19;05/01/2026 10:07;3;0;3;0;1;2;1;2;0;3;0;4;3;2;4;2;30
13_democratiser_sobriete;305;11;22/01/2025 14:00;09/01/2026 20:24;2;2;2;2;0;4;4;1;2;0;1;2;1;1;1;4;29
13_empreinte_souffrance;195;10;22/01/2025 14:04;24/12/2025 11:23;1;1;2;1;0;0;0;0;3;0;1;0;4;0;2;0;15
