path,extension,size_bytes
package.json,.json,66
front\backstop.json,.json,33255
front\components.json,.json,443
front\package.json,.json,7491
front\tsconfig.json,.json,1009
tests\back\datasets\test_datagouv_search.py,.py,5772
tests\back\datasets\test_declaration_interet.py,.py,3053
tests\back\datasets\test_marches.py,.py,2393
tests\back\datasets\test_topic_aggregator.py,.py,6561
tests\back\datasets\__init__.py,.py,209
tests\back\utils\test_dataframe_operations.py,.py,10487
tests\back\loaders\fixtures\out_decp-2019-10000.csv,.csv,10940
tests\back\loaders\fixtures\out_jsonl_features.csv,.csv,1126
tests\back\loaders\fixtures\out_json_features.csv,.csv,1816
tests\back\loaders\fixtures\reduced_decp_2019.json,.json,35481
tests\back\loaders\fixtures\test_json_features.json,.json,4772
tests\back\loaders\fixtures\test_loader_xls_exp.csv,.csv,3411
tests\back\loaders\fixtures\test_loader_xls_with_cols_exp.csv,.csv,1194
tests\back\loaders\fixtures\test_sniffer_error.csv,.csv,12263
tests\back\loaders\fixtures\test_zip_loader.json,.json,19237
tests\back\datasets\fixtures\complete_decla.csv,.csv,3745
tests\back\datasets\fixtures\declaration.xml,.xml,6607
tests\back\datasets\fixtures\exp_mandat_revenus_0.csv,.csv,1624
tests\back\datasets\fixtures\mandat_revenus_0.xml,.xml,1122
tests\back\datasets\fixtures\mandat_revenus_com_only.xml,.xml,368
tests\back\datasets\fixtures\mandat_revenus_empty.xml,.xml,91
tests\back\datasets\fixtures\mandat_revenus_empty2.xml,.xml,101
tests\back\datasets\fixtures\mandat_revenus_inversion.xml,.xml,317
tests\back\datasets\fixtures\marche_direct.json,.json,585
tests\back\datasets\fixtures\marche_nested.json,.json,790
tests\back\datasets\fixtures\sirene_raw.parquet,.parquet,13258
tests\back\datasets\fixtures\subvention_schema.json,.json,13039
front\config\data-table.ts,.ts,2768
front\hooks\use-data-table.ts,.ts,8383
front\public\dataforgood.jpg,.jpg,7956
front\public\dataforgood.webp,.webp,3230
front\public\dataforgoodLogo.png,.png,27418
front\types\data-table.ts,.ts,1292
front\utils\data-table.ts,.ts,2502
front\utils\placeholderDataGenerators.ts,.ts,4266
front\scripts\python\collectivites_avec_scores.csv,.csv,1601459
front\scripts\python\collectivites_scores.csv,.csv,1348061
front\scripts\python\extract_comparison_data.py,.py,9627
front\scripts\python\marches_publics_comparison_217402817_départemental.csv,.csv,721
front\scripts\python\marches_publics_comparison_217402817_national.csv,.csv,689
front\scripts\python\marches_publics_comparison_217402817_régional.csv,.csv,693
front\public\data\communes.json,.json,45291317
front\public\data\departements.json,.json,3427910
front\public\data\regions.json,.json,1452344
front\public\logos\assos\Data for Good.svg,.svg,80365
front\components\data-table\data-table-column-header.tsx,.tsx,3238
front\components\data-table\data-table-date-filter.tsx,.tsx,6182
front\components\data-table\data-table-faceted-filter.tsx,.tsx,5764
front\components\data-table\data-table-pagination.tsx,.tsx,2237
front\components\data-table\data-table-skeleton.tsx,.tsx,3821
front\components\data-table\data-table-slider-filter.tsx,.tsx,7380
front\components\data-table\data-table-toolbar.tsx,.tsx,4651
front\components\data-table\data-table-view-options.tsx,.tsx,2247
front\components\data-table\data-table.tsx,.tsx,2512
front\components\DataViz\ComparisonChart.tsx,.tsx,12036
front\components\DataViz\ComparisonContainer.tsx,.tsx,12924
front\components\DataViz\EvolutionChart.tsx,.tsx,2408
front\components\DataViz\EvolutionContainer.tsx,.tsx,4515
front\components\DataViz\MobileComparisonChart.tsx,.tsx,2617
front\components\DataViz\MobileEvolutionChart.tsx,.tsx,2382
front\components\DataViz\Treemap.stories.tsx,.tsx,25071
front\components\DataViz\Treemap.tsx,.tsx,14543
front\components\DataViz\TreemapSkeleton.tsx,.tsx,4127
front\components\DataViz\TreemapTooltip.tsx,.tsx,1073
front\components\DataViz\TreemapZoomButtons.tsx,.tsx,1344
front\components\Map\utils\getCommunityDataFromFeature.ts,.ts,790
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_components-navbar--default_0_document_0_phone.png,.png,5943
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_components-navbar--default_0_document_1_tablet.png,.png,14490
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_components-navbar--default_0_document_2_desktop.png,.png,17017
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_components-navbar--mobile-menu-open_0_document_0_phone.png,.png,17854
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_components-navbar--mobile-menu-open_0_document_1_tablet.png,.png,31533
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_components-navbar--mobile-menu-open_0_document_2_desktop.png,.png,31788
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_components-navbar--mobile_0_document_0_phone.png,.png,17064
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_components-navbar--mobile_0_document_1_tablet.png,.png,26357
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_components-navbar--mobile_0_document_2_desktop.png,.png,27778
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_components-navbar--with-background_0_document_0_phone.png,.png,25413
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_components-navbar--with-background_0_document_1_tablet.png,.png,35902
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_components-navbar--with-background_0_document_2_desktop.png,.png,36288
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_components-searchbar--default_0_document_0_phone.png,.png,5501
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_components-searchbar--default_0_document_1_tablet.png,.png,7651
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_components-searchbar--default_0_document_2_desktop.png,.png,7833
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_components-searchbar--with-container_0_document_0_phone.png,.png,6759
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_components-searchbar--with-container_0_document_1_tablet.png,.png,9284
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_components-searchbar--with-container_0_document_2_desktop.png,.png,9466
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_pages-homepageheader--default_0_document_0_phone.png,.png,80278
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_pages-homepageheader--default_0_document_1_tablet.png,.png,132097
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_pages-homepageheader--default_0_document_2_desktop.png,.png,208372
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_ui-button--default_0_document_0_phone.png,.png,3620
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_ui-button--default_0_document_1_tablet.png,.png,6026
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_ui-button--default_0_document_2_desktop.png,.png,6248
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_ui-button--destructive_0_document_0_phone.png,.png,4021
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_ui-button--destructive_0_document_1_tablet.png,.png,6440
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_ui-button--destructive_0_document_2_desktop.png,.png,6652
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_ui-button--ghost_0_document_0_phone.png,.png,3119
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_ui-button--ghost_0_document_1_tablet.png,.png,5535
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_ui-button--ghost_0_document_2_desktop.png,.png,5758
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_ui-button--link_0_document_0_phone.png,.png,2620
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_ui-button--link_0_document_1_tablet.png,.png,5005
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_ui-button--link_0_document_2_desktop.png,.png,5230
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_ui-button--outline_0_document_0_phone.png,.png,3519
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_ui-button--outline_0_document_1_tablet.png,.png,5901
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_ui-button--outline_0_document_2_desktop.png,.png,6124
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_ui-button--secondary_0_document_0_phone.png,.png,4254
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_ui-button--secondary_0_document_1_tablet.png,.png,6661
front\backstop_data\bitmaps_reference\eclaireur_public_visual_tests_ui-button--secondary_0_document_2_desktop.png,.png,6865
front\backstop_data\engine_scripts\playwright\clickAndHoverHelper.js,.js,1552
front\backstop_data\engine_scripts\playwright\onBefore.js,.js,157
front\backstop_data\engine_scripts\playwright\onReady.js,.js,1185
front\app\community\[siren]\components\DownloadDataButton.tsx,.tsx,454
front\app\community\[siren]\components\DataViz\GraphSwitch.tsx,.tsx,1132
front\app\community\[siren]\components\hooks\useChartData.ts,.ts,2165
front\app\advanced-search\components\AdvancedSearchDataTable.stories.tsx,.tsx,3862
front\app\advanced-search\components\AdvancedSearchDataTable.tsx,.tsx,11053
front\app\advanced-search\components\CustomDataTableToolbar.tsx,.tsx,4736
back\tests\test_utils_dataframe_operation.py,.py,2089
back\tests\adapters\test_url_data_source.py,.py,2925
back\tests\inputs\ci_communities_financial_accounts.csv,.csv,442
back\tests\inputs\ci_raw_marches.json,.json,2703
back\tests\inputs\datagouv-datafiles-10000.csv,.csv,12504793
back\tests\inputs\datagouv_catalog.csv,.csv,31203
back\tests\inputs\decp-2019-10000.json,.json,6859321
back\tests\inputs\ofgl-base-communes-consolidee.test.csv,.csv,27183
back\tests\inputs\ofgl-base-departement.test.csv,.csv,26983
back\tests\inputs\ofgl-base-epci.test.csv,.csv,7701
back\tests\inputs\ofgl-base-region.test.csv,.csv,18428
back\tests\inputs\ofgl_urls_ci.csv,.csv,335
back\tests\inputs\single_urls_2.csv,.csv,172
back\tests\data\communities\communities.parquet,.parquet,14620
