path,extension,size_bytes
.github\workflows\test_pipelines.yaml,.yaml,1432
.vscode\extensions.json,.json,241
.vscode\settings.json,.json,527
.vscode\tasks.json,.json,359
analytics\notebooks\bdd_edr_cap.ipynb,.ipynb,122094
analytics\notebooks\bdd_edr_ttp.ipynb,.ipynb,178414
analytics\notebooks\bdd_edr_udi.ipynb,.ipynb,206937
analytics\notebooks\Check_rqana_valtraduite.ipynb,.ipynb,50319
analytics\notebooks\cvm_calcul_conformite_par_commune.ipynb,.ipynb,10239
analytics\notebooks\cvm_etude_cas_particulier.ipynb,.ipynb,92142
analytics\notebooks\etude_cvm.ipynb,.ipynb,1076410
analytics\notebooks\Exploration communes.ipynb,.ipynb,1055841
analytics\notebooks\exploration_different_udi.ipynb,.ipynb,16826
analytics\notebooks\exploration_udi.ipynb,.ipynb,659321
analytics\notebooks\explo_14_dioxane.ipynb,.ipynb,265499
analytics\notebooks\extraction_parametres.ipynb,.ipynb,35897
analytics\notebooks\Laurent_167_etude_nitrites.ipynb,.ipynb,14251
analytics\notebooks\Laurent_179_referenceanl.ipynb,.ipynb,192793
analytics\notebooks\Lise-AJT_P1_EXPLO_SEUILS.ipynb,.ipynb,243766
analytics\notebooks\Prelevements_unique_exploration.ipynb,.ipynb,47090
analytics\notebooks\recuperer_rapidement_pfas.ipynb,.ipynb,43380
analytics\notebooks\resultats_cvm_udi_annuel.ipynb,.ipynb,107675
analytics\notebooks\resultats_cvm_udi_annuel_add percent.ipynb,.ipynb,81677
analytics\notebooks\resultats_cvm_udi_dernier.ipynb,.ipynb,82062
analytics\notebooks\resultats_metaux_lourds.ipynb,.ipynb,181183
analytics\notebooks\resultats_nitrates.ipynb,.ipynb,69619
analytics\notebooks\resultats_nitrates_annuel.ipynb,.ipynb,21430
analytics\notebooks\resultats_sub_indus.ipynb,.ipynb,63615
analytics\notebooks\Tache110_Polluants_le_plus_souvent_non_conformes.ipynb,.ipynb,377922
analytics\notebooks\Tache132_Etude_limite_de_qualite.ipynb,.ipynb,66527
analytics\notebooks\Tache165_Join-resultat-categorie.ipynb,.ipynb,180857
analytics\notebooks\Tache177_resultats-pfas-dbt-model.ipynb,.ipynb,54643
analytics\notebooks\Tache_141_ExploDesign.ipynb,.ipynb,12186
analytics\notebooks\TEST_ana__resultats_udi.ipynb,.ipynb,11226
analytics\notebooks\Test_depassements_no2vsno3.ipynb,.ipynb,13447
analytics\notebooks\exemple\exemple_duckdb.ipynb,.ipynb,7654
analytics\notebooks\exemple\exemple_ibis.ipynb,.ipynb,9885
analytics\notebooks\exemple\exemple_jupysql.ipynb,.ipynb,29409
database\.gitkeep,,0
dbt_\models\intermediate\int__commune_geom.sql,.sql,426
dbt_\models\intermediate\int__lien_cdreseau_refreneceprel.sql,.sql,938
dbt_\models\intermediate\int__lien_commune_cdreseau.sql,.sql,851
dbt_\models\intermediate\int__parametres_non_references.sql,.sql,1065
dbt_\models\intermediate\int__prelevements_uniques.sql,.sql,981
dbt_\models\intermediate\int__resultats_udi_communes.sql,.sql,2329
dbt_\models\intermediate\int__udi.sql,.sql,423
dbt_\models\intermediate\int__udi_geom.sql,.sql,712
dbt_\models\intermediate\int__union_resultats_commune.sql,.sql,6025
dbt_\models\intermediate\int__union_resultats_udi.sql,.sql,5881
dbt_\models\intermediate\int__valeurs_de_reference.sql,.sql,913
dbt_\models\intermediate\cvm\int__resultats_cvm_commune_annuel.sql,.sql,1455
dbt_\models\intermediate\cvm\int__resultats_cvm_commune_dernier.sql,.sql,1614
dbt_\models\intermediate\cvm\int__resultats_cvm_udi_annuel.sql,.sql,1443
dbt_\models\intermediate\cvm\int__resultats_cvm_udi_dernier.sql,.sql,1602
dbt_\models\intermediate\metaux_lourds\int__resultats_metaux_lourds_commune_annuel.sql,.sql,2026
dbt_\models\intermediate\metaux_lourds\int__resultats_metaux_lourds_commune_dernier.sql,.sql,2847
dbt_\models\intermediate\metaux_lourds\int__resultats_metaux_lourds_udi_annuel.sql,.sql,2014
dbt_\models\intermediate\metaux_lourds\int__resultats_metaux_lourds_udi_dernier.sql,.sql,2835
dbt_\models\intermediate\nitrate\int__resultats_nitrate_commune_annuel.sql,.sql,1435
dbt_\models\intermediate\nitrate\int__resultats_nitrate_commune_dernier.sql,.sql,1789
dbt_\models\intermediate\nitrate\int__resultats_nitrate_udi_annuel.sql,.sql,1423
dbt_\models\intermediate\nitrate\int__resultats_nitrate_udi_dernier.sql,.sql,1777
dbt_\models\intermediate\pesticide\int__resultats_pesticide_commune_annuel.sql,.sql,4838
dbt_\models\intermediate\pesticide\int__resultats_pesticide_commune_dernier.sql,.sql,4429
dbt_\models\intermediate\pesticide\int__resultats_pesticide_udi_annuel.sql,.sql,4826
dbt_\models\intermediate\pesticide\int__resultats_pesticide_udi_dernier.sql,.sql,4397
dbt_\models\intermediate\pesticide\metabolite\int__resultats_metabolite_commune_annuel.sql,.sql,4570
dbt_\models\intermediate\pesticide\metabolite\int__resultats_metabolite_commune_dernier.sql,.sql,2843
dbt_\models\intermediate\pesticide\metabolite\int__resultats_metabolite_udi_annuel.sql,.sql,4558
dbt_\models\intermediate\pesticide\metabolite\int__resultats_metabolite_udi_dernier.sql,.sql,2819
dbt_\models\intermediate\pesticide\metabolite_specifique\int__resultats_metabolite_specifique_commune_annuel.sql,.sql,4415
dbt_\models\intermediate\pesticide\metabolite_specifique\int__resultats_metabolite_specifique_commune_dernier.sql,.sql,3641
dbt_\models\intermediate\pesticide\metabolite_specifique\int__resultats_metabolite_specifique_udi_annuel.sql,.sql,4403
dbt_\models\intermediate\pesticide\metabolite_specifique\int__resultats_metabolite_specifique_udi_dernier.sql,.sql,3633
dbt_\models\intermediate\pesticide\sub_active\int__resultats_sub_active_commune_annuel.sql,.sql,1402
dbt_\models\intermediate\pesticide\sub_active\int__resultats_sub_active_commune_dernier.sql,.sql,2385
dbt_\models\intermediate\pesticide\sub_active\int__resultats_sub_active_udi_annuel.sql,.sql,1390
dbt_\models\intermediate\pesticide\sub_active\int__resultats_sub_active_udi_dernier.sql,.sql,2361
dbt_\models\intermediate\pfas\int__resultats_pfas_commune_annuel.sql,.sql,2889
dbt_\models\intermediate\pfas\int__resultats_pfas_commune_dernier.sql,.sql,4327
dbt_\models\intermediate\pfas\int__resultats_pfas_udi_annuel.sql,.sql,2869
dbt_\models\intermediate\pfas\int__resultats_pfas_udi_dernier.sql,.sql,4303
dbt_\models\intermediate\sub_indus\int__resultats_sub_indus_commune_annuel.sql,.sql,1784
dbt_\models\intermediate\sub_indus\int__resultats_sub_indus_commune_dernier.sql,.sql,2070
dbt_\models\intermediate\sub_indus\int__resultats_sub_indus_udi_annuel.sql,.sql,1772
dbt_\models\intermediate\sub_indus\int__resultats_sub_indus_udi_dernier.sql,.sql,2058
dbt_\models\intermediate\tous\int__resultats_tous_commune_annuel.sql,.sql,696
dbt_\models\intermediate\tous\int__resultats_tous_commune_dernier.sql,.sql,1532
dbt_\models\intermediate\tous\int__resultats_tous_udi_annuel.sql,.sql,684
dbt_\models\intermediate\tous\int__resultats_tous_udi_dernier.sql,.sql,1520
dbt_\models\staging\atlasante\stg_atlasante_udi_2023.sql,.sql,299
dbt_\models\staging\atlasante\stg_atlasante_udi_2024.sql,.sql,299
dbt_\models\staging\atlasante\stg_atlasante_udi_corse.sql,.sql,228
dbt_\models\staging\communes\stg_communes__cog.sql,.sql,451
dbt_\models\staging\communes\stg_communes__opendatasoft.sql,.sql,170
dbt_\models\staging\edc\stg_edc__communes.sql,.sql,441
dbt_\models\staging\edc\stg_edc__prevelevements.sql,.sql,1099
dbt_\models\staging\edc\stg_edc__resultats.sql,.sql,977
dbt_\models\website\web__franceinfo.sql,.sql,3856
dbt_\models\website\web__resultats_communes.sql,.sql,3145
dbt_\models\website\web__resultats_udi.sql,.sql,3163
dbt_\models\website\web__stats_udi.sql,.sql,5145
dbt_\seeds\references_generations_futures.csv,.csv,229197
dbt_\seeds\udi_population_from_infofactures.csv,.csv,1710062
dbt_\tests\test_cvm_results.sql,.sql,2484
dbt_\tests\test_metabolite_results.sql,.sql,3437
dbt_\tests\test_metabolite_specifique_results.sql,.sql,4943
dbt_\tests\test_nitrates_results.sql,.sql,2633
dbt_\tests\test_pesticide_results.sql,.sql,3211
dbt_\tests\test_pfas_results.sql,.sql,2724
dbt_\tests\test_sub_active_results.sql,.sql,1885
dbt_\tests\test_sub_indus_results.sql,.sql,4636
dbt_\tests\test_tous_results.sql,.sql,1900
dbt_\tests\test_valeur_saniraire_2.sql,.sql,351
dbt_\tests\test__coverage_20pfas_4pfas_98pct.sql,.sql,1777
dbt_\tests\unique_datetimeprel_per_cdreseau_referenceprel.sql,.sql,623
pipelines\run.py,.py,7052
pipelines\test_pipelines.py,.py,881
pipelines\__init__.py,.py,88
pipelines\config\.env.example,.example,45
pipelines\config\config.py,.py,1419
pipelines\config\__init__.py,.py,55
pipelines\notebooks\download_infofactures.ipynb,.ipynb,4124
pipelines\notebooks\extract_population_from_infofactures.ipynb,.ipynb,8327
pipelines\notebooks\test_atlasante_udi.ipynb,.ipynb,2705
pipelines\notebooks\test_geojson.ipynb,.ipynb,35617
pipelines\notebooks\test_geojson_from_db.ipynb,.ipynb,1681
pipelines\notebooks\test_opendatasoft_communes.ipynb,.ipynb,8313
