file,commit,date,line
pipelines\tasks\build_database.py,a19fc67ff5e9112d3c7f1c65bc8f310c008eabe6,2025-01-23,"""https://www.data.gouv.fr/fr/datasets/r/84a67a3b-08a7-4001-98e6-231c74a98139"""
pipelines\tasks\download_database.py,e035946e99b7e0760fc92140ae17a729b28ad891,2025-03-27,"url = f""https://{self.s3.bucket_name}.{self.s3.endpoint_url.split('https://')[1]}/{get_s3_path(env)}"""
pipelines\tasks\download_database.py,443adcd4b82210972bdc0d3084fc26c76dcb5287,2025-02-26,"url = f""https://{self.s3.bucket_name}.{self.s3.endpoint_url.split('https://')[1]}/{get_s3_path(env)}"""
pipelines\tasks\download_database.py,d551ad638f3835b7064f5a960a1c1d2a65df571a,2025-02-24,"url = f""https://{self.s3.bucket_name}.{self.s3.endpoint_url.split('https://')[1]}/{get_s3_path(env)}"""
pipelines\tasks\download_pmtiles.py,e035946e99b7e0760fc92140ae17a729b28ad891,2025-03-27,"url = f""https://{self.s3.bucket_name}.{self.s3.endpoint_url.split('https://')[1]}/{remote_s3_path}"""
pipelines\tasks\download_pmtiles.py,ceef589cadcbe66f5c4c7c059ea1c4aaca43ee62,2025-03-23,"url = f""https://{self.s3.bucket_name}.{self.s3.endpoint_url.split('https://')[1]}/{remote_s3_path}"""
pipelines\tasks\client\datagouv_client.py,77bda82b17cc5899070c2eafb6796b8673591816,2025-11-03,"def __init__(self, duckdb_client, base_url: str = ""https://www.data.gouv.fr/""):"
pipelines\tasks\client\datagouv_client.py,637bc821487930882946caf55c2fa89efdcd9489,2025-07-30,"def __init__(self, duckdb_client, base_url: str = ""https://www.data.gouv.fr/""):"
pipelines\tasks\client\datagouv_client.py,3be0f702a4af2fc58333001b47ff026165909c2c,2025-04-01,"def __init__(self, duckdb_client, base_url: str = ""https://www.data.gouv.fr/""):"
pipelines\tasks\client\datagouv_client.py,e035946e99b7e0760fc92140ae17a729b28ad891,2025-03-27,"def __init__(self, duckdb_client, base_url: str = ""https://www.data.gouv.fr/""):"
pipelines\tasks\client\datagouv_client.py,4c48b9e65aba07849d9a751fb881187213b0cf2c,2025-02-26,"def __init__(self, base_url: str = ""https://www.data.gouv.fr/""):"
pipelines\tasks\client\datagouv_client.py,443adcd4b82210972bdc0d3084fc26c76dcb5287,2025-02-26,"def __init__(self, base_url: str = ""https://www.data.gouv.fr/""):"
pipelines\tasks\client\datagouv_client.py,443adcd4b82210972bdc0d3084fc26c76dcb5287,2025-02-26,Source : https://www.data.gouv.fr/fr/datasets/code-officiel-geographique-cog/
pipelines\tasks\client\geojson_processor.py,37c983d0cf8dd8887ad94c6f568bbb3ced92ffa7,2025-06-20,"f""https://{s3.bucket_name}.{s3.endpoint_url.split('https://')[1]}/{s3_path}"""
pipelines\tasks\client\geojson_processor.py,647ffba20dcd2f26eab806d9f5cf9957d6b62f9a,2025-04-03,"f""https://{s3.bucket_name}.{s3.endpoint_url.split('https://')[1]}/{s3_path}"""
pipelines\tasks\client\geojson_processor.py,5606c6c9b302ca868da166fd0e92f8a5551c9d89,2025-04-03,"f""https://{s3.bucket_name}.{s3.endpoint_url.split('https://')[1]}/{s3_path}"""
pipelines\tasks\client\geojson_processor.py,b27c065a9fc0f2928aa97149d272064b058d77de,2025-04-01,"f""https://{s3.bucket_name}.{s3.endpoint_url.split('https://')[1]}/{s3_path}"""
