date,commit,author,file,change_type,lines_added,lines_removed,msg
2025-01-23,a19fc67ff5e9112d3c7f1c65bc8f310c008eabe6,Jeremy Greze,analytics/evidence/sources/local_duckdb/sise_communes.sql,ADD,1,0,repo setup
2025-01-23,a19fc67ff5e9112d3c7f1c65bc8f310c008eabe6,Jeremy Greze,analytics/evidence/sources/local_duckdb/sise_prelevements.sql,ADD,1,0,repo setup
2025-02-05,4a5b0932b207c4419fa5d8110b2abc2a60d9aaed,Jeremy Greze,analytics/evidence/sources/local_duckdb/edc_communes.sql,ADD,1,0,fix: update SQL queries in evidence
2025-02-05,4a5b0932b207c4419fa5d8110b2abc2a60d9aaed,Jeremy Greze,analytics/evidence/sources/local_duckdb/edc_prelevements.sql,ADD,1,0,fix: update SQL queries in evidence
2025-02-05,4a5b0932b207c4419fa5d8110b2abc2a60d9aaed,Jeremy Greze,analytics/evidence/sources/local_duckdb/sise_communes.sql,DELETE,0,1,fix: update SQL queries in evidence
2025-02-05,4a5b0932b207c4419fa5d8110b2abc2a60d9aaed,Jeremy Greze,analytics/evidence/sources/local_duckdb/sise_prelevements.sql,DELETE,0,1,fix: update SQL queries in evidence
2025-02-11,ba69a8d1898ef93e4a18706e0a5233d73a2dffce,Julien Vansteenkiste,dbt_/models/staging/edc/stg_edc__communes.sql,ADD,9,0,Setup dbt (#23)
2025-02-11,ba69a8d1898ef93e4a18706e0a5233d73a2dffce,Julien Vansteenkiste,dbt_/models/staging/edc/stg_edc__prevelevements.sql,ADD,20,0,Setup dbt (#23)
2025-02-11,ba69a8d1898ef93e4a18706e0a5233d73a2dffce,Julien Vansteenkiste,dbt_/models/staging/edc/stg_edc__resultats.sql,ADD,19,0,Setup dbt (#23)
2025-02-26,443adcd4b82210972bdc0d3084fc26c76dcb5287,pppp56,dbt_/models/staging/communes/stg_communes__cog.sql,ADD,16,0,Feature/add cog communes dataset (#47)
2025-02-26,443adcd4b82210972bdc0d3084fc26c76dcb5287,pppp56,dbt_/models/staging/communes/stg_communes__laposte.sql,ADD,16,0,Feature/add cog communes dataset (#47)
2025-02-26,4c48b9e65aba07849d9a751fb881187213b0cf2c,NicolasDuchenne,dbt_/models/staging/communes/stg_communes__laposte.sql,MODIFY,8,14,add laposte data (#72)
2025-02-27,823f016d9c1591cbf604450a2ace04a7d42097b9,Jeremy Greze,analytics/evidence/sources/local_duckdb/edc_communes.sql,DELETE,0,1,"Clean evidence, and example for jupysql (#74)"
2025-02-27,823f016d9c1591cbf604450a2ace04a7d42097b9,Jeremy Greze,analytics/evidence/sources/local_duckdb/edc_prelevements.sql,DELETE,0,1,"Clean evidence, and example for jupysql (#74)"
2025-02-27,1213b54d7e91704a8e0563fd8ce460857c82fd29,NicolasDuchenne,dbt_/models/analytics/ana__resultats_communes.sql,ADD,71,0,"create dbt models for resultats commune, add dbt test when dbt folder… (#75)"
2025-02-27,1213b54d7e91704a8e0563fd8ce460857c82fd29,NicolasDuchenne,dbt_/models/staging/communes/stg_communes__cog.sql,MODIFY,14,15,"create dbt models for resultats commune, add dbt test when dbt folder… (#75)"
2025-02-27,1213b54d7e91704a8e0563fd8ce460857c82fd29,NicolasDuchenne,dbt_/models/staging/communes/stg_communes__laposte.sql,MODIFY,8,8,"create dbt models for resultats commune, add dbt test when dbt folder… (#75)"
2025-02-27,1213b54d7e91704a8e0563fd8ce460857c82fd29,NicolasDuchenne,dbt_/models/staging/edc/stg_edc__communes.sql,MODIFY,8,8,"create dbt models for resultats commune, add dbt test when dbt folder… (#75)"
2025-02-27,1213b54d7e91704a8e0563fd8ce460857c82fd29,NicolasDuchenne,dbt_/models/staging/edc/stg_edc__prevelevements.sql,MODIFY,19,18,"create dbt models for resultats commune, add dbt test when dbt folder… (#75)"
2025-02-27,1213b54d7e91704a8e0563fd8ce460857c82fd29,NicolasDuchenne,dbt_/models/staging/edc/stg_edc__resultats.sql,MODIFY,19,18,"create dbt models for resultats commune, add dbt test when dbt folder… (#75)"
2025-02-27,bb953a687fecec0fb72ea177b4fb8525da105143,julien,dbt_/models/intermediate/int_prelevements_uniques.sql,ADD,31,0,Create prelevements uniques table
2025-03-07,8815a2931fefe421147d19a73119d7fddec3e898,V. Prana,dbt_/models/intermediate/int_prelevements_uniques.sql,DELETE,0,31,Delete dbt_/models/intermediate/int_prelevements_uniques.sql
2025-03-07,a78ba807707b6d97f1818fb2d7673535aecec75f,Vinca PRANA,dbt_/models/intermediate/int__mapping_categorie_uniques.sql,ADD,16,0,feat: add dbt file for new table proposal
2025-03-07,76f3e6e286a29849241d2964ffe11957eb54415a,Vinca PRANA,dbt_/models/intermediate/int__mapping_categorie_uniques.sql,DELETE,0,16,fix: simplify SQL for mapping_category_simple
2025-03-07,76f3e6e286a29849241d2964ffe11957eb54415a,Vinca PRANA,dbt_/models/intermediate/int__mapping_category_simple.sql,ADD,8,0,fix: simplify SQL for mapping_category_simple
2025-03-08,00af3e8f46d5a9ee4ffae4623a1a08d8e6919111,Julien Vansteenkiste,dbt_/models/intermediate/int__prelevements_uniques.sql,ADD,40,0,Create prelevement_unique table (#78)
2025-03-16,febc4a74ae1493ca81a4f01d30b3b998b2d875c4,Jeremy Greze,dbt_/models/intermediate/int__lien_cdreseau_refreneceprel.sql,ADD,29,0,Dbt models update (#100)
2025-03-16,febc4a74ae1493ca81a4f01d30b3b998b2d875c4,Jeremy Greze,dbt_/models/intermediate/int__lien_commune_cdreseau.sql,ADD,28,0,Dbt models update (#100)
2025-03-16,febc4a74ae1493ca81a4f01d30b3b998b2d875c4,Jeremy Greze,dbt_/models/intermediate/int__resultats_udi_communes.sql,ADD,53,0,Dbt models update (#100)
2025-03-16,febc4a74ae1493ca81a4f01d30b3b998b2d875c4,Jeremy Greze,dbt_/models/staging/edc/stg_edc__communes.sql,MODIFY,3,1,Dbt models update (#100)
2025-03-16,febc4a74ae1493ca81a4f01d30b3b998b2d875c4,Jeremy Greze,dbt_/models/staging/edc/stg_edc__prevelevements.sql,MODIFY,3,1,Dbt models update (#100)
2025-03-16,febc4a74ae1493ca81a4f01d30b3b998b2d875c4,Jeremy Greze,dbt_/models/staging/edc/stg_edc__resultats.sql,MODIFY,3,1,Dbt models update (#100)
2025-03-24,37bfe154fd3778f5ebd35d23df2513bc38edd7a6,Jeremy Greze,dbt_/models/intermediate/int__lien_cdreseau_refreneceprel.sql,MODIFY,13,5,Improve datetimeprel handling to remove null values (#121)
2025-03-24,0efb95d05dba2e3c31977bbd405b49c859da8f91,Jeremy Greze,dbt_/models/intermediate/int__resultats_udi_communes.sql,MODIFY,9,3,Refine category filtering in query and update ref table (#123)
2025-03-24,869ec273c012ac08095f2b5f0de66ca67bba5d29,Jeremy Greze,dbt_/models/intermediate/int__resultats_udi_communes.sql,MODIFY,19,1,Fix cases when valtraduite = 1 (#122)
2025-03-25,299b38f1d9b52da810f80547106c16662f88314e,Jeremy Greze,dbt_/models/intermediate/int__resultats_udi_communes.sql,MODIFY,1,1,Fix/valtraduite non quantifiees (#125)
2025-03-26,c0dc95a93555f31a1ed2d81d8e8fd3f18edf1faa,V. Prana,dbt_/models/intermediate/cvm/int__resultats_cvm_commune_annuel.sql,ADD,48,0,Vinca tache178 update table cvm (#102)
2025-03-26,c0dc95a93555f31a1ed2d81d8e8fd3f18edf1faa,V. Prana,dbt_/models/intermediate/cvm/int__resultats_cvm_commune_dernier.sql,ADD,46,0,Vinca tache178 update table cvm (#102)
2025-03-26,c0dc95a93555f31a1ed2d81d8e8fd3f18edf1faa,V. Prana,dbt_/models/intermediate/cvm/int__resultats_cvm_udi_annuel.sql,ADD,48,0,Vinca tache178 update table cvm (#102)
2025-03-26,c0dc95a93555f31a1ed2d81d8e8fd3f18edf1faa,V. Prana,dbt_/models/intermediate/cvm/int__resultats_cvm_udi_dernier.sql,ADD,46,0,Vinca tache178 update table cvm (#102)
2025-03-26,73a906fccd7761754c35aa091972cff54d7de87d,LounesAbd,dbt_/models/intermediate/pfas/int__resultats_pfas_udi_dernier.sql,ADD,130,0,Task/177_results-pfas_data-model (#115)
2025-03-27,e035946e99b7e0760fc92140ae17a729b28ad891,lfan3,dbt_/models/staging/udi/stg_udi.sql,ADD,7,0,Feature/geographic coordinates to udi (#120)
2025-03-31,747117c8f8e143e5d4cf75dec12e1f3b5e16789d,Jeremy Greze,dbt_/models/analytics/ana__resultats_communes.sql,DELETE,0,71,Create data model for website (#130)
2025-03-31,747117c8f8e143e5d4cf75dec12e1f3b5e16789d,Jeremy Greze,dbt_/models/intermediate/cvm/int__resultats_cvm_commune_annuel.sql,MODIFY,1,1,Create data model for website (#130)
2025-03-31,747117c8f8e143e5d4cf75dec12e1f3b5e16789d,Jeremy Greze,dbt_/models/intermediate/cvm/int__resultats_cvm_commune_dernier.sql,MODIFY,4,3,Create data model for website (#130)
