path,extension,size_bytes,source,access_mode
backend\constants\festival_award_constants.csv,.csv,151262,other,raw_file
database\alembic.ini,.ini,3867,other,other
database\database.py,.py,485,other,other
database\Dockerfile,,25,other,other
database\README.md,.md,7060,other,other
database\alembic\env.py,.py,2361,other,other
database\alembic\README,,38,other,other
database\alembic\script.py.mako,.mako,717,other,other
database\alembic\versions\165c9a285a71_add_allocine_name_to_roles.py,.py,911,other,db_migration
database\alembic\versions\1b85fcd5a62e_create_trailer_characters_table.py,.py,1446,other,db_migration
database\alembic\versions\230802dd9cec_create_award_nominations_table.py,.py,1469,other,db_migration
database\alembic\versions\2eedb52b923f_create_film_country_budget_allocations_.py,.py,1285,other,db_migration
database\alembic\versions\4bd9e4bb5bc3_add_inclusive_name_to_roles.py,.py,914,other,db_migration
database\alembic\versions\4ccb0b5574a8_enable_unaccent_extension.py,.py,675,other,db_migration
database\alembic\versions\52f50b4aed4f_create_festivals_table.py,.py,1241,other,db_migration
database\alembic\versions\6352fe8a8250_add_attributes_to_festival_awards.py,.py,1410,other,db_migration
database\alembic\versions\6df58c273a80_create_festival_awards_table.py,.py,1140,other,db_migration
database\alembic\versions\70d997a5cc43_create_posters_table.py,.py,1112,other,db_migration
database\alembic\versions\8babdd0aeb7b_create_genres_table.py,.py,1001,other,db_migration
database\alembic\versions\9acf3149fef3_add_additional_attributes_to_films.py,.py,1641,other,db_migration
database\alembic\versions\9cf40267d373_create_roles_table.py,.py,1039,other,db_migration
database\alembic\versions\a41a851372bf_create_films_genres_table.py,.py,1154,other,db_migration
database\alembic\versions\a932df5ac027_add_index_on_films_original_names.py,.py,1279,other,db_migration
database\alembic\versions\b0c6222108ff_create_credit_holders_table.py,.py,1430,other,db_migration
database\alembic\versions\b50425a00467_create_countries_table.py,.py,1024,other,db_migration
database\alembic\versions\bf1b7d423a36_adjust_several_film_attributes.py,.py,1898,other,db_migration
database\alembic\versions\c6fb92e4e96f_create_poster_characters_table.py,.py,1374,other,db_migration
database\alembic\versions\d471dd7a5deb_create_trailers_table.py,.py,1106,other,db_migration
