month,job,activity,changes
2025-01,Devops Engineer,config,4
2025-01,Devops Engineer,docs,1
2025-01,Devops Engineer,infra,2
2025-01,Devops Engineer,other,5
2025-02,Data Analyst,config,2
2025-02,Data Analyst,exploration,1
2025-02,Data Analyst,other,1
2025-02,Data Architect,backend,1
2025-02,Data Architect,docs,4
2025-02,Data Architect,infra,5
2025-02,Data Architect,other,3
2025-02,Data Scientist,data_processing,1
2025-02,Data Scientist,docs,1
2025-02,Data Scientist,exploration,13
2025-02,Data Scientist,infra,2
2025-02,Data Scientist,other,14
2025-02,Full Stack developer,exploration,2
2025-02,Full Stack developer,infra,1
2025-02,Unknown,other,21
2025-03,Data Scientist,docs,1
2025-03,Data Scientist,other,11
2025-03,Full Stack developer,backend,8
2025-03,Full Stack developer,config,21
2025-03,Full Stack developer,data_processing,12
2025-03,Full Stack developer,db_structuration,20
2025-03,Full Stack developer,docs,9
2025-03,Full Stack developer,exploration,8
2025-03,Full Stack developer,infra,7
2025-03,Full Stack developer,other,32
2025-04,?,other,17
2025-04,Backend Engineer,backend,10
2025-04,Backend Engineer,db_structuration,11
2025-04,Backend Engineer,docs,1
2025-04,Backend Engineer,other,4
2025-04,Data Scientist,config,1
2025-04,Data Scientist,docs,1
2025-04,Data Scientist,infra,1
2025-04,Data Scientist,other,18
2025-04,Full Stack developer,backend,13
2025-04,Full Stack developer,config,2
2025-04,Full Stack developer,data_processing,10
2025-04,Full Stack developer,db_structuration,19
2025-04,Full Stack developer,docs,2
2025-04,Full Stack developer,infra,3
2025-04,Full Stack developer,other,27
2025-04,Fullstack web developer,backend,1
2025-04,Fullstack web developer,config,1
2025-04,Fullstack web developer,docs,1
2025-04,Fullstack web developer,infra,3
2025-04,Fullstack web developer,other,36
2025-04,Unknown,backend,1
2025-04,Unknown,config,3
2025-04,Unknown,docs,2
2025-04,Unknown,infra,2
2025-04,Unknown,other,45
2025-05,?,other,3
2025-05,Data Scientist,config,2
2025-05,Data Scientist,other,4
2025-05,Développeur Full Stack,backend,3
2025-05,Développeur Full Stack,config,2
2025-05,Développeur Full Stack,other,79
2025-05,Full Stack developer,backend,44
2025-05,Full Stack developer,config,8
2025-05,Full Stack developer,data_processing,9
2025-05,Full Stack developer,db_structuration,7
2025-05,Full Stack developer,docs,2
2025-05,Full Stack developer,infra,10
2025-05,Full Stack developer,other,12
2025-05,Fullstack web developer,backend,3
2025-05,Fullstack web developer,config,3
2025-05,Fullstack web developer,infra,19
2025-05,Fullstack web developer,other,54
2025-05,Unknown,backend,17
2025-05,Unknown,infra,4
2025-05,Unknown,other,9
2025-06,Développeur Full Stack,backend,1
2025-06,Développeur Full Stack,infra,1
2025-06,Développeur Full Stack,other,31
2025-06,Full Stack developer,backend,35
2025-06,Full Stack developer,data_processing,9
2025-06,Full Stack developer,db_structuration,16
2025-06,Full Stack developer,docs,2
2025-06,Full Stack developer,ml_integration,2
2025-06,Full Stack developer,other,5
2025-06,Fullstack web developer,other,1
2025-06,Unknown,backend,12
2025-06,Unknown,db_structuration,8
2025-06,Unknown,other,22
2025-07,Full Stack developer,backend,1
2025-07,Unknown,other,5
2025-11,Fullstack web developer,infra,1
2025-11,Fullstack web developer,other,8
2025-11,Unknown,infra,4
2025-11,Unknown,other,18
2025-12,Fullstack web developer,backend,1
2025-12,Fullstack web developer,config,4
2025-12,Fullstack web developer,infra,10
2025-12,Fullstack web developer,other,29
2025-12,Unknown,infra,12
