path,extension,size_bytes
.gitignore,,10041
codegen.yml,.yml,389
package.json,.json,1276
README.md,.md,1775
yarn.lock,.lock,241072
.circleci/config.yml,.yml,3378
.git/config,,380
.git/description,,73
.git/HEAD,,21
.git/index,,33833
.git/packed-refs,,2812
.git/hooks/applypatch-msg.sample,.sample,478
.git/hooks/commit-msg.sample,.sample,896
.git/hooks/fsmonitor-watchman.sample,.sample,4726
.git/hooks/post-update.sample,.sample,189
.git/hooks/pre-applypatch.sample,.sample,424
.git/hooks/pre-commit.sample,.sample,1649
.git/hooks/pre-merge-commit.sample,.sample,416
.git/hooks/pre-push.sample,.sample,1374
.git/hooks/pre-rebase.sample,.sample,4898
.git/hooks/pre-receive.sample,.sample,544
.git/hooks/prepare-commit-msg.sample,.sample,1492
.git/hooks/push-to-checkout.sample,.sample,2783
.git/hooks/sendemail-validate.sample,.sample,2308
.git/hooks/update.sample,.sample,3650
.git/info/exclude,,240
.git/logs/HEAD,,212
.git/logs/refs/heads/main,,212
.git/logs/refs/remotes/origin/HEAD,,212
.git/objects/pack/pack-cee517440d3782f3915de088c66de3ce36e13c45.idx,.idx,98568
.git/objects/pack/pack-cee517440d3782f3915de088c66de3ce36e13c45.pack,.pack,195153565
.git/objects/pack/pack-cee517440d3782f3915de088c66de3ce36e13c45.rev,.rev,13980
.git/refs/heads/main,,41
.git/refs/remotes/origin/HEAD,,30
.idea/.gitignore,,103
.idea/modules.xml,.xml,301
.idea/prettier.xml,.xml,181
.idea/shiftdataportal_front.iml,.iml,561
.idea/vcs.xml,.xml,172
.idea/inspectionProfiles/Project_Default.xml,.xml,512
.idea/jsLinters/eslint.xml,.xml,179
chart-screenshot/.env.development,.development,197
chart-screenshot/.env.production,.production,179
chart-screenshot/handler.js,.js,2980
chart-screenshot/package.json,.json,646
chart-screenshot/serverless.yml,.yml,718
chart-screenshot/yarn.lock,.lock,43342
client/.babelrc,,63
client/.gitignore,,153
client/.prettierrc.json,.json,190
client/apollo.config.js,.js,217
client/emotion.d.ts,.ts,546
client/global.d.ts,.ts,174
client/next-env.d.ts,.ts,206
client/next.config.js,.js,498
client/package.json,.json,2010
client/README.md,.md,2949
client/serviceWorker.js,.js,5006
client/tsconfig.json,.json,1387
client/types.tsx,.tsx,74346
client/yarn.lock,.lock,651863
client/.vscode/settings.json,.json,45
client/components/AnimatedChart.tsx,.tsx,41014
client/components/Benefit.tsx,.tsx,1941
client/components/Breadcrumbs.tsx,.tsx,1215
client/components/CategoryName.tsx,.tsx,658
client/components/ChartTypesSelect.tsx,.tsx,9912
client/components/ColoredButton.tsx,.tsx,978
client/components/CTA.tsx,.tsx,4163
client/components/DatasetCategory.tsx,.tsx,3000
client/components/DimensionButton.tsx,.tsx,3378
client/components/DimensionsSelect.tsx,.tsx,3356
client/components/Footer.tsx,.tsx,3206
client/components/GraphInfos.tsx,.tsx,487
client/components/GroupNamesSelect.tsx,.tsx,8201
client/components/H1.tsx,.tsx,611
client/components/H2.tsx,.tsx,1205
client/components/Icons.tsx,.tsx,30749
client/components/index.tsx,.tsx,1740
client/components/InputSubtitle.tsx,.tsx,343
client/components/LightButton.tsx,.tsx,4879
client/components/LinkedInLogo.tsx,.tsx,511
client/components/Main.tsx,.tsx,446
client/components/MainChartTitle.tsx,.tsx,440
client/components/Nav.tsx,.tsx,6503
client/components/Radio.tsx,.tsx,1889
client/components/RadioSelect.tsx,.tsx,2601
client/components/RangeInput.tsx,.tsx,4733
client/components/SelectContainer.tsx,.tsx,204
client/components/Share.tsx,.tsx,893
client/components/SharingButtons.tsx,.tsx,3321
client/components/StackedChart.tsx,.tsx,18018
client/components/SubCategoryTitle.tsx,.tsx,1239
client/components/SubHeading.tsx,.tsx,393
client/components/TypesInput.tsx,.tsx,6918
client/hooks/useCountRenders.tsx,.tsx,177
client/hooks/useGraphTitle.tsx,.tsx,921
client/hooks/useOnYearRangeChange.tsx,.tsx,281
client/hooks/useOutsideClick.tsx,.tsx,510
client/hooks/useSyncParamsWithUrl.tsx,.tsx,549
client/hooks/useWhyDidYouUpdate.tsx,.tsx,1200
