month,raw_data_files,data_preparation_scripts,backend_api,frontend_client,infrastructure_deployment,documentation
2023-04,0,0,4,7,1,3
2023-05,7,0,2,8,1,8
2023-06,11,0,0,0,0,1
2023-07,3,0,0,0,0,0
2023-08,0,0,0,0,0,1
2023-09,0,0,0,0,0,2
2023-10,1,0,0,0,0,0
2023-12,5,0,0,0,0,0
2024-02,1,0,1,1,1,1
2024-03,0,0,2,3,0,0
2024-04,0,0,0,0,1,0
2024-05,0,2,2,0,0,2
2024-07,0,1,3,1,2,0
2024-08,0,1,0,0,0,0
2024-11,0,2,0,0,0,1
2024-12,0,3,0,0,0,0
2025-01,1,1,0,0,0,0
2025-02,2,15,1,1,0,0
2025-03,3,2,1,0,0,0
2025-04,2,1,0,0,0,0
2025-06,0,3,0,0,2,0
2025-08,4,5,0,0,1,2
