path,extension,size_bytes,source,access_mode
.gitignore,,10041,other,other
codegen.yml,.yml,389,other,other
package.json,.json,1276,other,data_file
README.md,.md,1775,other,other
yarn.lock,.lock,241072,other,other
.circleci/config.yml,.yml,3378,other,other
.git/config,,380,other,other
.git/description,,73,other,other
.git/HEAD,,21,other,other
.git/index,,33833,other,other
.git/packed-refs,,2812,other,other
.git/hooks/applypatch-msg.sample,.sample,478,other,other
.git/hooks/commit-msg.sample,.sample,896,other,other
.git/hooks/fsmonitor-watchman.sample,.sample,4726,other,other
.git/hooks/post-update.sample,.sample,189,other,other
.git/hooks/pre-applypatch.sample,.sample,424,other,other
.git/hooks/pre-commit.sample,.sample,1649,other,other
.git/hooks/pre-merge-commit.sample,.sample,416,other,other
.git/hooks/pre-push.sample,.sample,1374,other,other
.git/hooks/pre-rebase.sample,.sample,4898,other,other
.git/hooks/pre-receive.sample,.sample,544,other,other
.git/hooks/prepare-commit-msg.sample,.sample,1492,other,other
.git/hooks/push-to-checkout.sample,.sample,2783,other,other
.git/hooks/sendemail-validate.sample,.sample,2308,other,other
.git/hooks/update.sample,.sample,3650,other,other
.git/info/exclude,,240,other,other
.git/logs/HEAD,,212,other,other
.git/logs/refs/heads/main,,212,other,other
.git/logs/refs/remotes/origin/HEAD,,212,other,other
.git/objects/pack/pack-cee517440d3782f3915de088c66de3ce36e13c45.idx,.idx,98568,other,other
.git/objects/pack/pack-cee517440d3782f3915de088c66de3ce36e13c45.pack,.pack,195153565,other,other
.git/objects/pack/pack-cee517440d3782f3915de088c66de3ce36e13c45.rev,.rev,13980,other,other
.git/refs/heads/main,,41,other,other
.git/refs/remotes/origin/HEAD,,30,other,other
.idea/.gitignore,,103,other,other
.idea/modules.xml,.xml,301,other,other
.idea/prettier.xml,.xml,181,other,other
.idea/shiftdataportal_front.iml,.iml,561,other,other
.idea/vcs.xml,.xml,172,other,other
.idea/inspectionProfiles/Project_Default.xml,.xml,512,other,other
.idea/jsLinters/eslint.xml,.xml,179,other,other
chart-screenshot/.env.development,.development,197,other,other
chart-screenshot/.env.production,.production,179,other,other
chart-screenshot/handler.js,.js,2980,other,other
chart-screenshot/package.json,.json,646,other,data_file
chart-screenshot/serverless.yml,.yml,718,other,other
chart-screenshot/yarn.lock,.lock,43342,other,other
client/.babelrc,,63,other,other
client/.gitignore,,153,other,other
