access_mode,first_commit_hash,first_commit_date,first_commit_month
other,4cb37e156b795a1d9b6469516acaf0900845424c,2023-04-13,2023-04
data_file,519f95bb789b26b88efd20e0ae7e9177c57434b8,2023-04-13,2023-04
frontend,519f95bb789b26b88efd20e0ae7e9177c57434b8,2023-04-13,2023-04
api_backend,519f95bb789b26b88efd20e0ae7e9177c57434b8,2023-04-13,2023-04
embedded_db,b69de961ce4beb010661b444b6030fc14b6b9b24,2024-05-12,2024-05
data_script,c7248f24c75e855563a4964c67e2999bcb8fd3bb,2024-05-12,2024-05
data_pipeline,d59d2e7c24c4ec2b8e2c44d80b86a16d2a621221,2024-11-02,2024-11
data_transformation,d59d2e7c24c4ec2b8e2c44d80b86a16d2a621221,2024-11-02,2024-11
utility,d59d2e7c24c4ec2b8e2c44d80b86a16d2a621221,2024-11-02,2024-11
raw_data,261f05a55d9e0f9175f8007b977f9157b80358d0,2025-02-07,2025-02
config,782b1eeb1f0bc0287d30d83d26ad899941b30e1a,2025-02-20,2025-02
intermediate_data,9ee67eab37cae283e7fa3d55b4dbcbed62eaa28e,2025-08-12,2025-08
