repo_url,score,reliability,maintainability,security,duplication,complexity
https://github.com/dataforgoodfr/offseason-shelter-for-science,67.72,20.0,100.0,100.0,100.0,38.62
https://github.com/dataforgoodfr/13_potentiel_solaire,77.36,20.0,100.0,100.0,100.0,86.82
https://github.com/dataforgoodfr/13_democratiser_sobriete,61.34,40.0,100.0,40.0,87.5,39.2
https://github.com/dataforgoodfr/13_empreinte_souffrance,75.7,60.0,100.0,80.0,69.5,74.01
https://github.com/dataforgoodfr/13_pollution_eau,74.24,60.0,100.0,40.0,93.0,73.2
https://github.com/dataforgoodfr/13_eclaireur_public,77.25,40.0,100.0,100.0,75.0,86.27
https://github.com/dataforgoodfr/13_brigade_coupes_rases,68.13,40.0,100.0,20.0,88.0,87.66
https://github.com/dataforgoodfr/13_odis,73.19,80.0,100.0,20.0,78.5,72.43
https://github.com/dataforgoodfr/13_reveler_inegalites_cinema,74.11,20.0,100.0,100.0,96.0,74.57
https://github.com/dataforgoodfr/13_ia_financement,51.6,20.0,100.0,100.0,58.0,0.0
https://github.com/dataforgoodfr/CarbonBombs,69.36,20.0,100.0,100.0,100.0,46.78
https://github.com/dataforgoodfr/12_bloom,77.13,60.0,100.0,100.0,59.0,76.66
https://github.com/dataforgoodfr/13_stop_cyberviolence,85.01,60.0,100.0,100.0,96.0,79.05
https://github.com/dataforgoodfr/offseason_greenlobby,81.1,60.0,100.0,100.0,96.0,59.51
https://github.com/dataforgoodfr/13_ecoskills,57.01,20.0,100.0,80.0,61.5,38.56
https://github.com/dataforgoodfr/12_zero_dechet_sauvage,70.0,60.0,100.0,100.0,100.0,0.0
https://github.com/dataforgoodfr/12_pinkbombs,93.7,100.0,100.0,100.0,100.0,68.5
https://github.com/dataforgoodfr/12_observatoire_des_imaginaires,83.47,60.0,100.0,100.0,100.0,67.35
https://github.com/dataforgoodfr/batch7_satellite_ges,66.89,20.0,100.0,80.0,97.0,52.46
https://github.com/dataforgoodfr/batch10_notaclimat,76.83,60.0,100.0,100.0,71.0,63.12
https://github.com/dataforgoodfr/batch8_worldbank,78.63,60.0,100.0,80.0,99.0,59.15
