"repo","message","label"
"offseason-shelter-for-science","Merge pull request #165 from dataforgoodfr/164_dispatch_space_bytes","other"
"offseason-shelter-for-science","[FIX] /dispatch : free space expressed in bytes (#164_dispatch_space_bytes)","fix"
"offseason-shelter-for-science","Merge remote-tracking branch 'origin/main'","other"
"offseason-shelter-for-science","Merge pull request #161 from dataforgoodfr/143_app_rejected_files","other"
"offseason-shelter-for-science","[FEAT] Added asset rejection route (#143_app_rejected_files)","feat"
"offseason-shelter-for-science","[FEAT] MVP Quick Win Analysis (202508) (#76_quick_win_dataset_analysis)","feat"
"offseason-shelter-for-science","[FEAT][WIP] MVP Quick Win Analysis (#76_quick_win_dataset_analysis)","feat"
"offseason-shelter-for-science","[FEAT][WIP] (#76_quick_win_dataset_analysis)","feat"
"offseason-shelter-for-science","[FIX] /dispatch simplified (#116_dynamic_ranking)","fix"
"offseason-shelter-for-science","FIX mock example","fix"
"offseason-shelter-for-science","FIX SQL request to ensure a dynamic ranking by dataset","fix"
"offseason-shelter-for-science","UPDATE unique rank by dataset id","other"
"offseason-shelter-for-science","UPDATE priorizer compute_rank to request latest min rank for each dataset_id","other"
"offseason-shelter-for-science","[CONFIG] (#147_test_fixes_for_demo)","chore"
"offseason-shelter-for-science","[CONFIG] Updated pyproject.toml (#76_quick_win_dataset_analysis)","chore"
"offseason-shelter-for-science","[FIX] (#76_quick_win_dataset_analysis)","fix"
"offseason-shelter-for-science","[FIX] Temporary disabling prioritizer scheduler (#147_test_fixes_for_demo)","fix"
"offseason-shelter-for-science","[FIX][DOCKER] Fixed prioritizer Dockerfile (#147_test_fixes_for_demo)","ci"
"offseason-shelter-for-science","[FIX] Updated rescue_db dep version for prod (#147_test_fixes_for_demo)","chore"
"offseason-shelter-for-science","[FIX] Fixed dev uv configs blocking prod start (#147_test_fixes_for_demo)","fix"
"offseason-shelter-for-science","[FEAT][FIX] Test, fixes and modifications for ""demo"" version (#147_test_fixes_for_demo)","feat"
"offseason-shelter-for-science","[FIX] dispatch.py : removed merge remainings (#116_add_priorizer)","fix"
"offseason-shelter-for-science","Add dynamic priorizer, taking into account magnet link presence to downgrade priority","feat"
"offseason-shelter-for-science","Add asset details when requesting rankings","feat"
"offseason-shelter-for-science","Add get rank from db","other"
"offseason-shelter-for-science","Update priorizer service structure","refactor"
"offseason-shelter-for-science","Mock priorizer service","other"
"offseason-shelter-for-science","[DB][DEV] Added .env.dev for dispatcher and priorizer","other"
"offseason-shelter-for-science","[DB][DEV] Added docker network for APIs","other"
"offseason-shelter-for-science","Fix error","fix"
"offseason-shelter-for-science","Fix errors and change dispatch response","fix"
"offseason-shelter-for-science","Change logic to insert new rescues","refactor"
"offseason-shelter-for-science","Remove unused code","refactor"
"offseason-shelter-for-science","[POC] Modified mock data","other"
"offseason-shelter-for-science","Update rescues with mock data","other"
