repo,feat,fix,refactor,ci,chore,other,total_commits
offseason-shelter-for-science,43,23,5,5,7,102,185
13_potentiel_solaire,322,183,26,27,61,215,834
13_democratiser_sobriete,88,81,24,16,30,106,345
13_empreinte_souffrance,68,58,4,4,7,59,200
13_pollution_eau,113,75,28,15,24,201,456
13_eclaireur_public,144,199,51,15,25,211,645
13_brigade_coupes_rases,202,148,35,18,90,177,670
13_odis,159,99,30,13,38,283,622
13_reveler_inegalites_cinema,114,141,28,15,18,80,396
13_ia_financement,4,1,0,1,1,65,72
CarbonBombs,100,52,39,3,15,129,338
12_bloom,212,342,65,9,18,360,1006
quotaclimat,318,220,40,1086,49,221,1934
13_stop_cyberviolence,39,2,12,8,13,134,208
offseason_greenlobby,29,7,5,0,2,9,52
13_ecoskills,127,103,13,25,9,105,382
12_zero_dechet_sauvage,39,19,5,0,3,127,193
12_pinkbombs,13,16,5,1,4,33,72
12_observatoire_des_imaginaires,31,34,9,10,19,156,259
batch7_satellite_ges,78,10,3,7,21,257,376
batch10_notaclimat,36,24,10,3,26,153,252
batch8_worldbank,51,8,12,14,14,299,398
