username,date,medals,score,location
yuanzhezhou,6 years ago,36,"155,651","Wuhan, Hubei, China"
tascj0,10 years ago,34,"155,342","Kyoto, Kyoto, Japan"
christofhenkel,8 years ago,69,"146,627","Munich, Bavaria, Germany"
cnumber,5 years ago,17,"134,105","Tokyo, Tokyo, Japan"
hydantess,4 years ago,29,"116,219","Hangzhou, Zhejiang, China"
jeroencottaar,3 years ago,6,"113,915",Data Scientist at ASML
wowfattie,10 years ago,56,"108,015",
jsday96,6 years ago,10,"106,702","Ashburn, Virginia, United States"
daiwakun,4 years ago,12,"96,513","Tokyo, Tokyo, Japan"
conjuring92,7 years ago,19,"92,801",LLM R&D at NVIDIA
tomoon33,3 years ago,6,"86,318","Kawasaki, Kanagawa, Japan"
harshitsheoran,8 years ago,17,"85,095","Rohtak, Haryana, India"
arc144,8 years ago,27,"82,350","Campinas, State of São Paulo, Brazil"
brendanartley,5 years ago,13,"78,447","Vancouver, British Columbia, Canada"
asalhi,5 years ago,22,"78,407",Beit Hanina
nikitababich,5 years ago,8,"77,782","Kyiv, Kyiv city, Ukraine"
philippsinger,14 years ago,50,"77,716","Vienna, Vienna, Austria"
mathurinache,14 years ago,120,"77,244",Data Scientist at AdvanThink (ISoft)
dc5e964768ef56302a32,6 years ago,27,"76,107","Singapore, Singapore"
takoihiraokazu,10 years ago,37,"75,632","Fukuoka, Fukuoka, Japan"
aerdem4,10 years ago,68,"74,505","Istanbul, İstanbul, Türkiye"
chenxin1991,9 years ago,30,"73,062","Shanghai, Shanghai, China"
jaejohn,3 years ago,4,"72,880",Pronouns: he/him
ilu000,7 years ago,43,"70,061","Cologne, North Rhine-Westphalia, Germany"
shlomoron,5 years ago,8,"69,700","Tel Aviv District, Israel"
theoviel,7 years ago,42,"66,969","Paris, Île-de-France, France"
ren4yu,9 years ago,36,"66,235","Tokyo, Tokyo, Japan"
sayoulala,6 years ago,15,"65,120","Shanghai, Shanghai, China"
guoooooooss,a year ago,6,"64,090",xidian
darraghdog,11 years ago,44,"63,671","Dublin, County Dublin, Ireland"
takaito,5 years ago,30,"62,739","Tokyo, Tokyo, Japan"
honglihang,5 years ago,14,"61,304",Engineer at Preferred Networks
cpmpml,13 years ago,68,"57,948","Director competitive ML, KGMON team lead  at NVIDIA"
coreacasa,8 years ago,87,"57,893","Madrid, Community of Madrid, Spain"
charmq,7 years ago,38,"57,295","Tokyo, Tokyo, Japan"
pingfan,7 years ago,12,"56,576","Beijing, Beijing, China"
tomirol,6 years ago,16,"55,864","Campinas, State of São Paulo, Brazil"
senkin13,9 years ago,31,"55,612","Tokyo, Tokyo, Japan"
jonathanchan,16 years ago,30,"55,290",Thailand
conormacamhlaoibh,6 years ago,6,"54,919","Dublin, County Dublin, Ireland"
dott1718,13 years ago,27,"54,910","Vienna, Vienna, Austria"
cdeotte,8 years ago,60,"53,523","San Diego, California, United States"
leehann,4 years ago,27,"53,522","Shanghai, Shanghai, China"
minerppdy,a year ago,2,"53,195",
kashiwaba,6 years ago,15,"53,167",
ns6464,10 years ago,21,"51,846","Tokyo, Tokyo, Japan"
gmhost,8 years ago,63,"51,526","Shenzhen, Guangdong Province, China"
mikeskim,13 years ago,95,"51,497","San Francisco, California, United States"
tangtang1999,2 years ago,8,"50,631",
vladimirsydor,8 years ago,28,"50,453","Kyiv, Ukraine"
arsenypoyda,5 years ago,9,"50,112",Research Scientist
junhuay,3 years ago,18,"49,345","Palo Alto, California, United States"
samson8,3 years ago,16,"49,277",bucefal.bucefal.bucefal@gmail.com at tg @pansh1n
huanligong,5 years ago,11,"47,596","Berkeley, California, United States"
ogurtsov,9 years ago,9,"47,205",biostatistician
keakohv,3 years ago,4,"47,098","Tallinn, Harju County, Estonia"
nischaydnk,6 years ago,61,"46,746",AI Researcher at CHAI
wadakoki,5 years ago,10,"46,234","Yokohama, Kanagawa, Japan"
linrock,3 years ago,2,"46,021","New York, New York, United States"
akiraishikawa,8 years ago,33,"45,764",Japan
bamps53,8 years ago,21,"45,665","Osaka, Osaka, Japan"
takanashihumbert,7 years ago,23,"45,605","Melbourne, Victoria, Australia"
nagiss,7 years ago,16,"45,508","Tokyo, Tokyo, Japan"
titericz,13 years ago,156,"45,398","Curitiba, State of Paraná, Brazil"
bloodaxe,8 years ago,21,"45,078","Odesa, Odesa Oblast, Ukraine"
suicaokhoailang,8 years ago,14,"44,780","Ho Chi Minh City, Ho Chi Minh City, Vietnam"
zhudong1949,6 years ago,7,"44,419","Chengdu, Sichuan, China"
forcewithme,5 years ago,30,"44,351","Guangzhou, Guangdong Province, China"
wht1996,8 years ago,13,"44,205","Hangzhou, Zhejiang, China"
leonshangguan,7 years ago,27,"43,788","Boston, Massachusetts, United States"
tattaka,8 years ago,24,"43,727","Tokyo, Tokyo, Japan"
kirderf,6 years ago,61,"43,466","Stockholm, Stockholm County, Sweden"
ezberch,a year ago,5,"43,116",
modeh7,8 years ago,2,"42,847","Düsseldorf, North Rhine-Westphalia, Germany"
ferdinandlimburg,7 years ago,8,"42,349",
goldenlock,14 years ago,16,"42,331","Beijing, Beijing, China"
confirm,15 years ago,83,"42,163","Tokyo, Tokyo, Japan"
wimwim,8 years ago,23,"42,158","Hong Kong, Hong Kong"
hengck23,12 years ago,43,"42,118",Singapore
nikhilmishradev,8 years ago,18,"42,109","Bengaluru, Karnataka, India"
devinanzelmo,12 years ago,8,"41,687","San Luis Obispo, California, United States"
junkoda,9 years ago,16,"40,926","Tokyo, Tokyo, Japan"
kami634,7 years ago,14,"40,501","Tokyo, Tokyo, Japan"
vicensgaitan,11 years ago,50,"40,310","Barcelona, Catalonia, Spain"
ilya9711nov,8 years ago,10,"40,185","Batumi, Adjara, Georgia"
lihaoweicvch,9 years ago,18,"39,710","Dalian, Liaoning, China"
kmldas,7 years ago,19,"39,653","Bengaluru, Karnataka, India"
natbel4ml,9 years ago,49,"39,501",San Francisco Bay Area
ebinan92,7 years ago,14,"38,943","Tokyo, Tokyo, Japan"
thunderthunder,3 years ago,11,"38,923",
dimanishi,5 years ago,23,"38,593",Data Scientist at Japan Digital Design
isakatsuyoshi,5 years ago,9,"38,547","Osaka, Osaka, Japan"
xyzdivergence,8 years ago,29,"38,155","Singapore, Singapore"
uesugierii,6 years ago,21,"38,111","Zhuhai, Guangdong Province, China"
shanzhong8,a year ago,12,"38,097","Guangzhou, Guangdong Province, China"
benbla,7 years ago,18,"38,033",Head of Business Analytics at MSR
beemax,4 years ago,3,"37,978",Student at Higher School of Economics
vialactea,9 years ago,17,"37,815","Chicago, Illinois, United States"
ryotak12,6 years ago,23,"37,143","Kawasaki, Kanagawa, Japan"
kibuna,8 years ago,10,"37,048","Tokyo, Tokyo, Japan"
