competition,stratum,ref,url,votes,author_best_percentile,local_kernel_dir,local_main_file
cafa-6-protein-function-prediction,top_1%,shrey213/cafa6solution,https://www.kaggle.com/code/shrey213/cafa6solution,73,0.0299055613850996,corpus\cafa-6-protein-function-prediction\notebooks\top_1%\shrey213__cafa6solution,corpus\cafa-6-protein-function-prediction\notebooks\top_1%\shrey213__cafa6solution\cafa6solution.ipynb
cafa-6-protein-function-prediction,top_1%,ymuroya47/cafa-6-goa-prott5-ensemble-0-370,https://www.kaggle.com/code/ymuroya47/cafa-6-goa-prott5-ensemble-0-370,34,0.0194123819517313,corpus\cafa-6-protein-function-prediction\notebooks\top_1%\ymuroya47__cafa-6-goa-prott5-ensemble-0-370,corpus\cafa-6-protein-function-prediction\notebooks\top_1%\ymuroya47__cafa-6-goa-prott5-ensemble-0-370\cafa-6-goa-prott5-ensemble-0-370.ipynb
cafa-6-protein-function-prediction,top_10%,wasiqaliyasir/cafa-quick-submission-0-375,https://www.kaggle.com/code/wasiqaliyasir/cafa-quick-submission-0-375,6,0.0907660020986358,corpus\cafa-6-protein-function-prediction\notebooks\top_10%\wasiqaliyasir__cafa-quick-submission-0-375,corpus\cafa-6-protein-function-prediction\notebooks\top_10%\wasiqaliyasir__cafa-quick-submission-0-375\cafa-quick-submission-0-375.ipynb
cafa-6-protein-function-prediction,top_10%,wasiqaliyasir/quick-direct-prediction-using-cafa6,https://www.kaggle.com/code/wasiqaliyasir/quick-direct-prediction-using-cafa6,3,0.0907660020986358,corpus\cafa-6-protein-function-prediction\notebooks\top_10%\wasiqaliyasir__quick-direct-prediction-using-cafa6,corpus\cafa-6-protein-function-prediction\notebooks\top_10%\wasiqaliyasir__quick-direct-prediction-using-cafa6\quick-direct-prediction-using-cafa6.ipynb
csiro-biomass,top_1%,mattiaangeli/eva02-inference,https://www.kaggle.com/code/mattiaangeli/eva02-inference,5,0.0269969384915112,corpus\csiro-biomass\notebooks\top_1%\mattiaangeli__eva02-inference,corpus\csiro-biomass\notebooks\top_1%\mattiaangeli__eva02-inference\eva02-inference.ipynb
csiro-biomass,top_1%,mattiaangeli/csiro-convnext2,https://www.kaggle.com/code/mattiaangeli/csiro-convnext2,4,0.0269969384915112,corpus\csiro-biomass\notebooks\top_1%\mattiaangeli__csiro-convnext2,corpus\csiro-biomass\notebooks\top_1%\mattiaangeli__csiro-convnext2\csiro-convnext2.ipynb
csiro-biomass,top_1%,mattiaangeli/csiro-swinv2,https://www.kaggle.com/code/mattiaangeli/csiro-swinv2,3,0.0269969384915112,corpus\csiro-biomass\notebooks\top_1%\mattiaangeli__csiro-swinv2,corpus\csiro-biomass\notebooks\top_1%\mattiaangeli__csiro-swinv2\csiro-swinv2.ipynb
csiro-biomass,p40_50,taharf/biomass-challenge-training-notebook,https://www.kaggle.com/code/taharf/biomass-challenge-training-notebook,15,0.4464236014472585,corpus\csiro-biomass\notebooks\p40_50\taharf__biomass-challenge-training-notebook,corpus\csiro-biomass\notebooks\p40_50\taharf__biomass-challenge-training-notebook\biomass-challenge-training-notebook.ipynb
home-data-for-ml-course,top_1%,dumarchie/xgboost-hpo-with-optuna,https://www.kaggle.com/code/dumarchie/xgboost-hpo-with-optuna,5,0.0119788067265607,corpus\home-data-for-ml-course\notebooks\top_1%\dumarchie__xgboost-hpo-with-optuna,corpus\home-data-for-ml-course\notebooks\top_1%\dumarchie__xgboost-hpo-with-optuna\xgboost-hpo-with-optuna.ipynb
home-data-for-ml-course,top_1%,alokeveermondal/catboost-regressor-mae-13776-using-pipelines,https://www.kaggle.com/code/alokeveermondal/catboost-regressor-mae-13776-using-pipelines,0,0.0352453351762266,corpus\home-data-for-ml-course\notebooks\top_1%\alokeveermondal__catboost-regressor-mae-13776-using-pipelines,corpus\home-data-for-ml-course\notebooks\top_1%\alokeveermondal__catboost-regressor-mae-13776-using-pipelines\catboost-regressor-mae-13776-using-pipelines.ipynb
