competition,stratum,available_kernels,selected_kernels,top1_cutoff_used
titanic,top_1%,3,3,0.05
titanic,top_10%,1,1,
titanic,p40_50,0,0,
house-prices-advanced-regression-techniques,top_1%,0,0,0.05
house-prices-advanced-regression-techniques,top_10%,1,1,
house-prices-advanced-regression-techniques,p40_50,2,2,
home-data-for-ml-course,top_1%,2,2,0.05
home-data-for-ml-course,top_10%,0,0,
home-data-for-ml-course,p40_50,0,0,
hull-tactical-market-prediction,top_1%,3,3,0.05
hull-tactical-market-prediction,top_10%,1,1,
hull-tactical-market-prediction,p40_50,4,4,
csiro-biomass,top_1%,3,3,0.05
csiro-biomass,top_10%,0,0,
csiro-biomass,p40_50,1,1,
santa-2025,top_1%,1,1,0.05
santa-2025,top_10%,5,5,
santa-2025,p40_50,1,1,
playground-series-s6e1,top_1%,5,5,0.05
playground-series-s6e1,top_10%,0,0,
playground-series-s6e1,p40_50,0,0,
spaceship-titanic,top_1%,0,0,0.05
spaceship-titanic,top_10%,0,0,
spaceship-titanic,p40_50,1,1,
cafa-6-protein-function-prediction,top_1%,2,2,0.05
cafa-6-protein-function-prediction,top_10%,2,2,
cafa-6-protein-function-prediction,p40_50,0,0,
recodai-luc-scientific-image-forgery-detection,top_1%,2,2,0.05
recodai-luc-scientific-image-forgery-detection,top_10%,0,0,
recodai-luc-scientific-image-forgery-detection,p40_50,0,0,
