Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,14827247,Marco Ledda,2026-01-18 21:48:14,0.79,247,marcoledda29
2,14843781,Grassworks by K&A,2026-01-18 19:32:48,0.79,122,"azak13,kaveh7777"
3,14746444,Ashmawy,2026-01-18 12:49:09,0.78,131,ashmawy
4,14619253,M & F,2026-01-18 07:42:31,0.78,337,"forcewithme,kevin1742064161"
5,14621503,frustrating folds :|,2026-01-18 15:44:53,0.78,333,"ayaanjang,gauravbrills,medali1992"
6,14624362,Biocaster,2026-01-18 21:34:48,0.77,335,"evnsnclr,stefanoclss,williamalabi"
7,14667152,nk35jk,2026-01-18 12:56:31,0.77,62,nk35jk
8,14627517,Ghaas Phoos,2026-01-18 22:53:51,0.77,140,"nischaydnk,shikhageekachad"
9,14623114,Genius Seed is all you need,2026-01-13 02:02:43,0.77,242,"cudacoding,haokwok2002,lihaoweicvch,shanzhong8,weiganghuang111"
10,14875782,Black Four Clover,2026-01-17 07:25:49,0.77,53,wisley1024
11,14628344,I2nfinit3y,2026-01-18 17:12:54,0.77,137,"chronoscop,i2nfinit3y,lechengyan"
12,14640814,I hit a transient OpenAI error,2026-01-18 17:44:26,0.76,144,"ducnh279,yeoyunsianggeremie"
13,14619209,Gemini+ChatGPT 0.78 is coming,2026-01-19 00:01:55,0.76,266,quan0095
14,14985508,feel the agi,2026-01-18 17:02:13,0.76,312,"artemgoncarov,markdjadchenko,veshkinartem"
15,14620249,B&H&Q,2026-01-18 16:24:44,0.76,180,"leehann,pingfan,tianhengqiu"
16,14633000,Orion,2026-01-18 15:45:27,0.76,357,linkinpony
17,14627880,Shivam Shinde,2026-01-18 15:15:31,0.76,301,shindeshivam
18,14636326,AI@msg,2026-01-18 19:16:03,0.76,398,"etnemelc,lorenzobordin,vabite"
19,14648388,Kelvin,2026-01-08 15:38:59,0.76,131,xyzdivergence
20,14621386,!!!!!,2026-01-18 12:36:42,0.76,148,forgakki
21,14624413,Dropping....,2026-01-18 16:17:23,0.76,261,"jatinmehra666,rajsharath707"
22,14816996,"koooeo , kuraishi , takabe",2026-01-18 16:09:31,0.76,123,"koooeo,shunkuraishi"
23,14631965,Ruben Moha,2025-12-31 20:13:53,0.76,119,rubenmoha
24,14832575,金银之交,2026-01-18 09:48:45,0.75,164,quincyqiang
25,14631485,🫠konita🫠,2026-01-18 13:33:04,0.75,201,konitac
26,14941433,kambehmw,2026-01-18 15:24:02,0.75,89,kanbehmw
27,14653860,Single Model Single Fold,2026-01-18 23:13:43,0.75,260,meli19
28,14619030,PixelScale 🌿,2026-01-18 17:12:35,0.75,358,"diptyajitdas,paritoshtripathi5,takumi0220,yusuketosa"
29,14639201,Jonas Gjerris,2025-12-30 16:27:24,0.75,74,jonasgjerris
30,14889660,Phi,2026-01-18 20:37:52,0.75,123,"ajinomoto132,vu9480"
31,14893881,Happenmass,2026-01-09 05:55:18,0.75,52,happenmass
32,14618346,Guanshuo Xu,2026-01-18 22:08:08,0.75,126,wowfattie
33,14620283,kwang,2026-01-18 15:02:46,0.75,103,gmhost
34,14637607,Forrest_xlz,2026-01-18 15:56:49,0.75,84,forrestxlz
35,14620597,embee,2026-01-18 23:16:09,0.75,120,mayukh18
36,14923865,Yannan Chen,2026-01-18 22:57:46,0.75,153,yannan90
37,14624855,Komil Parmar,2026-01-18 18:11:23,0.75,131,komilparmar
38,15064707,Heeler-Deer,2026-01-18 09:45:20,0.75,34,heelerdeer
39,14998975,shuba,2026-01-18 19:47:46,0.75,34,evgenshuben
40,14661470,Phantom Ghost,2026-01-18 16:23:04,0.75,111,shipuxu
41,14885056,DiamondH,2026-01-18 18:24:31,0.75,102,w3579628328
42,14619257,owaowata,2026-01-18 14:20:53,0.75,99,owaowata
43,14643658,水果猫咪,2026-01-11 07:37:24,0.75,74,"fish023,inlinebool"
44,14762167,wkq20,2026-01-18 15:30:04,0.75,200,wukaiqi
45,14656955,Jeryos,2026-01-18 20:11:37,0.75,235,joulskaf
46,14978138,Herra Huu,2026-01-18 21:04:12,0.75,80,herrahuu
47,14850346,Hasasasaki,2026-01-18 18:24:33,0.74,170,tonnytang
48,15064574,Rubia Kaslana,2026-01-18 08:35:22,0.74,55,rubiakaslana
49,14634189,johnny,2026-01-18 07:18:50,0.74,151,jonykarki
50,14725580,Ravi Ramakrishnan,2026-01-18 18:22:31,0.74,184,"kishanvavdara,ravi20076"
51,14634411,Lee,2026-01-18 22:47:23,0.74,186,"frederickvlee,sjlee101"
52,14642080,Rheinmetall,2026-01-18 20:39:05,0.74,70,rheinmetall
53,14769743,煌,2026-01-18 12:13:40,0.74,75,dhianaouali12
54,14632789,Daddies,2026-01-18 13:42:26,0.74,135,"hirotetsu,llkh0a,sangrampatil5150"
55,14623715,TEAM_ISM,2026-01-18 19:27:33,0.74,160,"omashosleeps,vc9408"
56,14630127,Eisuke Okuda,2026-01-15 09:02:30,0.74,185,eisukeokuda
57,14661359,Joseph Rynkiewicz,2026-01-18 21:46:48,0.74,133,josephrynkiewicz
58,14622494,E.Honda,2026-01-18 13:46:58,0.74,101,toseihatori
59,14621531,Evolved Projects,2026-01-16 14:10:12,0.74,219,"alloyd256,jmannings"
60,14982204,Coode,2026-01-16 09:16:00,0.74,40,"jenzenhuang,suyvwu,yihangandbxy"
61,14978051,😀\!!!/😀,2026-01-18 15:42:58,0.74,140,"chaneyma,ybzjdbc"
62,14648664,nathanael rk,2026-01-18 16:04:52,0.74,131,nathanaelrk
63,14619867,Cloverfitting,2026-01-18 13:10:42,0.74,211,"frlemarchand,jirkaborovec,sayedathar11,takahitomizunobyts"
