Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,13163389,Ömer Tanır,2026-01-09 18:40:26,0.0,8,tnr1337
2,14968248,duanyanqing20090515,2025-12-14 16:56:45,0.0,3,duanyanqing20090515
3,14917312,M.N. Mohamed Aman,2025-12-19 03:44:20,0.0,53,mnmohamedaman
4,15013007,Siew Yee Ang,2025-12-23 05:21:05,0.0,1,siewyeeang
5,13837091,betagammashtrit,2026-01-18 04:40:36,0.0,302,betagammashtrit
6,14843175,David Schwelien,2025-11-28 13:44:48,743.68757,6,davidschwelien1
7,15011862,F.A.Nina,2025-12-22 20:04:41,11207.07789,8,nina2025
8,13636896,Alex20250409,2025-12-31 19:05:14,11423.13036,315,alex20250409
9,14827615,Suodong,2026-01-15 18:49:17,11574.34749,45,suodong
10,14999946,Charrak Hossem,2026-01-18 19:04:19,11582.52978,29,charrakhossem
11,14710239,Bo Dong,2025-11-27 23:51:30,11587.24294,104,bodong408
12,14825190,Diabolic Fox,2025-12-01 17:00:14,11587.24294,6,diabolicfox
13,14963436,Kypsol,2025-12-21 19:49:15,11587.24294,31,kypsol
14,14928323,D.I.K.,2025-12-08 10:42:35,11682.74745,1,rilesd
15,14889182,LianShangyu,2025-12-03 13:42:37,12084.07328,2,lianshangyu
16,14834716,Jima Joseph,2025-11-25 13:24:30,12114.38439,2,jimajoseph
17,14392328,Viacheslav Romanov,2025-11-24 16:43:27,12133.59768,11,viacheslavromanov
18,14837553,qwert123rew,2025-11-25 21:17:12,12209.32899,6,qwert123rew
19,14544899,Тагир Ахметшин,2025-11-26 09:20:17,12209.32899,1,bahlishnik02
20,14967229,Nikita Hodun,2025-12-14 12:20:27,12215.39557,1,nikitahodun
21,14980090,Jakub Szostak,2025-12-17 15:58:39,12308.95007,34,kubaszostak
22,11333874,Keng3x,2025-12-16 09:22:34,12316.71272,3,keng3x
23,14893171,Việt Bảo Trần,2025-12-16 16:03:16,12326.47985,14,vietbaor
24,12493378,Dani-Luk,2026-01-08 15:16:29,12358.59125,198,danisluk
25,15069182,Vineeta Kande,2026-01-11 05:47:44,12361.55732,5,vineetakande
26,15035925,Rafael Mori Pinheiro,2025-12-29 14:58:43,12372.43052,1,rafaelmp2025
27,14841237,MaxFilin,2025-11-26 08:41:05,12377.54152,1,maxfilin
28,15104902,Arthur #5,2026-01-16 09:45:29,12380.35975,1,accattone
29,14389063,Artur Mineev,2025-12-10 05:49:32,12439.94428,6,zjioixjiebywek
30,14392343,Данис Шакиров,2025-12-09 23:33:22,12447.97601,11,palemachine
31,15037093,Pedro Barchi Nogueira,2025-12-29 23:45:56,12459.92296,2,pedrobarchinogueira
32,13800462,RainM4,2025-12-28 02:47:51,12486.80023,3,rainm4
33,14948535,shuweiz1026,2025-12-11 08:54:58,12523.9665,7,shuweiz1026
34,14298825,Tathyana Kulshaeva,2026-01-10 00:13:47,12526.82242,43,tathyanakulshaeva
