Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,15043016,Mahog,2026-01-17 02:22:08,8.53554,36,mahoganybuttstrings
2,15043063,Tilii,2026-01-18 12:07:32,8.53842,90,tilii7
3,15063640,Yew Jin Lim,2026-01-17 14:47:18,8.53923,19,limyewjin
4,15043117,Traiko Dinev,2026-01-18 23:11:50,8.53954,90,include4eto
5,15044383,Jaswinder Singh,2026-01-19 00:22:08,8.5404,40,baratheonr6
6,15052099,Öinen Huuhkaja,2026-01-18 20:40:08,8.54167,58,oinenhuuhkaja
7,15042983,Masaya Kawamata,2026-01-09 11:35:38,8.54277,16,masayakawamata
8,15043074,Funguscakehead,2026-01-18 11:10:43,8.54284,43,funguscakehead
9,15043006,Don Mani,2026-01-16 11:30:13,8.54291,50,donmarch14
10,15047635,Mikhail Naumov,2026-01-18 17:42:35,8.54294,82,mikhailnaumov
11,15043791,Optimistix,2026-01-18 08:12:40,8.54333,44,optimistix
12,15043121,Ravi Ramakrishnan,2026-01-05 19:47:03,8.54443,20,ravi20076
13,15043292,Tshithihi,2026-01-17 16:01:24,8.54452,25,nawfeelrahman1124444
14,15077426,Laksamada,2026-01-18 07:40:33,8.54453,15,fachri00
15,15045383,OzanM.,2026-01-17 17:44:36,8.54457,61,analyticaobscura
16,15045224,Rithik_anand_2812,2026-01-17 05:04:50,8.5446,59,rithikanand2812
17,15043003,AnthonyTherrien,2026-01-19 00:01:13,8.5446,35,anthonytherrien
18,15081602,Prompt is all you need,2026-01-19 00:17:24,8.5446,4,ngyzly
19,15043146,Akira Yuki,2026-01-18 17:54:29,8.5446,66,datasciencegrad
20,15043453,Sound_Wave9,2026-01-18 19:15:46,8.5446,56,"igorpawicki,mesoj8,soundwave9"
21,15045156,Thomas Tschinkel,2026-01-18 19:29:47,8.5446,56,thomastschinkel
22,15045629,Shiv Satyam,2026-01-18 21:16:16,8.5446,22,shivsatyam
23,15043032,M.N. Mohamed Aman,2026-01-18 23:54:49,8.5446,15,mnmohamedaman
24,15078222,Ömer Faruk Yüce,2026-01-17 09:28:39,8.54461,25,merfarukyce
25,15103516,Xuan Zhang,2026-01-17 01:21:22,8.54461,7,xuanzhang001
26,15103444,XZ2046,2026-01-17 01:22:12,8.54461,6,samgreen2046
27,15080589,Hossam Hamouda,2026-01-18 21:51:07,8.54461,3,hossam82
28,15043043,F.A.Nina,2026-01-18 07:50:43,8.54461,90,nina2025
29,15043868,Can Özensoy,2026-01-18 08:18:26,8.54461,47,canozensoy
30,15043034,Will,2026-01-18 09:49:26,8.54461,15,wguesdon
