Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,14588184,orshanec,2026-01-15 21:27:18,0.458,261,orshanec
2,14588977,Guanshuo Xu,2026-01-15 18:14:30,0.422,43,wowfattie
3,14590074,shiba-inu,2026-01-14 18:36:27,0.394,139,npinpi
4,14589628,BokingChen,2026-01-15 19:38:48,0.391,133,chenbaoying
5,14924350,qcf-568,2026-01-15 21:19:04,0.388,31,dinmkeljiame
6,14605015,moritake04,2026-01-15 14:13:58,0.373,178,moritake04
7,14654651,kishizaki-sci,2026-01-15 23:04:29,0.371,86,superstringdev
8,14596315,CoreyJamesLevinson,2026-01-15 19:23:25,0.368,98,returnofsputnik
9,14712779,WentJiao,2026-01-15 04:06:34,0.363,224,"bigbigclever,huozhaodong123,jackdeng123,jjdddsfasf,yinma0902"
10,14649763,Bartek,2026-01-06 21:38:29,0.358,63,melgor
11,14634749,Deval Mukherjee1,2026-01-15 21:14:34,0.354,166,"devalmukherjee1,ziadalharbi"
12,15032113,Team,2026-01-15 21:07:24,0.353,66,"gauthieravite,juliengenzling"
13,14589713,Hiểu Vy,2026-01-15 14:16:35,0.348,146,thangnm1
14,14608450,Big&Small Pigs,2026-01-09 02:53:53,0.345,112,"franksonlee,melodyhuang305,optpotato,sch01ar,yanzhang3127"
15,14902747,Catalysts,2026-01-15 13:16:05,0.344,38,"faiyad0145,faiyazrahman,mohammadsaidulislam,rehenatunjannat"
16,14614573,qwenvl,2026-01-12 15:34:45,0.344,144,"langzhong,wiwiwashere,wsllearning,zuifengyang"
17,15053066,LUABC,2026-01-10 01:57:30,0.343,136,"fengyuhangwanyuting,hangtianyi,jjwwang,victorabao"
18,14660681,Haraguchi-T,2026-01-15 16:19:21,0.342,309,haraguchit
19,14725319,homiewinnie,2026-01-11 09:32:27,0.341,158,"chanlib,dapeichan"
20,15044450,callenut1,2026-01-15 01:08:29,0.341,41,"calldl,dscloud"
21,15047867,ssd,2026-01-12 13:59:05,0.34,79,"langmodel,maxscore,vibecs"
22,15063991,Kula98,2026-01-14 05:39:22,0.34,25,"flashint,kvattn"
23,15044358,Dinov5,2026-01-13 11:10:59,0.339,88,"gohyuen,mlepoch,yangsolar,yqywzy"
24,14622294,German Mora Martin,2026-01-15 15:44:23,0.338,128,germanmoramartin
25,14945550,Theta & Antonood & KotVasily,2026-01-15 20:00:53,0.337,351,"antonoof,markdjadchenko,markslavin,shanzhong8,yash9439"
26,14867289,Davide Fiocco,2026-01-14 11:21:45,0.334,21,davidefiocco
27,14752984,JinchengZhang1,2026-01-15 13:56:22,0.333,224,jinchengzhang1
28,15056264,William Gao 621,2026-01-15 13:19:36,0.332,62,"gaoyudut,williamgao621"
29,15062951,Aiswarjya Buda,2026-01-15 19:53:44,0.332,33,aiswarjya
30,14750232,tsuzuk1,2026-01-15 15:14:09,0.331,163,tsuzuk1
31,14635411,chenyongjin,2026-01-15 13:24:09,0.331,47,"bexh0lder,chenyongjin,dragonbornyoung,meepolimi1"
32,15052999,Gronk,2026-01-15 09:33:01,0.331,58,jianyicai
33,15045259,ait-prog,2026-01-14 19:55:58,0.331,35,aitbekovalibek
34,14611522,R,2026-01-13 17:03:33,0.331,238,"rayyyu,sherryshwu"
35,14618316,ChickenPlus,2026-01-15 17:00:29,0.33,56,"andrewnguyen15,iamchaos666,nguynphcvn,niraitoo"
36,14612730,chuhao zeng,2026-01-15 05:40:27,0.33,111,"chuhaozeng,yifanzhanggeorge"
37,14932679,weke,2026-01-15 21:44:29,0.33,76,cjpal18
38,14598789,Forger,2026-01-15 20:45:16,0.329,6,patricklaokul
39,14601594,Skandax Nexus,2026-01-15 16:52:56,0.329,60,"karthik191190,vedantsuryawanshi10"
40,15026275,razernade,2026-01-11 12:53:53,0.329,18,razernade
41,14602524,Leo Yang,2026-01-15 01:02:06,0.329,120,yxyyxy
42,14763443,zhao1122,2026-01-09 11:06:54,0.328,123,zhao1122
43,14665374,blue0620,2026-01-15 22:27:29,0.328,61,blue0620
44,15057320,RAHUL SINGH INDA,2026-01-15 06:00:56,0.328,36,rsinda
45,14624113,BROSKI,2026-01-15 22:17:30,0.328,29,nacefmbarek
46,14868491,Mike Kim,2026-01-15 19:28:19,0.328,16,mikeskim
47,15065053,Raghul,2026-01-11 06:20:12,0.328,8,itsraghul
48,14596393,Marek Nurzynski,2026-01-15 21:53:07,0.327,43,marek3000
49,15052431,DragonAJA,2026-01-15 23:53:06,0.327,84,"dragonaja,xingxingruantang"
50,14845168,Musa Peker,2026-01-15 17:01:39,0.327,223,musapeker
51,14615046,chaojiwudiwujie,2026-01-15 12:06:43,0.327,22,chaojiwudiwujie
52,15014098,漫卷,2026-01-15 07:13:13,0.327,33,manjuan01
53,15025502,Satoshi_SsSs,2026-01-15 08:19:34,0.327,87,satoshissss
54,14696129,cyannnnnnn,2026-01-12 15:13:22,0.327,33,cyannnnnnn
55,14725420,N,2026-01-06 05:13:12,0.327,116,"asd242538a,yyysss1"
56,14812341,TADDYS,2026-01-14 21:34:00,0.327,169,"keijitada,taddy2,taddys"
57,14634838,AlizzeZhang,2026-01-14 05:24:59,0.327,66,alizzezhang
58,15009559,ardi,2026-01-15 21:20:46,0.327,43,"ardi76,daniil1423,nikee7"
59,15049624,Liu Jiahao,2026-01-15 13:45:57,0.327,58,opencv411
60,15001173,Aristotle.Chen,2026-01-15 01:29:29,0.326,116,aristotlechen
61,14880453,yiyu0716,2026-01-15 14:48:58,0.326,58,yiyu0716
62,14607827,Ttkuma,2026-01-15 11:05:42,0.326,88,ttkuma
63,14973039,lowking,2026-01-15 17:54:04,0.326,56,lowking
64,14601312,Hossam Hamouda,2026-01-15 14:29:32,0.326,153,hossam82
65,15064369,aiue77,2026-01-15 05:03:07,0.326,9,aiue77
66,15042673,yukiZ,2026-01-15 12:26:07,0.326,71,hideyukizushi
67,14990043,Junhua Yang,2026-01-15 04:17:31,0.326,109,junhuay
68,15038147,tngmb08,2026-01-15 13:51:53,0.326,19,tngmb08
69,14806805,grantrk,2026-01-15 17:12:38,0.326,29,grantrk123
70,15067378,renta.k,2026-01-15 05:18:49,0.326,11,renta0426
71,14588722,Sanskar Verma,2026-01-15 22:55:26,0.326,41,"mrearthworm,sarfarajansaridev"
72,14776873,Adarsh Kumar,2026-01-15 03:16:38,0.326,75,kumaradarsh007
73,15018791,Wu Cris,2026-01-13 13:46:17,0.326,57,wucris
74,14864580,2AngryMen,2026-01-15 15:09:26,0.326,90,"hzihimel,xabirhasan"
75,14891742,rakumo,2026-01-15 21:28:38,0.326,18,sirakumo
76,14974039,Panger Xiao,2026-01-15 21:37:47,0.326,55,xiaopanger
77,14825673,Kirderf,2026-01-15 22:52:04,0.326,54,kirderf
78,14892196,Mahmoud Elshahed,2026-01-15 23:47:39,0.326,54,letemoin
79,15052390,Mostafa Beik,2026-01-13 04:52:16,0.326,23,mostafabeik
80,15015066,Mutter Wei,2026-01-15 10:15:39,0.326,75,"halstonspencer,mutterwei"
81,14689099,Tony Li,2026-01-14 23:58:40,0.325,73,tonylica
82,14592252,Hide on bush,2026-01-15 03:52:41,0.325,118,playwithme
83,14593656,Hanif Noer Rofiq,2026-01-15 02:01:00,0.325,34,hanifnoerrofiq
84,14793892,Ahmed Samir,2026-01-14 00:38:17,0.325,67,ahmedsamir1598
85,14617508,taopy2,2026-01-15 16:13:13,0.325,78,taopy2
86,15052797,solvixa,2026-01-14 03:27:46,0.325,30,"kakass,molzivo,solvixa"
87,15041551,yuanzhe zhou,2026-01-15 16:41:14,0.325,25,yuanzhezhou
88,14967419,Data_Digger,2026-01-07 04:05:25,0.325,21,"cnhgwang,tianzunyeji,yingxuhou"
89,15015963,abcdefghijklmnopqrstuvwxyz,2026-01-15 22:55:38,0.325,31,abhishekgodara
90,14655124,kwon yong deuk,2026-01-15 23:17:20,0.325,195,kwonyongdeuk
91,15021385,shion,2026-01-08 00:28:28,0.325,33,k0tame
92,14984400,HHorimoto,2026-01-07 11:53:00,0.325,6,hhorimoto
93,14847382,okc,2026-01-12 06:36:09,0.325,106,"lissongod,mininume,wuzhennanaaa"
94,14891719,BhavanKumar07,2026-01-15 15:39:03,0.325,3,"bhavankumar07,parthasamal,sureshkumarpalus"
95,15059544,Sherlock Jerry,2026-01-15 22:31:35,0.325,38,rraghav5600
96,14853650,Lucky Duck,2026-01-15 14:17:01,0.325,79,"hyh273279,zejunfool"
97,14591284,QAZAQ,2026-01-15 15:00:05,0.325,44,"azamatbaiganin,baidalinadilzhan"
98,14638136,pp1985,2026-01-15 13:56:52,0.325,50,ppilania1985
99,14947299,kigasudayooo,2026-01-15 15:44:44,0.325,88,argon1215
100,14589489,today,2026-01-15 14:11:19,0.325,71,today55
101,14650937,henu_AI,2026-01-15 13:16:31,0.325,129,"eulogy,lumos0v0,violin1"
102,14635623,暗黑AGI,2026-01-15 04:16:18,0.325,32,boristown
103,14594758,seowoohyeon,2026-01-15 22:57:45,0.325,58,seowoohyeon
104,14887201,Azat Akhtyamov,2026-01-15 23:07:10,0.325,20,azakhtyamov
105,15059841,xevlani,2026-01-06 03:07:25,0.325,5,xevlani
106,15063695,vonzeri,2026-01-13 07:36:09,0.325,8,"qexlira,solxiro,vonzeri"
107,14664235,Mark`n,2026-01-15 05:08:34,0.325,81,masarusanada
108,15026514,Ioannis Pantidis,2026-01-15 07:09:54,0.325,96,ioannispantidis
109,14664061,Nick Pellegrin,2026-01-11 20:03:07,0.325,40,nicholaspellegrin
110,15060588,zylvoro,2026-01-06 08:11:01,0.325,5,zylvoro
111,14715471,takaito,2026-01-15 16:12:01,0.325,33,takaito
112,14726389,B,2026-01-03 05:48:13,0.325,25,fangwenhshan
