Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,14807466,shr,2026-01-18 14:14:42,68.922808051418,73,oimoio
2,14781024,KiRaRe,2026-01-18 13:53:51,68.925545723419,182,"cnumber,nagiss,terry16u"
3,14795366,bowwowplusa,2026-01-18 13:01:27,69.004213601589,87,"bowwowforeach,montplusa"
4,14773936,Jeroen Cottaar,2026-01-17 14:37:49,69.01575617552,32,jeroencottaar
5,14790863,♋ Jingle bins ♋,2026-01-18 22:51:00,69.029356490296,697,"delporterobbe,group16,khahuras,olehugnivenko,zidmie"
6,14770089,Lucien de Rubempre,2026-01-18 18:28:41,69.1396,239,lucienderubempre
7,14781962,Santa AI Chaotic Elves,2026-01-18 23:33:10,69.151680035842,2580,"egortrushin,jiweiliu,tonylica,yiheng"
8,14809358,huismus,2026-01-12 13:39:07,69.155339296161,9,"jern97,tonywauters"
9,14770623,🌈 Rainbow 🌈,2026-01-09 15:35:17,69.200056462452,339,"daisukemaeda3,kjoonha,ku0807,milkcoffeen,zaburo"
10,14770604,One Musketeer & klog,2026-01-18 13:17:09,69.297872918072,216,"itswin,mhrzmmhrzm"
11,14775710,Ben G,2026-01-18 12:52:29,69.349393666668,28,bengle
12,14777119,Rafbill,2025-12-11 04:58:43,69.354311223939,41,rafbill
13,14780259,The Tree Musketeers,2026-01-16 17:06:32,69.410071359457,221,"danielphalen,solverworld,veniaminnelin,yuchen2066"
14,14790685,mtmr_s1,2026-01-18 22:46:26,69.423526670745,138,mtmrs1
15,14779072,hiyodori411,2026-01-18 12:16:44,69.562092990715,55,hiyodori411sekirei
16,14983794,Always Day Zero,2026-01-19 00:43:02,69.569422227533,470,"andrewrrose,bladerunner2022,davegreer,jakkkc,thegrey"
17,14942832,Destr001ers,2026-01-18 03:03:03,69.593321857503,353,"blueshyy,hiromiayase,masakiaota,sidett,wyz114514"
18,14810535,(´･_･`),2026-01-14 16:12:12,69.620702528934,50,tanakh
19,14769799,RG,2026-01-18 20:40:13,69.678597081716,61,"gabrielbjg,raresbarbantan"
20,14773083,Merry Vibing,2026-01-19 00:36:44,69.696373115474,336,"albartrose,cody11null,trudih,webmaking"
21,15000405,koh,2026-01-17 03:34:02,69.704757661685,26,koheiuno
22,14772696,uta_ccc,2026-01-14 12:03:07,69.78563048984,42,utaccc
23,14786846,中本會,2026-01-18 11:21:14,69.820201755283,86,"komori3,mzgc33,ochaheaven"
24,14771905,mech_39,2026-01-18 05:34:45,69.823729781447,44,mech39
25,14800794,East Santa,2026-01-17 05:22:51,69.891887971787,466,"amonkizawa,faykudbq,kosirowada,poptoppop,woosungyoon"
26,15021202,Math N.C.,2025-12-30 10:59:08,69.898344820595,4,sheepjnu
27,14776785,Mathurin Aché,2026-01-18 17:20:58,69.918467862792,550,mathurinache
28,14814557,Yuki & Álvaro & Chris,2026-01-16 05:39:11,69.918516172555,53,"alvaroborras,chris62,yukiohkawa"
29,14782466,Prachi + Alex,2025-12-16 18:18:28,69.997348738284,63,"alexandersaavedra,prachipatil304203984"
30,14771204,MNSZS,2026-01-18 22:37:38,70.00413231248,784,"chistyakov,mohamed3abdelrazik,nicupetridean,sch01ar,zejunfool"
31,15041573,AMD is all you need,2026-01-17 13:29:56,70.013122993266,118,"muhammadibrahim3093,thunderstrikea,void7ax"
32,14780552,Kojima,2026-01-17 14:19:25,70.020853416605,16,kozima
33,14796236,aruaru0,2026-01-18 13:17:46,70.036335327816,19,aruaru0
34,15045154,catberrr,2026-01-18 16:39:51,70.085717604697,26,"arcbin,catberrr,moonerr"
35,14778021,adakoda,2026-01-18 14:46:48,70.099999999999,131,adakoda
36,14897205,I speak for the trees,2026-01-18 18:53:59,70.137298572727,24,"bicotsp,dkrupke,stefanhy"
37,14779550,hiro116s,2026-01-14 11:18:34,70.143005354988,83,hiro116s
38,14977158,redblackbst,2026-01-18 04:33:45,70.148884267526,9,redblackbst
39,14915251,G&G,2026-01-18 10:39:04,70.195166433978,30,gabalz
40,14778673,lolzpo,2025-12-31 06:29:41,70.20185303669,2,lolzpo
41,14773472,Very Ape,2026-01-18 23:59:24,70.210570813452,2002,"analyticaobscura,daniilkrasnoproshin,jazivxt,kmmmvs,rudikruger"
42,15047146,NYU Team,2026-01-15 06:56:05,70.213653518818,43,"nightven,paerwell"
43,14778149,Vicens Gaitan,2026-01-17 21:54:06,70.2440347348,78,vicensgaitan
44,14990939,One Shot,2026-01-18 13:36:02,70.24420452519,99,"hyh273279,lizaofang"
45,15046978,VelvetStorm,2026-01-14 01:58:07,70.245730787149,33,"thalassaa,velvetstorm"
46,14769843,Team,2025-12-23 13:33:26,70.267676767676,48,"abraxus1,cakiki,conormacamhlaoibh,gfvdcujuzg35,kenyeungtech"
47,15046964,Go and Up!,2026-01-08 02:02:21,70.270440170025,41,truthup
48,15023050,ISE@JNU-1,2026-01-18 18:05:03,70.287905020817,21,"yangjiahua,zwzwyang"
49,14967583,LLLZZZRRR,2026-01-09 12:55:24,70.320103722309,17,lllzzzrrr
50,14929528,DragonAJA,2026-01-18 23:00:45,70.323638283596,282,"dragonaja,lingmingzi,matianyuu,nightridersea,xingxingruantang"
51,15034624,FengXing Liu,2026-01-09 15:33:32,70.343235733234,22,fengstar
52,14778543,renta.k,2026-01-19 00:46:58,70.373674126152,256,renta0426
53,14770695,A HS,2026-01-12 21:08:08,70.376246730591,82,andres137
54,14779107,Bakuer30,2026-01-18 23:16:26,70.382833559627,328,bakuer30
55,14992702,yellowleaf,2026-01-14 10:59:53,70.383999547443,21,wcqyfly
56,15013667,Zoe,2026-01-01 10:14:52,70.390989305499,5,mathkinggg
57,14771512,Luv sic pt3 🏂,2026-01-18 12:00:02,70.39172140946,191,"chaneyma,cjacke,jackiewang12138,shufanmiao,zhouzhenkai"
58,14770764,Let me solo her!,2026-01-18 17:21:31,70.392716563174,383,sacuscreed
59,14820392,mogura2.0,2026-01-19 00:25:40,70.402036649423,663,mogura20
60,14787983,treehopper,2026-01-18 17:17:01,70.40395932038,47,vineetkreddy
61,14771104,rc95401,2026-01-19 00:26:26,70.41162314254,392,rc95401
62,15044229,Kerry Pam,2026-01-13 12:42:26,70.412933889569,21,karrypam
63,14777218,neibyr,2026-01-18 23:34:02,70.414489927392,488,"asimandia,kotomord,neibyr"
64,14858446,гриша чешет про_пс вместо елок,2026-01-18 17:14:22,70.418320529899,121,"flimsydwarf,ilolss,sohatiy"
65,14986885,Team Ramrod,2026-01-18 21:54:21,70.43313798341,249,"decotoj,jamespress,marksix,yash9439"
66,14816117,Serhii H. & Santa ClaudeOpus,2026-01-18 05:17:27,70.435090923942,45,elvenmonk
67,14942812,cstdy,2026-01-14 13:52:05,70.454244158626,47,kirill0212
68,14811261,Nat Bel ML Fun,2026-01-18 18:46:40,70.455783532274,315,natbel4ml
69,14794417,Qboy,2026-01-18 11:02:59,70.461362130812,364,"nanami0229,unclelee23,yangjianzhu,yangrumei,zhangboring"
70,14808492,shyjin,2026-01-16 02:25:19,70.471616862452,25,shyjin
71,14806708,mihtw,2026-01-18 22:40:46,70.473328208518,188,mihtw1
72,14963380,gogorush,2026-01-18 01:18:37,70.475284616919,61,"caoruizhe,justolivercai,luckybara"
73,14952285,MHIMDI Mouhib,2026-01-18 00:41:27,70.484271827925,265,mhimdimouhib
74,14815281,drdbdr,2025-11-30 17:40:09,70.496056026989,1,drdbdr
75,14776152,trees of green,2026-01-18 20:08:40,70.500639309435,210,mdv1973
76,15015299,Xunden,2026-01-17 09:54:32,70.505116056978,14,xunden
77,15007341,Santa knows math,2026-01-18 16:31:08,70.511206126602,207,"cudacoding,leonshangguan,sekrier,shanzhong8"
78,14786350,mealck,2026-01-17 18:52:28,70.514683783999,33,mealck
79,14771986,Rob Pratt,2026-01-18 16:10:15,70.526496400346,26,robpratt
80,14797287,KIT,2026-01-18 21:54:23,70.526635906036,91,ray6767
81,14770341,Ali,2026-01-18 20:54:36,70.527723634028,226,asalhi
82,14837524,I like pancakes,2026-01-18 18:15:32,70.529876400175,9,brtvandenbroeck
83,15074632,InnerVoice,2026-01-18 18:41:28,70.530395286129,30,adityakumarsinha
84,14779177,skawaguc,2026-01-14 13:21:07,70.532487307402,21,skawaguc
85,14789472,Paul Jurczak,2026-01-16 20:11:41,70.539293938185,137,pauljurczak
86,14778721,alcanta,2026-01-18 19:25:43,70.544498262964,31,ccotiuga
87,14915954,KK,2026-01-18 16:21:48,70.547447873279,85,kkosuke618
88,14814072,midnq,2026-01-18 16:18:20,70.555049067582,64,midnqly
89,15001923,⬆️🌲Van-Phuc Huynh🌲 ⬆️,2026-01-18 18:07:32,70.558152891029,205,hvanphucs112
90,15005619, inversed,2026-01-16 08:59:14,70.56108727762,4,inversed
91,14771054,CEO Leaders,2026-01-18 23:46:39,70.563271723101,137,"botchi,ibukimasuda,kenta0436,tassan,yuyuta"
92,14828498,Maxim Lunitsin,2026-01-18 18:31:56,70.566167237216,10,blinchiklu
93,14783381,Aleix Gimenez,2026-01-18 11:15:09,70.587652512907,10,aleixgim
94,14952539,Artem,2026-01-17 00:02:04,70.588489751944,45,artemevstafyev
95,14782513,test_xy-deg,2026-01-19 00:05:51,70.591739083087,677,michaelsemenoff
96,15084257,ForSeanson_,2026-01-12 03:27:59,70.591910109475,1,"forseanson,qieyuanxiaoye"
97,14857482,yousuke nakamura,2026-01-19 00:20:38,70.592405078843,74,yousukenakamura
98,14782473,Santa Agent,2026-01-17 13:58:03,70.593570036042,69,"degwer,naru19,prgckwb"
99,14867938,iko070,2026-01-18 14:52:28,70.593604798871,94,shiyunlong07
100,15095264,Twight2,2026-01-18 09:16:51,70.599218639329,10,twight2
101,15041404,Dmitry Sadykov,2026-01-17 05:10:32,70.599993943016,7,dmitrysadykov
102,15053315,yangsoniya,2026-01-11 12:33:12,70.607131024441,45,"jude1zhu,kevindong2001,soulcool,yangsoniya"
103,15018595,StudyBeeTutoring,2026-01-18 19:23:18,70.608901414475,193,"robertomansur,shin200,studybeetutoring"
104,14798514,sasa_leaf,2026-01-18 14:32:49,70.609621531496,128,sasaleaf
105,15026129,SANNNNN,2026-01-19 00:32:33,70.611798767791,154,"harrytsjan,zuhairsan"
106,15046980,Andrij,2026-01-18 20:34:44,70.61385695158,196,aikhmelnytskyy
107,14942380,Peijing Yi,2026-01-17 07:39:29,70.618807084243,27,"deryawang,matrixmy,seleneyi"
108,14964320,Iadh Jarray,2026-01-17 02:41:43,70.627869642533,194,iadhjarray
109,15073287,RoyRRR,2026-01-18 14:59:02,70.62791173413,21,royrrr
110,14832839,Xfeng Zhang,2026-01-16 07:43:14,70.633965325539,24,zemolulu
111,14780892,Nick Sarris,2025-12-15 16:02:11,70.634818143465,1,misfyre
112,14939051,ghaieth aloui,2026-01-01 16:10:27,70.63680150834,10,ghaiethaloui
113,14789480,Snigdha Chandan,2026-01-18 16:39:34,70.648867839955,447,nityasevak
114,14771943,yukiya,2026-01-18 06:34:06,70.649373676404,391,nyleve
115,14782453,Alex Matveev,2026-01-18 20:54:50,70.649616107292,1,alexeylive
116,14777128,Santiago Mota,2026-01-19 00:16:23,70.651644929016,464,santiagomota
117,14777300,Aatif Fraz,2026-01-18 17:58:08,70.654394471186,54,aatiffraz
118,14819290,Ashutosh0406,2026-01-18 20:36:16,70.657214372021,40,ashutosh0406
119,14780614,Arman Zhalgasbayev,2026-01-18 16:48:23,70.6576072876,107,armanzhalgasbayev
120,15102314,Đình Nhật Võ,2026-01-18 16:28:29,70.659823538263,33,nhnhtv
121,14977026,CookingSanta,2026-01-18 17:22:06,70.663217783773,75,"alexsallustro,ihhc10,ivan1625,samwonghs"
122,15090308,keira,2026-01-14 14:44:46,70.664978908094,5,wendy421
123,14775677,蹭一下,2026-01-18 16:46:29,70.665624970919,9,"hxinchai,wk6286"
124,14797952,Yaron,2026-01-17 19:54:44,70.665650874999,51,yaronra
125,14865856,huseyincotel,2026-01-04 19:09:11,70.666512863162,45,huseyincot
126,14809405,nmnm64,2026-01-13 15:20:32,70.666666666666,63,nmnm64
127,14984454,Anna,2026-01-18 19:51:05,70.666933006326,57,annafabris
128,14805685,Bala Baskar,2026-01-18 17:51:07,70.668185407178,22,balabaskar
129,14879155,kirakiradokidoki,2026-01-18 15:08:42,70.670010143921,44,"arin3000,pengfeihuang123"
130,14842349,crisxuan,2026-01-18 16:48:50,70.670326208163,151,crisxuan
131,15037654,Happy New Year,2026-01-18 16:37:20,70.670958786213,212,"lingyu07,lixin73"
132,14791364,Sirish Somanchi,2026-01-18 18:01:22,70.671247997172,35,sirishks
133,14779721,Araik Tamazian,2026-01-18 17:22:33,70.671366834285,279,atamazian
134,15011714,Vasilis Konstantakos,2026-01-18 20:40:20,70.671599016061,62,vkonstantakos
135,14864119,YaGana Sheriff-Hussaini,2026-01-19 00:17:59,70.671797162808,1470,sheriytm
136,15066722,0xGeoffreyW,2026-01-18 19:23:24,70.673640770104,31,geoffreywang1117
137,14870824,Vlad Balanda,2026-01-19 00:22:17,70.674461114339,331,bankhv
138,14960934,mkojimkoji,2026-01-19 00:10:08,70.674982076814,96,mkojimkoji
139,14940069,Prompt is all you need,2026-01-19 00:44:33,70.674984082927,161,ngyzly
140,14782651,Sas Pav,2026-01-18 19:16:54,70.675141515988,939,saspav
141,14950123,Nozomi Suzuki,2026-01-19 00:46:04,70.675145264191,95,nozomisuzuki
142,14779776,Masashi Nishimoto,2026-01-19 00:22:07,70.675715552005,83,masashinishimoto
143,15045509,Alvor,2026-01-18 20:16:28,70.675723186679,71,allvor
144,15084795,P0S1KUN41K1,2026-01-18 19:39:24,70.67585217965,76,"mlffkr,s1nbad,yuriysofronov"
145,14901748,Stupid Christmas Tree,2026-01-18 20:01:17,70.675857414428,213,"jivanshc,kavyachetwani"
146,14780905,John Mitchell,2026-01-18 21:22:40,70.675859168242,565,jbomitchell
147,14770792,kglctf,2026-01-19 00:47:00,70.67597996194,1593,kglctf
148,15106908,Sedat GOLGİYAZ,2026-01-19 00:15:39,70.675990528363,46,sedatgolgyaz
149,14771013,today,2026-01-18 22:46:25,70.675991190657,125,today55
150,14951359,Mehrdad_LU,2026-01-18 20:15:11,70.675992647474,300,mehrdadal2023
151,15078885,tetora_grqvity,2026-01-18 20:45:56,70.675992647493,5,kubotamasaya
152,14781580,Djamila B,2026-01-18 20:57:49,70.675992650977,10,djamilabenchikh
153,14845820,Anh Khoa Đoàn Nguyễn,2026-01-18 19:59:40,70.676022791966,175,"anhkhoaonnguyn,khaiphanvan"
154,15067661,Fab Sol,2026-01-19 00:39:27,70.676053963529,36,fikreabsadmasu
155,14769836,Kamal Das,2026-01-18 17:47:51,70.676070474878,101,kmldas
156,14851512,Catalin Murarita,2026-01-18 21:01:13,70.676079258624,137,simaman
157,14782138,datnt114,2026-01-18 20:53:51,70.67608587154,77,kingkong153
158,14945642,virgil,2026-01-19 00:16:10,70.67608627741,343,victorogobi
159,14960849,Sarvesh Gharat,2026-01-18 22:59:54,70.676091810434,91,sarveshgharat012
160,15112489,Richard Jose,2026-01-18 21:28:41,70.676091813917,4,richardjose66
161,15081475,Hitoshi Kumagai,2026-01-18 23:53:41,70.676091813917,49,hitoshikmgai
162,14977373,mimizuku,2026-01-18 20:45:47,70.676095820737,65,"kuroshiro07,takumashiga"
163,15069246,Evgeny Bratkovsky,2026-01-18 22:32:10,70.676100292762,23,bratkovskyevgeny
164,15109941,Steven Y,2026-01-19 00:06:25,70.676100292807,6,vesten006
165,14909740,PTPKJHRT,2026-01-18 21:27:03,70.676100292856,3,lauvfpitipak
166,15087784,Hossam Hamouda,2026-01-18 23:16:14,70.676100292856,46,hossam82
167,14786522,Allie K.,2026-01-18 22:49:41,70.676100292856,35,blankaf
168,14852269,RealOutliers,2026-01-19 00:27:43,70.676100292856,254,"eldlabl0,kindasomethin,varshneytejas"
169,15096144,shilehaoduomingzile,2026-01-18 21:20:00,70.676100292858,2,shilehaoduomingzile
170,15092468,katoue,2026-01-18 22:28:05,70.676100292899,3,katoue
171,14776674,Will,2026-01-18 22:29:23,70.676100292901,197,wguesdon
172,15012167,Potrhino,2026-01-18 21:49:18,70.676100292901,228,"potrhino,sampot"
173,14915478,gavrand,2026-01-18 22:13:23,70.676100292901,151,agavranis
174,14770109,dynamic24,2026-01-18 23:00:28,70.676100292901,284,dynamic24
175,14846248,Kanatoa,2026-01-18 23:02:13,70.676100292901,27,kanatoa
176,14798125,Jing Hua,2026-01-18 23:23:53,70.676100292901,369,"chibowen,linyeping,sereinovov"
177,15067356,garlic-bird-garlic-bird,2026-01-18 23:42:29,70.676100292901,22,richardsplayground
178,15092084,Xuanxu,2026-01-18 23:59:09,70.676100292901,17,"wxliqi,zhaonoah"
