Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,8398674,CADang,2025-11-21 04:50:54,0.96422,9,cadang
2,10534604,नरेश कोपरखैरणे Naresh,2025-12-28 09:49:44,0.82183,1,nakkaggle
3,14586006,python1958,2025-11-24 07:31:31,0.82066,6,"dengjie6042,jueyi123,lyh1107,shuoke2006"
4,14969087,M.N. Mohamed Aman,2025-12-15 16:14:38,0.82066,6,mnmohamedaman
5,14361293,Jeki Wan Taufik,2025-12-21 16:44:44,0.82066,1,jekiwantaufik
6,11817833,Zeina Shreif,2026-01-19 00:31:56,0.82066,442,zeinashreif
7,14570817,spac,2025-11-23 13:01:14,0.81973,16,"aceharry,cldelve,phurymal,spotteddove"
8,14818849,想打kaggle的人脸上是没有笑容的6010,2025-11-24 10:02:15,0.81973,29,"jojojojosky,laker24,lyhlyhlyhhshah21221,yihangliu123"
9,8404185,William Guesdon,2025-11-23 21:54:52,0.81903,6,wguesdon
10,14676592,Labib Shahriar,2025-12-25 17:20:12,0.81903,5,labibshahriar
11,14360726,吃西瓜的狼,2025-12-03 09:16:35,0.81903,6,"annayanamidesu,tek1ezy,yzl3177423084,zhuhai607"
12,15013330,[Deleted] 7e19ce71-0847-41e9-949d-8fc9924554c6,2025-12-23 07:03:23,0.81903,1,del=6ce2b99200802c6b
13,11317896,Hanzhang Fang,2025-12-26 05:04:16,0.81903,1,hanzhangfang
14,15064950,TAN Wee Han,2026-01-14 10:21:06,0.81903,5,oxgadfly
15,14904166,[Deleted] 4565dec0-0a64-4742-a69f-d5a6e8a58ab9,2025-12-09 18:15:21,0.81833,40,del=2314773df0dee3fa
16,14908359,LocalFlind,2025-12-09 16:21:38,0.81809,15,localflind
17,14764955,Hora,2025-12-13 19:14:09,0.81762,3,horaye
18,15022581,[Deleted] 154bf3fa-6cc7-42ac-9ab9-4cfe79ae3d73,2025-12-25 14:50:12,0.81762,10,del=2b2d8301f7335d80
19,15024037,[Deleted] 8964781f-77f8-487f-b371-0f57c3823e90,2025-12-26 02:52:57,0.81762,10,del=5de3611f678c80fd
20,15022225,urokodaki_sakonnji,2026-01-15 06:39:23,0.81762,12,urokodakisakonnji
21,14872863,LuChiHan1209,2025-12-01 09:31:37,0.81739,6,"brianchenkaggle,jiakai0912,luchihan1209"
22,14860792,TheLion,2025-12-01 13:09:46,0.81692,9,"chowchunseng,chuahchenxuan,ethantanzhengnan,muhdnafiq"
23,14891222,[Deleted] f6cf38c0-a167-47fb-8cf7-db94e82a4d3a,2025-12-04 21:11:49,0.81669,14,del=a0d2662f63caf486
24,14599840,Илья Севастьянов,2025-12-11 13:10:35,0.81669,1,sev1lya
25,14747566,gh poi33,2025-12-20 12:10:56,0.81669,2,ghpoi33
26,14985244,shufanke,2026-01-03 07:35:22,0.81622,40,shufanke
27,14643950,[Deleted] a4fa27f5-cdde-4519-9ffb-328150654613,2025-12-25 06:16:18,0.81599,59,del=b0c1106099169475
28,14897869,Adam + Eduard,2025-12-09 22:45:40,0.81575,65,"bineativenit,terakrono"
29,14794486,[Deleted] 37fad77c-35a1-4a41-b89c-37b565958e15,2025-11-20 03:46:11,0.81552,10,del=7f4b278b9e31b221
30,14666221,spacee,2025-11-23 08:17:49,0.81529,3,"cloudydreamwxm,del=0d44f5fc6bbc2efe,johanliebiet,phurymalliu"
31,14888480,[Deleted] 34b31cf3-80ef-4cbc-9c96-d615de17e988,2025-12-06 13:39:11,0.81529,40,del=43f76fe96ffca1c1
32,14888574,affliction,2025-12-09 22:20:26,0.81505,21,afflict
33,14538448,Gorgeous team ♡ ˚₊,2025-12-09 16:37:34,0.81505,7,irynaaa0
34,14605132,Plamen Sv. Krastev,2025-12-05 10:35:34,0.81482,48,plamensvkrastev
35,14365840,Plamen Svetoslavov,2025-12-05 17:26:25,0.81482,84,plamensvetoslavov
36,14532322,Plamen Krastev,2025-12-05 06:51:59,0.81482,78,plamensve01
37,14901349,wenchenglong,2026-01-01 08:01:10,0.81482,38,wenchenglong
38,14749523,IA3000_5991,2025-11-24 16:19:17,0.81458,40,"ia3000,krkrdkdk,staryuu5986,yl5880"
39,14853879,yang050207,2025-11-29 07:35:07,0.81458,6,yang050207
40,14939343,[Deleted] d86509c1-5ef7-43d8-8c73-7c8e1e9868d9,2025-12-13 12:44:21,0.81458,14,del=c6b7faa685a02809
41,14889080,AMS2,2025-12-04 16:35:04,0.81435,31,"brunocalura,cleiverbatista,igordiasaguiar,jpdecastrogf,samuellpss,viniciustormin"
42,15008762,Heidi1213,2025-12-30 00:44:04,0.81435,20,heidi1213
43,15024196,xiaoyao12356,2025-12-27 11:30:26,0.81435,12,xiaoyao12356
44,14915915,[Deleted] 8d2b7f8d-5c60-4645-9ccf-45cc022e98a0,2025-12-09 09:25:54,0.81412,40,del=60976cad86ffa3ce
45,14677037,KristoferPS,2025-12-05 06:58:38,0.81388,59,kristoferps
46,14806412,Chii Kun,2025-11-22 04:54:25,0.81365,20,chiikun
47,14654709,AY2526T1LBYEC3BEQ2G6P2,2025-11-24 15:17:00,0.81365,19,"briandavidmetrillo,jianenricongsuy,reuellichangco"
48,14891679,Pavol Slivoň,2025-12-09 19:29:14,0.81365,16,pavolslivo
49,14916025,Shin Shang Zhong,2025-12-07 15:28:19,0.81365,3,shinshangzhong
50,14887575,zzj0073,2025-12-18 09:17:32,0.81342,5,zzj0073
51,15012828,yooooonsh,2025-12-30 00:21:52,0.81342,20,yooooonsh
52,15010746,wyqsama,2026-01-04 14:25:26,0.81318,10,wyqsama
53,14908778,Titan,2026-01-10 00:55:00,0.81318,40,"bobbbbbbyli,cranberry128,yangtom0516"
54,14806910,Greendex,2025-11-22 04:19:22,0.81295,19,greendex
55,14855960,Mei Yang,2025-11-28 15:27:19,0.81295,10,supermeiyang
56,14888940,Everfrostt,2025-12-03 12:59:36,0.81271,8,everfrostt
57,14911974,Sornambal P,2025-12-06 16:21:03,0.81271,10,sornambalp
58,14914032,Maksym Kuznietsov,2025-12-09 21:18:10,0.81271,9,maksymkuznietsov
59,14473047,Sidjik,2025-12-07 12:16:55,0.81271,30,sidjik21
60,14673735,zhongxianbo,2025-11-30 07:23:39,0.81225,33,zhongxianbo
61,14911589,Tao500538,2025-12-08 07:32:42,0.81225,6,tao500538
62,14763896,Jun.m,2025-12-12 15:50:05,0.81225,28,"jun0218,kusurizuke,nh2co3,tomokiaki"
