competition,stratum,ref,score_total_100,A_structure_pipeline,B_modularite,C_reproductibilite,D_lisibilite,E_hygiene,json_path
santa-2025,p40_50,kirkdco/kmer-aspect-ratio-survey,95,20,20,20,20,15,corpus\evaluations\santa-2025\p40_50\kirkdco__kmer-aspect-ratio-survey.json
csiro-biomass,p40_50,taharf/biomass-challenge-training-notebook,95,20,20,20,15,20,corpus\evaluations\csiro-biomass\p40_50\taharf__biomass-challenge-training-notebook.json
playground-series-s6e1,top_1%,utaazu/s6e1-tobit-xgboost-theoretical-implementation,90,20,20,15,20,15,corpus\evaluations\playground-series-s6e1\top_1%\utaazu__s6e1-tobit-xgboost-theoretical-implementation.json
playground-series-s6e1,top_1%,datasciencegrad/s6e1-student-test-scores-wb,90,20,20,15,20,15,corpus\evaluations\playground-series-s6e1\top_1%\datasciencegrad__s6e1-student-test-scores-wb.json
titanic,top_1%,n3onnhowever/titanic-cv-v2,90,20,20,20,15,15,corpus\evaluations\titanic\top_1%\n3onnhowever__titanic-cv-v2.json
home-data-for-ml-course,top_1%,dumarchie/xgboost-hpo-with-optuna,90,20,15,20,20,15,corpus\evaluations\home-data-for-ml-course\top_1%\dumarchie__xgboost-hpo-with-optuna.json
recodai-luc-scientific-image-forgery-detection,top_1%,aitbekovalibek/dinov2-unet-ensemble,90,20,20,15,20,15,corpus\evaluations\recodai-luc-scientific-image-forgery-detection\top_1%\aitbekovalibek__dinov2-unet-ensemble.json
titanic,top_1%,n3onnhowever/titanic-cv-v3,85,15,20,20,15,15,corpus\evaluations\titanic\top_1%\n3onnhowever__titanic-cv-v3.json
hull-tactical-market-prediction,top_1%,xxxxyyyy80008/hull-tactical-full-eda,85,20,15,15,20,15,corpus\evaluations\hull-tactical-market-prediction\top_1%\xxxxyyyy80008__hull-tactical-full-eda.json
titanic,top_1%,djenkivanov/top-5-simple-neural-network-solution,85,20,15,15,20,15,corpus\evaluations\titanic\top_1%\djenkivanov__top-5-simple-neural-network-solution.json
