Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,14794680,Jindong Wei,2025-11-20 03:20:09,1.0,3,sonnyjack
2,12408744,n3onnhowever,2026-01-18 20:34:11,1.0,144,n3onnhowever
3,12801551,Veniamin_Nelin,2026-01-18 05:06:32,1.0,345,veniaminnelin
4,14697749,GOPISETTI SANDIVYA SRESHTA,2025-11-20 10:05:31,1.0,1,gssreshta
5,14800449,SMahjabeen,2025-11-20 18:26:10,1.0,3,smahjabeen
6,14706064,FadeLight5844,2025-11-25 07:40:46,1.0,20,"fadelight5844,pancreasknight5701,xmdemamo,yangtiu5713"
7,14730059,Cinddddddyyyyyy,2025-11-21 18:28:44,1.0,10,cinddddddyyyyyy
8,14811502,QIMEI LAI,2025-11-22 01:42:57,1.0,3,qimeilai
9,14811539,Sabiha Sharmin Shammi,2025-11-22 02:04:38,1.0,3,sabihasharminshammi
10,14811754,levin,2025-11-22 03:23:06,1.0,3,flylevin
11,13083119,bob Tony619,2025-11-22 15:00:24,1.0,8,bobtony619
12,14817835,cpkung,2025-11-23 05:02:15,1.0,3,cpkung
13,14822092,Cacho #2,2025-11-23 17:38:54,1.0,3,cachow
14,14822244,jli244,2025-11-23 18:39:18,1.0,5,jli244
15,6954939,Soumya Darbha,2025-11-23 20:50:51,1.0,3,soumyadarbha
16,14823012,prerna kumai,2025-11-23 21:44:02,1.0,4,prernakumai
17,14823238,Dharmendra kumar,2025-11-23 23:03:21,1.0,3,info2dharmendra
18,14823726,Yuxi Jin. trine,2025-11-24 02:18:38,1.0,3,yuxijintrine
19,14824034,Tiago Vicente #2,2025-11-24 03:39:16,1.0,3,tiagovicente11
20,14824697,Chien Chen Wang,2025-11-24 05:28:29,1.0,3,chienchenwang
21,14825030,张三啊啊啊,2025-11-24 05:58:35,1.0,1,afhiahf
22,14825914,Hedy464qyy,2025-11-24 08:04:50,1.0,1,hedy464qyy
23,14806524,Jin Ye,2025-11-24 08:48:25,1.0,2,jinye1106
24,13153838,EdmundEdwards,2025-11-27 06:50:59,1.0,9,edmundedwards
25,13196529,JIuxiao17,2025-11-24 13:20:56,1.0,10,jiuxiao17
26,14827678,Hanlin Zou_222,2025-11-24 12:46:24,1.0,3,hanlinzou222
27,14818557,jack joking,2025-11-28 08:35:23,1.0,17,jackjoking
28,14828258,Yanyun Li,2025-11-24 14:14:32,1.0,4,yanyunli
29,14829175,tatsheeeep,2025-11-24 16:41:35,1.0,4,tatsheeeep
30,14829284,Ziping Hu - Trine,2025-11-24 16:59:37,1.0,3,zipinghutrine
31,14829330,Everton Costa #2,2025-11-24 17:13:30,1.0,3,evertoncosta33
32,14829447,Kezhi Gao,2025-11-24 17:30:50,1.0,3,kezhigao
33,14829469,zhenjiang233,2025-11-24 17:40:40,1.0,7,zhenjiang233
34,14830183,Rhiva Singh,2025-11-24 20:05:29,1.0,4,rhivasingh
