Field completion analysis for: normalized
Field                                                  Rate   Filled    Total
--------------------------------------------------------------------------------
preprocessing.tokenization_method                   100.0%       10       10
transformer_models.base_models                      100.0%       10       10
transformer_models.fine_tuning_strategy             100.0%       10       10
loss_functions.primary_loss                         100.0%       10       10
training_strategy.optimizer                         100.0%       10       10
training_strategy.learning_rate                     100.0%       10       10
training_strategy.epochs                            100.0%       10       10
training_strategy.cross_validation                  100.0%       10       10
model_architecture.pooling_strategy                 100.0%       10       10
postprocessing.ensemble_method                      100.0%       10       10
frameworks.deep_learning_framework                  100.0%       10       10
frameworks.libraries                                100.0%       10       10
training_strategy.batch_size                         90.0%        9       10
training_strategy.learning_rate_schedule             60.0%        6       10
preprocessing.augmentation_techniques                20.0%        2       10
training_strategy.regularization                     20.0%        2       10
embeddings.contextual_embeddings                     10.0%        1       10
embeddings.word_embeddings                            0.0%        0       10
preprocessing.text_cleaning                           0.0%        0       10
preprocessing.lowercase                               0.0%        0       10
transformer_models.pretrained_checkpoints             0.0%        0       10
loss_functions.auxiliary_losses                       0.0%        0       10
model_architecture.additional_layers                  0.0%        0       10
model_architecture.dropout_rate                       0.0%        0       10
postprocessing.prediction_averaging                   0.0%        0       10
