Projet,Période,Volume_contributeurs,Type_AI
offseason_missiontransition_categorisation,Avant GenAI,Peu,AI-related
batch4_diafoirus_fleming,Avant GenAI,Beaucoup,AI-related
website2022,Avant GenAI,Peu,Non AI-related
batch5_phenix_happymeal,Avant GenAI,Beaucoup,Non AI-related
batch11_cartovegetation,Pendant GenAI,Peu,AI-related
bechdelai,Pendant GenAI,Beaucoup,AI-related
protectclimateactivists,Pendant GenAI,Peu,Non AI-related
offseason_ogre,Pendant GenAI,Beaucoup,Non AI-related
13_ia_financement,Après GenAI,Peu,AI-related
13_democratiser_sobriete,Après GenAI,Beaucoup,AI-related
14_PrixChangementClimatique,Après GenAI,Peu,Non AI-related
shiftdataportal,Après GenAI,Beaucoup,Non AI-related
