Projet,antoine_Tests,antoine_Doc,baptiste_Tests,baptiste_Doc,roxane_Tests,roxane_Doc,theo_Tests,theo_Doc,Moyenne_Tests,Mediane_Tests,Ecart_type_Tests,Min_Tests,Max_Tests,Moyenne_Doc,Mediane_Doc,Ecart_type_Doc,Min_Doc,Max_Doc
13_ia_financement,0.0,88.0,25.0,70.0,2.0,82.0,19.0,78.0,11.5,10.5,10.735455276791944,0.0,25.0,79.5,80.0,6.5383484153110105,70.0,88.0
13_democratiser_sobriete,48.0,69.0,65.0,60.0,48.0,64.0,49.0,72.0,52.5,48.5,7.22841614740048,48.0,65.0,66.25,66.5,4.602988159880492,60.0,72.0
offseason_missiontransition_categorisation,27.0,55.0,40.0,85.0,23.0,52.0,33.0,63.0,30.75,30.0,6.417748826496718,23.0,40.0,63.75,59.0,12.910751333675357,52.0,85.0
shiftdataportal,40.0,45.0,30.0,30.0,38.0,42.0,36.0,47.0,36.0,37.0,3.7416573867739413,30.0,40.0,41.0,43.5,6.59545297913646,30.0,47.0
batch4_diafoirus_fleming,0.0,20.0,0.0,30.0,1.0,20.0,1.0,31.0,0.5,0.5,0.5,0.0,1.0,25.25,25.0,5.261891294962297,20.0,31.0
website2022,0.0,65.0,0.0,55.0,3.0,64.0,20.0,66.0,5.75,1.5,8.317902379807062,0.0,20.0,62.5,64.5,4.387482193696061,55.0,66.0
batch5_phenix_happymeal,35.0,60.0,30.0,32.0,27.0,61.0,34.0,61.0,31.5,32.0,3.2015621187164243,27.0,35.0,53.5,60.5,12.419742348374221,32.0,61.0
batch11_cartovegetation,0.0,60.0,0.0,40.0,2.0,55.0,1.0,58.0,0.75,0.5,0.82915619758885,0.0,2.0,53.25,56.5,7.854139036202504,40.0,60.0
bechdelai,40.0,75.0,40.0,60.0,45.0,63.0,56.0,78.0,45.25,42.5,6.53356717268599,40.0,56.0,69.0,69.0,7.648529270389178,60.0,78.0
protectclimateactivists,0.0,23.0,0.0,35.0,2.0,26.0,1.0,37.0,0.75,0.5,0.82915619758885,0.0,2.0,30.25,30.5,5.889609494694874,23.0,37.0
offseason_ogre,0.0,70.0,45.0,65.0,3.0,59.0,45.0,75.0,23.25,24.0,21.775846711436962,0.0,45.0,67.25,67.5,5.931905258852336,59.0,75.0
14_PrixChangementClimatique,0.0,23.0,0.0,30.0,2.0,24.0,1.0,42.0,0.75,0.5,0.82915619758885,0.0,2.0,29.75,27.0,7.562241731127087,23.0,42.0
