Projet,Ecart_type_Tests,Ecart_type_Doc,Range_Tests,Range_Doc,Coefficient_Variation_Tests,Coefficient_Variation_Doc
13_ia_financement,10.735455276791944,6.5383484153110105,25.0,18.0,0.9327068007638527,0.08223303251554534
13_democratiser_sobriete,7.22841614740048,4.602988159880492,17.0,12.0,0.13765789654162028,0.0694685807407258
offseason_missiontransition_categorisation,6.417748826496718,12.910751333675357,17.0,33.0,0.20863942868975024,0.2024898264378193
shiftdataportal,3.7416573867739413,6.59545297913646,10.0,17.0,0.10390606461466097,0.1608254810811134
batch4_diafoirus_fleming,0.5,5.261891294962297,1.0,11.0,0.9803921568627451,0.2083092357467259
website2022,8.317902379807062,4.387482193696061,20.0,11.0,1.4440802742720595,0.07018848494154634
batch5_phenix_happymeal,3.2015621187164243,12.419742348374221,8.0,29.0,0.10160463721727782,0.2321013333652443
batch11_cartovegetation,0.82915619758885,7.854139036202504,2.0,20.0,1.0909949968274342,0.1474678752572757
bechdelai,6.53356717268599,7.648529270389178,16.0,18.0,0.14435632286093658,0.11083218765960262
protectclimateactivists,0.82915619758885,5.889609494694874,2.0,14.0,1.0909949968274342,0.19463349288482729
offseason_ogre,21.775846711436962,5.931905258852336,45.0,16.0,0.9361928938708926,0.08819365535016854
14_PrixChangementClimatique,0.82915619758885,7.562241731127087,2.0,19.0,1.0909949968274342,0.2541075850513134
