Projet,Min_Tests,Juge_Min_Tests,Max_Tests,Juge_Max_Tests,Ecart_Tests,Min_Doc,Juge_Min_Doc,Max_Doc,Juge_Max_Doc,Ecart_Doc
13_ia_financement,0.0,antoine,25.0,baptiste,25.0,70.0,baptiste,88.0,antoine,18.0
13_democratiser_sobriete,48.0,antoine,65.0,baptiste,17.0,60.0,baptiste,72.0,theo,12.0
offseason_missiontransition_categorisation,23.0,roxane,40.0,baptiste,17.0,52.0,roxane,85.0,baptiste,33.0
shiftdataportal,30.0,baptiste,40.0,antoine,10.0,30.0,baptiste,47.0,theo,17.0
batch4_diafoirus_fleming,0.0,antoine,1.0,roxane,1.0,20.0,antoine,31.0,theo,11.0
website2022,0.0,antoine,20.0,theo,20.0,55.0,baptiste,66.0,theo,11.0
batch5_phenix_happymeal,27.0,roxane,35.0,antoine,8.0,32.0,baptiste,61.0,roxane,29.0
batch11_cartovegetation,0.0,antoine,2.0,roxane,2.0,40.0,baptiste,60.0,antoine,20.0
bechdelai,40.0,antoine,56.0,theo,16.0,60.0,baptiste,78.0,theo,18.0
protectclimateactivists,0.0,antoine,2.0,roxane,2.0,23.0,antoine,37.0,theo,14.0
offseason_ogre,0.0,antoine,45.0,baptiste,45.0,59.0,roxane,75.0,theo,16.0
14_PrixChangementClimatique,0.0,antoine,2.0,roxane,2.0,23.0,antoine,42.0,theo,19.0
