Dépôt,Présence tests (/15),Niveaux UT/IT/E2E (/25),Qualité tests (/25),Coverage (/25),Entretien Git (/10),README Description (/25),README Architecture (/20),README Installation (/25),README Contributeurs (/5),CHANGELOG (/10),CONTRIBUTING (/10),LICENSE (/5)
13_ia_financement,0.0,0.0,0.0,0.0,0.0,25.0,20.0,25.0,3.0,0.0,10.0,5.0
13_democratiser_sobriete,15.0,10.0,15.0,0.0,8.0,17.0,20.0,17.0,5.0,0.0,5.0,5.0
offseason_missiontransition_categorisation,10.0,7.0,5.0,0.0,5.0,22.0,10.0,18.0,0.0,0.0,0.0,5.0
shiftdataportal,10.0,10.0,15.0,0.0,5.0,10.0,15.0,15.0,5.0,0.0,0.0,0.0
13_ecoskills,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
batch4_diafoirus_fleming,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
website2022,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,5.0
batch5_phenix_happymeal,10.0,5.0,15.0,0.0,5.0,20.0,15.0,20.0,0.0,0.0,0.0,5.0
batch11_cartovegetation,0.0,0.0,0.0,0.0,0.0,20.0,10.0,25.0,5.0,0.0,0.0,0.0
bechdelai,10.0,10.0,15.0,0.0,5.0,25.0,20.0,25.0,0.0,0.0,0.0,5.0
protectclimateactivists,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,5.0
offseason_ogre,0.0,0.0,0.0,0.0,0.0,20.0,15.0,25.0,0.0,0.0,5.0,5.0
14_PrixChangementClimatique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,5.0
